year,month,country,nTourist
2015,1,남아프리카공화국,1306.0
2015,1,모리셔스,192.0
2015,1,스와질랜드,221.0
2015,1,세이쉘,95.0
2015,1,짐바브웨,5322.0
2015,1,우간다,1885.0
2015,1,시에라리온,
2015,2,남아프리카공화국,871.0
2015,2,모리셔스,154.0
2015,2,스와질랜드,159.0
2015,2,세이쉘,88.0
2015,2,짐바브웨,
2015,2,우간다,
2015,2,시에라리온,
2015,3,남아프리카공화국,954.0
2015,3,모리셔스,254.0
2015,3,스와질랜드,142.0
2015,3,세이쉘,73.0
2015,3,짐바브웨,
2015,3,우간다,
2015,3,시에라리온,
2015,4,남아프리카공화국,890.0
2015,4,모리셔스,247.0
2015,4,스와질랜드,204.0
2015,4,세이쉘,96.0
2015,4,짐바브웨,
2015,4,우간다,
2015,4,시에라리온,
2015,5,남아프리카공화국,943.0
2015,5,모리셔스,209.0
2015,5,스와질랜드,180.0
2015,5,세이쉘,162.0
2015,5,짐바브웨,
2015,5,우간다,
2015,5,시에라리온,
2015,6,남아프리카공화국,801.0
2015,6,모리셔스,276.0
2015,6,스와질랜드,150.0
2015,6,세이쉘,120.0
2015,6,짐바브웨,
2015,6,우간다,
2015,6,시에라리온,
2015,7,남아프리카공화국,1448.0
2015,7,모리셔스,197.0
2015,7,스와질랜드,171.0
2015,7,세이쉘,83.0
2015,7,짐바브웨,
2015,7,우간다,
2015,7,시에라리온,
2015,8,남아프리카공화국,1434.0
2015,8,모리셔스,182.0
2015,8,스와질랜드,308.0
2015,8,세이쉘,74.0
2015,8,짐바브웨,
2015,8,우간다,
2015,8,시에라리온,
2015,9,남아프리카공화국,1292.0
2015,9,모리셔스,267.0
2015,9,스와질랜드,218.0
2015,9,세이쉘,116.0
2015,9,짐바브웨,
2015,9,우간다,
2015,9,시에라리온,
2015,10,남아프리카공화국,1033.0
2015,10,모리셔스,442.0
2015,10,스와질랜드,171.0
2015,10,세이쉘,150.0
2015,10,짐바브웨,
2015,10,우간다,
2015,10,시에라리온,
2015,11,남아프리카공화국,1139.0
2015,11,모리셔스,651.0
2015,11,스와질랜드,183.0
2015,11,세이쉘,175.0
2015,11,짐바브웨,
2015,11,우간다,
2015,11,시에라리온,
2015,12,남아프리카공화국,1450.0
