year,month,country,nTourist
2015,1,미국,160175.0
2015,1,캐나다,11115.0
2015,1,브라질,50725.0
2015,1,도미니카공화국,89.0
2015,1,자메이카,77.0
2015,1,과테말라,1298.0
2015,1,칠레,3015.0
2015,1,코스타리카,461.0
2015,1,파나마,439.0
2015,1,페루,23094.0
2015,1,멕시코,7594.0
2015,1,에콰도르,5042.0
2015,1,괌,
2015,2,미국,118912.0
2015,2,캐나다,9397.0
2015,2,브라질,
2015,2,도미니카공화국,87.0
2015,2,자메이카,45.0
2015,2,과테말라,682.0
2015,2,칠레,1627.0
2015,2,코스타리카,432.0
2015,2,파나마,441.0
2015,2,페루,
2015,2,멕시코,6317.0
2015,2,에콰도르,
2015,2,괌,
2015,3,미국,113589.0
2015,3,캐나다,9197.0
2015,3,브라질,
2015,3,도미니카공화국,191.0
2015,3,자메이카,30.0
2015,3,과테말라,694.0
2015,3,칠레,1814.0
2015,3,코스타리카,350.0
2015,3,파나마,520.0
2015,3,페루,
2015,3,멕시코,8675.0
2015,3,에콰도르,
2015,3,괌,
2015,4,미국,132226.0
2015,4,캐나다,11823.0
2015,4,브라질,
2015,4,도미니카공화국,115.0
2015,4,자메이카,31.0
2015,4,과테말라,998.0
2015,4,칠레,1469.0
2015,4,코스타리카,327.0
2015,4,파나마,329.0
2015,4,페루,
2015,4,멕시코,6945.0
2015,4,에콰도르,
2015,4,괌,
2015,5,미국,154737.0
2015,5,캐나다,19841.0
2015,5,브라질,
2015,5,도미니카공화국,95.0
2015,5,자메이카,26.0
2015,5,과테말라,677.0
2015,5,칠레,726.0
2015,5,코스타리카,230.0
2015,5,파나마,349.0
2015,5,페루,
2015,5,멕시코,7901.0
2015,5,에콰도르,
2015,5,괌,
2015,6,미국,147947.0
2015,6,캐나다,24961.0
2015,6,브라질,
2015,6,도미니카공화국,140.0
2015,6,자메이카,23.0
2015,6,과테말라,2902.0
2015,6,칠레,733.0
2015,6,코스타리카,356.0
2015,6,파나마,380.0
2015,6,페루,
2015,6,멕시코,7535.0
2015,6,에콰도르,
2015,6,괌,
2015,7,미국,176272.0
2015,7,캐나다,32107.0
2015,7,브라질,
2015,7,도미니카공화국,254.0
2015,7,자메이카,34.0
2015,7,과테말라,889.0
2015,7,칠레,966.0
2015,7,코스타리카,308.0
2015,7,파나마,490.0
2015,7,페루,
2015,7,멕시코,7300.0
2015,7,에콰도르,
2015,7,괌,
2015,8,미국,161642.0
2015,8,캐나다,22622.0
2015,8,브라질,
2015,8,도미니카공화국,171.0
2015,8,자메이카,38.0
2015,8,과테말라,
2015,8,칠레,864.0
2015,8,코스타리카,289.0
2015,8,파나마,415.0
2015,8,페루,
2015,8,멕시코,7572.0
2015,8,에콰도르,
2015,8,괌,
2015,9,미국,146037.0
2015,9,캐나다,20968.0
2015,9,브라질,
2015,9,도미니카공화국,124.0
2015,9,자메이카,37.0
2015,9,과테말라,
2015,9,칠레,1738.0
2015,9,코스타리카,250.0
2015,9,파나마,376.0
2015,9,페루,
2015,9,멕시코,6339.0
2015,9,에콰도르,
2015,9,괌,
2015,10,미국,153690.0
2015,10,캐나다,20265.0
2015,10,브라질,
2015,10,도미니카공화국,210.0
2015,10,자메이카,26.0
2015,10,과테말라,
2015,10,칠레,
2015,10,코스타리카,300.0
2015,10,파나마,415.0
2015,10,페루,
2015,10,멕시코,8146.0
2015,10,에콰도르,
2015,10,괌,
2015,11,미국,145991.0
2015,11,캐나다,9718.0
2015,11,브라질,
2015,11,도미니카공화국,170.0
2015,11,자메이카,23.0
2015,11,과테말라,
2015,11,칠레,1555.0
2015,11,코스타리카,378.0
2015,11,파나마,526.0
2015,11,페루,
2015,11,멕시코,10553.0
2015,11,에콰도르,
2015,11,괌,
2015,12,미국,164238.0
2015,12,캐나다,12727.0
2015,12,브라질,
2015,12,도미니카공화국,165.0
2015,12,자메이카,36.0
2015,12,과테말라,
2015,12,칠레,1872.0
2015,12,코스타리카,486.0
2015,12,파나마,420.0
2015,12,페루,
2015,12,멕시코,10577.0
2015,12,에콰도르,
2015,12,괌,
2016,1,미국,181347.0
2016,1,캐나다,12658.0
2016,1,브라질,50312.0
2016,1,도미니카공화국,201.0
2016,1,자메이카,42.0
2016,1,과테말라,
2016,1,칠레,16323.0
2016,1,코스타리카,502.0
2016,1,파나마,492.0
2016,1,페루,21347.0
2016,1,멕시코,9365.0
2016,1,에콰도르,5053.0
2016,1,괌,48859.0
2016,2,미국,150529.0
2016,2,캐나다,11806.0
2016,2,브라질,
2016,2,도미니카공화국,183.0
2016,2,자메이카,34.0
2016,2,과테말라,
2016,2,칠레,
2016,2,코스타리카,415.0
2016,2,파나마,
2016,2,페루,
2016,2,멕시코,7307.0
2016,2,에콰도르,
2016,2,괌,41576.0
2016,3,미국,126499.0
2016,3,캐나다,10341.0
2016,3,브라질,
2016,3,도미니카공화국,190.0
2016,3,자메이카,26.0
2016,3,과테말라,
2016,3,칠레,
2016,3,코스타리카,451.0
2016,3,파나마,
2016,3,페루,
2016,3,멕시코,8465.0
2016,3,에콰도르,
2016,3,괌,34444.0
2016,4,미국,136312.0
2016,4,캐나다,14582.0
2016,4,브라질,
2016,4,도미니카공화국,146.0
2016,4,자메이카,21.0
2016,4,과테말라,
2016,4,칠레,
2016,4,코스타리카,292.0
2016,4,파나마,
2016,4,페루,
2016,4,멕시코,7217.0
2016,4,에콰도르,
2016,4,괌,38667.0
2016,5,미국,154922.0
2016,5,캐나다,21143.0
2016,5,브라질,
2016,5,도미니카공화국,206.0
2016,5,자메이카,18.0
2016,5,과테말라,
2016,5,칠레,
2016,5,코스타리카,283.0
2016,5,파나마,
2016,5,페루,
2016,5,멕시코,6931.0
2016,5,에콰도르,
2016,5,괌,43354.0
2016,6,미국,172488.0
2016,6,캐나다,29325.0
2016,6,브라질,
2016,6,도미니카공화국,191.0
2016,6,자메이카,46.0
2016,6,과테말라,
2016,6,칠레,
2016,6,코스타리카,321.0
2016,6,파나마,
2016,6,페루,
2016,6,멕시코,6245.0
2016,6,에콰도르,
2016,6,괌,46078.0
2016,7,미국,195374.0
2016,7,캐나다,41841.0
2016,7,브라질,
2016,7,도미니카공화국,256.0
2016,7,자메이카,41.0
2016,7,과테말라,
2016,7,칠레,
2016,7,코스타리카,368.0
2016,7,파나마,
2016,7,페루,
2016,7,멕시코,6646.0
2016,7,에콰도르,
2016,7,괌,48883.0
2016,8,미국,171043.0
2016,8,캐나다,31165.0
2016,8,브라질,
2016,8,도미니카공화국,248.0
2016,8,자메이카,16.0
2016,8,과테말라,
2016,8,칠레,
2016,8,코스타리카,286.0
2016,8,파나마,
2016,8,페루,
2016,8,멕시코,7295.0
2016,8,에콰도르,
2016,8,괌,46909.0
2016,9,미국,179262.0
2016,9,캐나다,33283.0
2016,9,브라질,
2016,9,도미니카공화국,220.0
2016,9,자메이카,19.0
2016,9,과테말라,
2016,9,칠레,
