year,month,country,nTourist
2015,1,일본,358093.0
2015,1,중국,367700.0
2015,1,베트남,116450.0
2015,1,태국,153062.0
2015,1,필리핀,147163.0
2015,1,홍콩,147556.0
2015,1,대만,75201.0
2015,1,마카오,68791.0
2015,1,싱가포르,71820.0
2015,1,말레이시아,55297.0
2015,1,인도네시아,38620.0
2015,1,캄보디아,73059.0
2015,1,라오스,165328.0
2015,1,터키,25192.0
2015,1,인도,102993.0
2015,1,몽골,5497.0
2015,1,미얀마,63715.0
2015,1,이스라엘,3300.0
2015,1,몰디브,2133.0
2015,1,스리랑카,1856.0
2015,1,사이프러스,0.0
2015,1,부탄,640.0
2015,1,요르단,11437.0
2015,1,네팔,4097.0
2015,1,예멘,74.0
2015,2,일본,321576.0
2015,2,중국,280200.0
2015,2,베트남,145563.0
2015,2,태국,117331.0
2015,2,필리핀,121218.0
2015,2,홍콩,118746.0
2015,2,대만,57692.0
2015,2,마카오,56240.0
2015,2,싱가포르,51415.0
2015,2,말레이시아,36515.0
2015,2,인도네시아,30938.0
2015,2,캄보디아,49616.0
2015,2,라오스,
2015,2,터키,19917.0
2015,2,인도,
2015,2,몽골,
2015,2,미얀마,
2015,2,이스라엘,2600.0
2015,2,몰디브,1648.0
2015,2,스리랑카,1159.0
2015,2,사이프러스,0.0
2015,2,부탄,
2015,2,요르단,
2015,2,네팔,1054.0
2015,2,예멘,
2015,3,일본,268156.0
2015,3,중국,345000.0
2015,3,베트남,90804.0
2015,3,태국,100236.0
2015,3,필리핀,93099.0
2015,3,홍콩,98909.0
2015,3,대만,49733.0
2015,3,마카오,43613.0
2015,3,싱가포르,42872.0
2015,3,말레이시아,29366.0
2015,3,인도네시아,28565.0
2015,3,캄보디아,37222.0
2015,3,라오스,
2015,3,터키,14165.0
2015,3,인도,
2015,3,몽골,
2015,3,미얀마,
2015,3,이스라엘,2100.0
2015,3,몰디브,3184.0
2015,3,스리랑카,1080.0
2015,3,사이프러스,0.0
2015,3,부탄,
2015,3,요르단,
2015,3,네팔,2381.0
2015,3,예멘,
2015,4,일본,304619.0
2015,4,중국,399500.0
2015,4,베트남,85297.0
2015,4,태국,86307.0
2015,4,필리핀,90465.0
2015,4,홍콩,97683.0
2015,4,대만,49826.0
2015,4,마카오,41215.0
2015,4,싱가포르,41602.0
2015,4,말레이시아,28773.0
2015,4,인도네시아,28747.0
2015,4,캄보디아,27746.0
2015,4,라오스,
2015,4,터키,20352.0
2015,4,인도,
2015,4,몽골,9705.0
2015,4,미얀마,
2015,4,이스라엘,2100.0
2015,4,몰디브,2565.0
2015,4,스리랑카,735.0
2015,4,사이프러스,38.0
2015,4,부탄,
2015,4,요르단,
2015,4,네팔,1659.0
2015,4,예멘,
2015,5,일본,315389.0
2015,5,중국,423100.0
2015,5,베트남,81557.0
2015,5,태국,89584.0
2015,5,필리핀,94086.0
2015,5,홍콩,116583.0
2015,5,대만,54583.0
2015,5,마카오,52298.0
2015,5,싱가포르,43883.0
2015,5,말레이시아,29136.0
2015,5,인도네시아,26200.0
2015,5,캄보디아,22985.0
2015,5,라오스,
2015,5,터키,22016.0
2015,5,인도,
2015,5,몽골,
2015,5,미얀마,
2015,5,이스라엘,2000.0
2015,5,몰디브,3485.0
2015,5,스리랑카,840.0
2015,5,사이프러스,0.0
2015,5,부탄,
2015,5,요르단,
2015,5,네팔,708.0
2015,5,예멘,
2015,6,일본,251504.0
2015,6,중국,325700.0
2015,6,베트남,72927.0
2015,6,태국,91776.0
2015,6,필리핀,96954.0
2015,6,홍콩,68975.0
2015,6,대만,36696.0
2015,6,마카오,31406.0
2015,6,싱가포르,37193.0
2015,6,말레이시아,25926.0
2015,6,인도네시아,27224.0
2015,6,캄보디아,17282.0
2015,6,라오스,
2015,6,터키,18488.0
2015,6,인도,
2015,6,몽골,
2015,6,미얀마,
2015,6,이스라엘,1500.0
2015,6,몰디브,2734.0
2015,6,스리랑카,941.0
2015,6,사이프러스,0.0
2015,6,부탄,
