Gungu,Name,Year,Month,Korean,Foreigner
수원시,kbs수원센터(kbs수원아트홀),2015,1,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,2,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,3,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,4,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,5,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,6,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,7,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,8,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,9,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,10,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,11,0,0
수원시,kbs수원센터(kbs수원아트홀),2015,12,0,0
수원시,kbs수원센터(kbs수원아트홀),2016,1,7325,0
수원시,kbs수원센터(kbs수원아트홀),2016,2,4549,0
수원시,kbs수원센터(kbs수원아트홀),2016,3,5343,0
수원시,kbs수원센터(kbs수원아트홀),2016,4,6012,0
수원시,kbs수원센터(kbs수원아트홀),2016,5,5522,0
수원시,kbs수원센터(kbs수원아트홀),2016,6,2275,0
수원시,kbs수원센터(kbs수원아트홀),2016,7,7992,0
수원시,kbs수원센터(kbs수원아트홀),2016,8,9655,0
수원시,kbs수원센터(kbs수원아트홀),2016,9,10055,0
수원시,kbs수원센터(kbs수원아트홀),2016,10,4638,0
수원시,kbs수원센터(kbs수원아트홀),2016,11,5015,0
수원시,kbs수원센터(kbs수원아트홀),2016,12,8200,0
수원시,kbs수원센터(kbs수원아트홀),2017,1,4929,0
수원시,kbs수원센터(kbs수원아트홀),2017,2,5929,0
수원시,kbs수원센터(kbs수원아트홀),2017,3,6753,0
수원시,kbs수원센터(kbs수원아트홀),2017,4,7502,0
수원시,kbs수원센터(kbs수원아트홀),2017,5,4064,0
수원시,kbs수원센터(kbs수원아트홀),2017,6,3250,0
수원시,kbs수원센터(kbs수원아트홀),2017,7,5676,0
수원시,kbs수원센터(kbs수원아트홀),2017,8,7342,0
수원시,kbs수원센터(kbs수원아트홀),2017,9,4206,0
수원시,kbs수원센터(kbs수원아트홀),2017,10,3645,0
수원시,kbs수원센터(kbs수원아트홀),2017,11,3958,0
수원시,kbs수원센터(kbs수원아트홀),2017,12,11578,0
수원시,kbs수원센터(kbs수원아트홀),2018,1,6412,0
수원시,kbs수원센터(kbs수원아트홀),2018,2,5531,0
수원시,kbs수원센터(kbs수원아트홀),2018,3,4550,0
수원시,kbs수원센터(kbs수원아트홀),2018,4,3803,0
수원시,kbs수원센터(kbs수원아트홀),2018,5,4600,0
수원시,kbs수원센터(kbs수원아트홀),2018,6,4525,0
수원시,kbs수원센터(kbs수원아트홀),2018,7,6442,0
수원시,kbs수원센터(kbs수원아트홀),2018,8,7547,0
수원시,kbs수원센터(kbs수원아트홀),2018,9,5622,0
