Gungu,Name,Year,Month,Korean,Foreigner
통합창원시,3.15아트,2015,1,24857,0
통합창원시,3.15아트,2015,2,21410,0
통합창원시,3.15아트,2015,3,20078,0
통합창원시,3.15아트,2015,4,21006,0
통합창원시,3.15아트,2015,5,16903,0
통합창원시,3.15아트,2015,6,13432,0
통합창원시,3.15아트,2015,7,8310,0
통합창원시,3.15아트,2015,8,6786,0
통합창원시,3.15아트,2015,9,10319,0
통합창원시,3.15아트,2015,10,16577,0
통합창원시,3.15아트,2015,11,20199,0
통합창원시,3.15아트,2015,12,19435,0
통합창원시,3.15아트,2016,1,5579,0
통합창원시,3.15아트,2016,2,7945,0
통합창원시,3.15아트,2016,3,10766,0
통합창원시,3.15아트,2016,4,14738,0
통합창원시,3.15아트,2016,5,9771,0
통합창원시,3.15아트,2016,6,14570,0
통합창원시,3.15아트,2016,7,6875,0
통합창원시,3.15아트,2016,8,8803,0
통합창원시,3.15아트,2016,9,12108,0
통합창원시,3.15아트,2016,10,14068,0
통합창원시,3.15아트,2016,11,23014,0
통합창원시,3.15아트,2016,12,26791,0
통합창원시,3.15아트,2017,1,3044,0
통합창원시,3.15아트,2017,2,7138,0
통합창원시,3.15아트,2017,3,11402,0
통합창원시,3.15아트,2017,4,11081,0
통합창원시,3.15아트,2017,5,17594,0
통합창원시,3.15아트,2017,6,16297,0
통합창원시,3.15아트,2017,7,10909,0
통합창원시,3.15아트,2017,8,10878,0
통합창원시,3.15아트,2017,9,16494,0
통합창원시,3.15아트,2017,10,11954,0
통합창원시,3.15아트,2017,11,20795,0
통합창원시,3.15아트,2017,12,23741,0
통합창원시,3.15아트,2018,1,12223,12
통합창원시,3.15아트,2018,2,5990,9
통합창원시,3.15아트,2018,3,13062,12
통합창원시,3.15아트,2018,4,7495,13
통합창원시,3.15아트,2018,5,16631,16
통합창원시,3.15아트,2018,6,11684,30
통합창원시,3.15아트,2018,7,12886,32
통합창원시,3.15아트,2018,8,10857,4
통합창원시,3.15아트,2018,9,10069,0
통합창원시,3.15아트,2018,10,23338,36
통합창원시,3.15아트,2018,11,20267,4
통합창원시,3.15아트,2018,12,14719,2
통합창원시,3.15아트,2019,1,7191,0
통합창원시,3.15아트,2019,2,9775,0
통합창원시,3.15아트,2019,3,12518,2
통합창원시,3.15아트,2019,4,11076,0
통합창원시,3.15아트,2019,5,16148,3
통합창원시,3.15아트,2019,6,13892,9
통합창원시,3.15아트,2019,7,12284,0
통합창원시,3.15아트,2019,8,12776,0
통합창원시,3.15아트,2019,9,12361,0
통합창원시,3.15아트,2019,10,18426,4
통합창원시,3.15아트,2019,11,23036,3
통합창원시,3.15아트,2019,12,18237,2
통합창원시,3.15아트,2020,1,0,0
통합창원시,3.15아트,2020,2,0,0
통합창원시,3.15아트,2020,3,0,0
통합창원시,3.15아트,2020,4,0,0
통합창원시,3.15아트,2020,5,0,0
통합창원시,3.15아트,2020,6,4346,0
통합창원시,군항문화탐방,2015,1,0,0
통합창원시,군항문화탐방,2015,2,0,0
통합창원시,군항문화탐방,2015,3,0,0
통합창원시,군항문화탐방,2015,4,0,0
통합창원시,군항문화탐방,2015,5,0,0
통합창원시,군항문화탐방,2015,6,0,0
통합창원시,군항문화탐방,2015,7,0,0
통합창원시,군항문화탐방,2015,8,0,0
통합창원시,군항문화탐방,2015,9,0,0
통합창원시,군항문화탐방,2015,10,0,0
통합창원시,군항문화탐방,2015,11,0,0
통합창원시,군항문화탐방,2015,12,0,0
통합창원시,군항문화탐방,2016,1,498,0
통합창원시,군항문화탐방,2016,2,236,0
통합창원시,군항문화탐방,2016,3,1511,0
통합창원시,군항문화탐방,2016,4,1297,0
통합창원시,군항문화탐방,2016,5,1357,0
통합창원시,군항문화탐방,2016,6,1295,0
통합창원시,군항문화탐방,2016,7,870,0
통합창원시,군항문화탐방,2016,8,836,0
통합창원시,군항문화탐방,2016,9,853,0
통합창원시,군항문화탐방,2016,10,1517,0
통합창원시,군항문화탐방,2016,11,1764,0
통합창원시,군항문화탐방,2016,12,561,0
통합창원시,군항문화탐방,2017,1,383,0
통합창원시,군항문화탐방,2017,2,706,0
통합창원시,군항문화탐방,2017,3,1178,0
통합창원시,군항문화탐방,2017,4,970,0
통합창원시,군항문화탐방,2017,5,1494,0
통합창원시,군항문화탐방,2017,6,1073,0
통합창원시,군항문화탐방,2017,7,888,0
통합창원시,군항문화탐방,2017,8,925,0
통합창원시,군항문화탐방,2017,9,1423,0
통합창원시,군항문화탐방,2017,10,1371,0
통합창원시,군항문화탐방,2017,11,971,0
통합창원시,군항문화탐방,2017,12,726,0
통합창원시,군항문화탐방,2018,1,226,0
통합창원시,군항문화탐방,2018,2,569,0
통합창원시,군항문화탐방,2018,3,699,0
통합창원시,군항문화탐방,2018,4,1199,0
통합창원시,군항문화탐방,2018,5,691,0
통합창원시,군항문화탐방,2018,6,791,0
통합창원시,군항문화탐방,2018,7,1159,0
통합창원시,군항문화탐방,2018,8,820,0
통합창원시,군항문화탐방,2018,9,778,0
통합창원시,군항문화탐방,2018,10,1438,0
통합창원시,군항문화탐방,2018,11,592,0
통합창원시,군항문화탐방,2018,12,3182,0
통합창원시,군항문화탐방,2019,1,153,0
통합창원시,군항문화탐방,2019,2,113,0
통합창원시,군항문화탐방,2019,3,1005,0
통합창원시,군항문화탐방,2019,4,835,0
통합창원시,군항문화탐방,2019,5,1681,0
통합창원시,군항문화탐방,2019,6,1423,0
통합창원시,군항문화탐방,2019,7,799,0
통합창원시,군항문화탐방,2019,8,993,0
통합창원시,군항문화탐방,2019,9,508,0
통합창원시,군항문화탐방,2019,10,1045,0
통합창원시,군항문화탐방,2019,11,1384,0
통합창원시,군항문화탐방,2019,12,579,0
통합창원시,군항문화탐방,2020,1,0,0
통합창원시,군항문화탐방,2020,2,0,0
통합창원시,군항문화탐방,2020,3,0,0
통합창원시,군항문화탐방,2020,4,0,0
통합창원시,군항문화탐방,2020,5,0,0
통합창원시,군항문화탐방,2020,6,0,0
통합창원시,도립미술관,2015,1,1549,4
통합창원시,도립미술관,2015,2,5080,15
통합창원시,도립미술관,2015,3,4709,4
통합창원시,도립미술관,2015,4,5934,16
통합창원시,도립미술관,2015,5,2501,9
통합창원시,도립미술관,2015,6,9374,8
통합창원시,도립미술관,2015,7,15810,1
통합창원시,도립미술관,2015,8,21024,66
통합창원시,도립미술관,2015,9,3993,4
통합창원시,도립미술관,2015,10,7796,30
통합창원시,도립미술관,2015,11,7411,7
통합창원시,도립미술관,2015,12,6779,0
통합창원시,도립미술관,2016,1,4904,2
통합창원시,도립미술관,2016,2,3326,13
통합창원시,도립미술관,2016,3,2833,5
통합창원시,도립미술관,2016,4,5238,7
통합창원시,도립미술관,2016,5,7210,10
통합창원시,도립미술관,2016,6,15689,5
통합창원시,도립미술관,2016,7,37562,13
통합창원시,도립미술관,2016,8,37855,15
통합창원시,도립미술관,2016,9,1184,0
통합창원시,도립미술관,2016,10,12890,7
통합창원시,도립미술관,2016,11,10742,8
통합창원시,도립미술관,2016,12,6656,2
통합창원시,도립미술관,2017,1,0,0
