Gungu,Name,Year,Month,Korean,Foreigner
포항시,경상북도수목원,2015,1,0,0
포항시,경상북도수목원,2015,2,0,0
포항시,경상북도수목원,2015,3,0,0
포항시,경상북도수목원,2015,4,0,0
포항시,경상북도수목원,2015,5,0,0
포항시,경상북도수목원,2015,6,0,0
포항시,경상북도수목원,2015,7,0,0
포항시,경상북도수목원,2015,8,0,0
포항시,경상북도수목원,2015,9,0,0
포항시,경상북도수목원,2015,10,0,0
포항시,경상북도수목원,2015,11,0,0
포항시,경상북도수목원,2015,12,0,0
포항시,경상북도수목원,2016,1,2270,0
포항시,경상북도수목원,2016,2,2966,0
포항시,경상북도수목원,2016,3,6944,0
포항시,경상북도수목원,2016,4,12803,15
포항시,경상북도수목원,2016,5,29416,43
포항시,경상북도수목원,2016,6,17632,15
포항시,경상북도수목원,2016,7,38950,64
포항시,경상북도수목원,2016,8,20511,53
포항시,경상북도수목원,2016,9,22319,47
포항시,경상북도수목원,2016,10,40211,155
포항시,경상북도수목원,2016,11,19100,87
포항시,경상북도수목원,2016,12,2860,0
포항시,경상북도수목원,2017,1,2803,0
포항시,경상북도수목원,2017,2,2515,0
포항시,경상북도수목원,2017,3,6896,0
포항시,경상북도수목원,2017,4,15116,0
포항시,경상북도수목원,2017,5,30858,0
포항시,경상북도수목원,2017,6,18086,0
포항시,경상북도수목원,2017,7,17149,0
포항시,경상북도수목원,2017,8,19411,0
포항시,경상북도수목원,2017,9,22279,0
포항시,경상북도수목원,2017,10,44385,0
포항시,경상북도수목원,2017,11,17270,0
포항시,경상북도수목원,2017,12,2074,0
포항시,경상북도수목원,2018,1,2894,0
포항시,경상북도수목원,2018,2,2630,0
포항시,경상북도수목원,2018,3,8045,0
포항시,경상북도수목원,2018,4,15160,0
포항시,경상북도수목원,2018,5,35002,0
포항시,경상북도수목원,2018,6,20102,0
포항시,경상북도수목원,2018,7,17014,0
포항시,경상북도수목원,2018,8,19003,0
포항시,경상북도수목원,2018,9,26022,0
포항시,경상북도수목원,2018,10,38006,0
포항시,경상북도수목원,2018,11,17237,0
포항시,경상북도수목원,2018,12,2125,0
포항시,경상북도수목원,2019,1,2903,0
포항시,경상북도수목원,2019,2,2483,0
포항시,경상북도수목원,2019,3,7028,0
포항시,경상북도수목원,2019,4,17906,0
포항시,경상북도수목원,2019,5,33075,0
포항시,경상북도수목원,2019,6,20117,0
포항시,경상북도수목원,2019,7,16892,0
포항시,경상북도수목원,2019,8,19629,0
포항시,경상북도수목원,2019,9,25275,0
