GUNGU,NAME,YEAR,MONTH,KOREAN,FOREIGNER
동구,곰적골,2015,1,0,0
동구,곰적골,2015,2,0,0
동구,곰적골,2015,3,0,0
동구,곰적골,2015,4,0,0
동구,곰적골,2015,5,0,0
동구,곰적골,2015,6,0,0
동구,곰적골,2015,7,0,0
동구,곰적골,2015,8,0,0
동구,곰적골,2015,9,0,0
동구,곰적골,2015,10,0,0
동구,곰적골,2015,11,0,0
동구,곰적골,2015,12,0,0
동구,곰적골,2016,1,0,0
동구,곰적골,2016,2,0,0
동구,곰적골,2016,3,0,0
동구,곰적골,2016,4,0,0
동구,곰적골,2016,5,0,0
동구,곰적골,2016,6,0,0
동구,곰적골,2016,7,0,0
동구,곰적골,2016,8,0,0
동구,곰적골,2016,9,0,0
동구,곰적골,2016,10,0,0
동구,곰적골,2016,11,0,0
동구,곰적골,2016,12,0,0
동구,곰적골,2017,1,2844,0
동구,곰적골,2017,2,2485,0
동구,곰적골,2017,3,4181,0
동구,곰적골,2017,4,3574,0
동구,곰적골,2017,5,2163,0
동구,곰적골,2017,6,1968,0
동구,곰적골,2017,7,"6,960",0
동구,곰적골,2017,8,"3,035",0
동구,곰적골,2017,9,3045,0
동구,곰적골,2017,10,"1,879",0
동구,곰적골,2017,11,175,0
동구,곰적골,2017,12,642,0
동구,곰적골,2018,1,723,0
동구,곰적골,2018,2,3101,0
동구,곰적골,2018,3,9940,0
동구,곰적골,2018,4,10222,0
동구,곰적골,2018,5,2390,0
동구,곰적골,2018,6,2062,0
동구,곰적골,2018,7,2361,0
동구,곰적골,2018,8,2026,0
동구,곰적골,2018,9,2748,0
동구,곰적골,2018,10,2225,0
동구,곰적골,2018,11,1896,0
동구,곰적골,2018,12,879,0
동구,곰적골,2019,1,1101,0
동구,곰적골,2019,2,2786,0
동구,곰적골,2019,3,8889,0
동구,곰적골,2019,4,9702,0
동구,곰적골,2019,5,2290,0
동구,곰적골,2019,6,1685,0
동구,곰적골,2019,7,1776,0
동구,곰적골,2019,8,1640,0
동구,곰적골,2019,9,3111,0
동구,곰적골,2019,10,2005,0
동구,곰적골,2019,11,1928,0
동구,곰적골,2019,12,1035,0
동구,광주광역시 5.18민주화운동기록관,2015,1,0,0
동구,광주광역시 5.19민주화운동기록관,2015,2,0,0
동구,광주광역시 5.20민주화운동기록관,2015,3,0,0
동구,광주광역시 5.21민주화운동기록관,2015,4,0,0
동구,광주광역시 5.22민주화운동기록관,2015,5,5810,0
동구,광주광역시 5.23민주화운동기록관,2015,6,1886,0
동구,광주광역시 5.24민주화운동기록관,2015,7,2019,0
동구,광주광역시 5.25민주화운동기록관,2015,8,1926,0
동구,광주광역시 5.26민주화운동기록관,2015,9,1394,0
동구,광주광역시 5.27민주화운동기록관,2015,10,2345,0
동구,광주광역시 5.28민주화운동기록관,2015,11,1504,0
동구,광주광역시 5.29민주화운동기록관,2015,12,2198,0
동구,광주광역시 5.30민주화운동기록관,2016,1,1637,0
동구,광주광역시 5.31민주화운동기록관,2016,2,1427,0
동구,광주광역시 5.32민주화운동기록관,2016,3,1489,0
동구,광주광역시 5.33민주화운동기록관,2016,4,2318,0
동구,광주광역시 5.34민주화운동기록관,2016,5,8234,0
동구,광주광역시 5.35민주화운동기록관,2016,6,3016,0
동구,광주광역시 5.36민주화운동기록관,2016,7,3813,0
동구,광주광역시 5.37민주화운동기록관,2016,8,3180,0
동구,광주광역시 5.38민주화운동기록관,2016,9,2908,0
동구,광주광역시 5.39민주화운동기록관,2016,10,4041,0
동구,광주광역시 5.40민주화운동기록관,2016,11,3350,0
동구,광주광역시 5.41민주화운동기록관,2016,12,2969,0
동구,광주광역시 5.42민주화운동기록관,2017,1,2425,0
동구,광주광역시 5.43민주화운동기록관,2017,2,3552,0
동구,광주광역시 5.44민주화운동기록관,2017,3,2823,0
동구,광주광역시 5.45민주화운동기록관,2017,4,2623,0
동구,광주광역시 5.46민주화운동기록관,2017,5,9907,0
동구,광주광역시 5.47민주화운동기록관,2017,6,3316,0
동구,광주광역시 5.48민주화운동기록관,2017,7,4036,0
동구,광주광역시 5.49민주화운동기록관,2017,8,6454,0
동구,광주광역시 5.50민주화운동기록관,2017,9,4166,0
동구,광주광역시 5.51민주화운동기록관,2017,10,5774,0
동구,광주광역시 5.52민주화운동기록관,2017,11,3867,0
동구,광주광역시 5.53민주화운동기록관,2017,12,4246,0
동구,광주광역시 5.54민주화운동기록관,2018,1,3404,0
동구,광주광역시 5.55민주화운동기록관,2018,2,2020,0
동구,광주광역시 5.56민주화운동기록관,2018,3,2841,0
동구,광주광역시 5.57민주화운동기록관,2018,4,3487,0
동구,광주광역시 5.58민주화운동기록관,2018,5,11132,0
동구,광주광역시 5.59민주화운동기록관,2018,6,2740,0
동구,광주광역시 5.60민주화운동기록관,2018,7,532,0
동구,광주광역시 5.61민주화운동기록관,2018,8,860,0
동구,광주광역시 5.62민주화운동기록관,2018,9,926,0
동구,광주광역시 5.63민주화운동기록관,2018,10,4950,0
동구,광주광역시 5.64민주화운동기록관,2018,11,4508,0
동구,광주광역시 5.65민주화운동기록관,2018,12,4196,0
동구,광주광역시 5.66민주화운동기록관,2019,1,2989,0
동구,광주광역시 5.67민주화운동기록관,2019,2,3032,0
동구,광주광역시 5.68민주화운동기록관,2019,3,3523,0
동구,광주광역시 5.69민주화운동기록관,2019,4,4119,0
동구,광주광역시 5.70민주화운동기록관,2019,5,13083,0
동구,광주광역시 5.71민주화운동기록관,2019,6,4115,0
동구,광주광역시 5.72민주화운동기록관,2019,7,4400,0
동구,광주광역시 5.73민주화운동기록관,2019,8,5498,0
동구,광주광역시 5.74민주화운동기록관,2019,9,3728,0
동구,광주광역시 5.75민주화운동기록관,2019,10,5903,0
동구,광주광역시 5.76민주화운동기록관,2019,11,4663,0
동구,광주광역시 5.77민주화운동기록관,2019,12,3491,0
동구,무등산국립공원(동적골),2015,1,15454,0
동구,무등산국립공원(동적골),2015,2,15473,0
동구,무등산국립공원(동적골),2015,3,21643,0
동구,무등산국립공원(동적골),2015,4,34859,0
동구,무등산국립공원(동적골),2015,5,25026,0
동구,무등산국립공원(동적골),2015,6,20595,0
동구,무등산국립공원(동적골),2015,7,25413,0
동구,무등산국립공원(동적골),2015,8,28731,0
동구,무등산국립공원(동적골),2015,9,27118,0
동구,무등산국립공원(동적골),2015,10,26793,0
동구,무등산국립공원(동적골),2015,11,22836,0
동구,무등산국립공원(동적골),2015,12,19847,0
동구,무등산국립공원(동적골),2016,1,12215,0
동구,무등산국립공원(동적골),2016,2,13416,0
동구,무등산국립공원(동적골),2016,3,19396,0
동구,무등산국립공원(동적골),2016,4,24282,0
동구,무등산국립공원(동적골),2016,5,18696,0
동구,무등산국립공원(동적골),2016,6,16658,0
동구,무등산국립공원(동적골),2016,7,13721,0
동구,무등산국립공원(동적골),2016,8,13476,0
동구,무등산국립공원(동적골),2016,9,15756,0
동구,무등산국립공원(동적골),2016,10,24338,0
동구,무등산국립공원(동적골),2016,11,17526,0
동구,무등산국립공원(동적골),2016,12,12885,0
동구,무등산국립공원(동적골),2017,1,17286,0
동구,무등산국립공원(동적골),2017,2,14473,0
동구,무등산국립공원(동적골),2017,3,21956,0
동구,무등산국립공원(동적골),2017,4,26664,0
동구,무등산국립공원(동적골),2017,5,24300,0
동구,무등산국립공원(동적골),2017,6,18872,0
동구,무등산국립공원(동적골),2017,7,15813,0
동구,무등산국립공원(동적골),2017,8,19497,0
동구,무등산국립공원(동적골),2017,9,23094,0
동구,무등산국립공원(동적골),2017,10,23988,0
동구,무등산국립공원(동적골),2017,11,18481,0
동구,무등산국립공원(동적골),2017,12,14280,0
동구,무등산국립공원(동적골),2018,1,14729,0
동구,무등산국립공원(동적골),2018,2,17465,0
동구,무등산국립공원(동적골),2018,3,22700,0
동구,무등산국립공원(동적골),2018,4,26800,0
동구,무등산국립공원(동적골),2018,5,20215,0
동구,무등산국립공원(동적골),2018,6,9869,0
동구,무등산국립공원(동적골),2018,7,7693,0
동구,무등산국립공원(동적골),2018,8,11093,0
동구,무등산국립공원(동적골),2018,9,20196,0
동구,무등산국립공원(동적골),2018,10,27793,0
동구,무등산국립공원(동적골),2018,11,20357,0
동구,무등산국립공원(동적골),2018,12,15647,0
동구,무등산국립공원(동적골),2019,1,17481,0
동구,무등산국립공원(동적골),2019,2,17570,0
동구,무등산국립공원(동적골),2019,3,22237,0
동구,무등산국립공원(동적골),2019,4,23366,0
동구,무등산국립공원(동적골),2019,5,27076,0
동구,무등산국립공원(동적골),2019,6,18745,0
동구,무등산국립공원(동적골),2019,7,12041,0
동구,무등산국립공원(동적골),2019,8,16505,0
동구,무등산국립공원(동적골),2019,9,20343,0
동구,무등산국립공원(동적골),2019,10,26032,0
동구,무등산국립공원(동적골),2019,11,22832,0
동구,무등산국립공원(동적골),2019,12,16079,0
동구,지원정수장,2015,1,0,0
동구,지원정수장,2015,2,0,0
동구,지원정수장,2015,3,0,0
동구,지원정수장,2015,4,0,0
동구,지원정수장,2015,5,0,0
동구,지원정수장,2015,6,0,0
동구,지원정수장,2015,7,0,0
동구,지원정수장,2015,8,0,0
동구,지원정수장,2015,9,0,0
동구,지원정수장,2015,10,0,0
동구,지원정수장,2015,11,0,0
동구,지원정수장,2015,12,0,0
동구,지원정수장,2016,1,0,0
동구,지원정수장,2016,2,0,0
동구,지원정수장,2016,3,0,0
동구,지원정수장,2016,4,0,0
동구,지원정수장,2016,5,0,0
동구,지원정수장,2016,6,0,0
동구,지원정수장,2016,7,0,0
동구,지원정수장,2016,8,0,0
동구,지원정수장,2016,9,0,0
동구,지원정수장,2016,10,0,0
동구,지원정수장,2016,11,0,0
동구,지원정수장,2016,12,0,0
동구,지원정수장,2017,1,1877,0
동구,지원정수장,2017,2,985,0
동구,지원정수장,2017,3,2050,0
동구,지원정수장,2017,4,1449,0
동구,지원정수장,2017,5,1847,0
동구,지원정수장,2017,6,1855,0
동구,지원정수장,2017,7,1475,0
동구,지원정수장,2017,8,4571,0
동구,지원정수장,2017,9,1243,0
동구,지원정수장,2017,10,1606,0
동구,지원정수장,2017,11,1843,0
동구,지원정수장,2017,12,1851,0
동구,지원정수장,2018,1,3455,0
동구,지원정수장,2018,2,985,0
동구,지원정수장,2018,3,1321,0
동구,지원정수장,2018,4,1135,0
동구,지원정수장,2018,5,1550,0
동구,지원정수장,2018,6,1291,0
동구,지원정수장,2018,7,1119,0
동구,지원정수장,2018,8,1195,0
동구,지원정수장,2018,9,940,0
동구,지원정수장,2018,10,1145,0
동구,지원정수장,2018,11,1203,0
동구,지원정수장,2018,12,1161,0
동구,지원정수장,2019,1,959,0
동구,지원정수장,2019,2,435,0
동구,지원정수장,2019,3,1141,0
동구,지원정수장,2019,4,1049,0
동구,지원정수장,2019,5,1291,0
동구,지원정수장,2019,6,836,0
동구,지원정수장,2019,7,1038,0
동구,지원정수장,2019,8,520,0
동구,지원정수장,2019,9,626,0
동구,지원정수장,2019,10,704,0
동구,지원정수장,2019,11,953,0
동구,지원정수장,2019,12,1186,0
서구,광주학생독립운동기념회관,2015,1,0,0
서구,광주학생독립운동기념회관,2015,2,0,0
서구,광주학생독립운동기념회관,2015,3,0,0
서구,광주학생독립운동기념회관,2015,4,0,0
서구,광주학생독립운동기념회관,2015,5,0,0
서구,광주학생독립운동기념회관,2015,6,0,0
서구,광주학생독립운동기념회관,2015,7,0,0
서구,광주학생독립운동기념회관,2015,8,0,0
서구,광주학생독립운동기념회관,2015,9,0,0
서구,광주학생독립운동기념회관,2015,10,0,0
서구,광주학생독립운동기념회관,2015,11,0,0
서구,광주학생독립운동기념회관,2015,12,0,0
서구,광주학생독립운동기념회관,2016,1,317,0
서구,광주학생독립운동기념회관,2016,2,447,0
서구,광주학생독립운동기념회관,2016,3,523,0
서구,광주학생독립운동기념회관,2016,4,1207,0
서구,광주학생독립운동기념회관,2016,5,1915,0
서구,광주학생독립운동기념회관,2016,6,3289,0
서구,광주학생독립운동기념회관,2016,7,572,0
서구,광주학생독립운동기념회관,2016,8,1127,0
서구,광주학생독립운동기념회관,2016,9,1987,0
서구,광주학생독립운동기념회관,2016,10,3215,0
서구,광주학생독립운동기념회관,2016,11,4357,0
서구,광주학생독립운동기념회관,2016,12,1342,0
서구,광주학생독립운동기념회관,2017,1,905,0
서구,광주학생독립운동기념회관,2017,2,1201,0
서구,광주학생독립운동기념회관,2017,3,1464,0
서구,광주학생독립운동기념회관,2017,4,1341,0
서구,광주학생독립운동기념회관,2017,5,1653,0
서구,광주학생독립운동기념회관,2017,6,1977,0
서구,광주학생독립운동기념회관,2017,7,6753,0
서구,광주학생독립운동기념회관,2017,8,5429,0
서구,광주학생독립운동기념회관,2017,9,2097,0
서구,광주학생독립운동기념회관,2017,10,3210,0
서구,광주학생독립운동기념회관,2017,11,2974,0
서구,광주학생독립운동기념회관,2017,12,1576,0
서구,광주학생독립운동기념회관,2018,1,2135,0
서구,광주학생독립운동기념회관,2018,2,4268,0
서구,광주학생독립운동기념회관,2018,3,2543,0
서구,광주학생독립운동기념회관,2018,4,4109,0
서구,광주학생독립운동기념회관,2018,5,5524,0
서구,광주학생독립운동기념회관,2018,6,6358,0
서구,광주학생독립운동기념회관,2018,7,5786,0
서구,광주학생독립운동기념회관,2018,8,5433,0
서구,광주학생독립운동기념회관,2018,9,6425,0
서구,광주학생독립운동기념회관,2018,10,6982,0
서구,광주학생독립운동기념회관,2018,11,7539,0
서구,광주학생독립운동기념회관,2018,12,5021,0
서구,광주학생독립운동기념회관,2019,1,2364,0
서구,광주학생독립운동기념회관,2019,2,4721,0
서구,광주학생독립운동기념회관,2019,3,3129,0
서구,광주학생독립운동기념회관,2019,4,4612,0
서구,광주학생독립운동기념회관,2019,5,5961,0
서구,광주학생독립운동기념회관,2019,6,6724,0
서구,광주학생독립운동기념회관,2019,7,6191,0
서구,광주학생독립운동기념회관,2019,8,5967,0
서구,광주학생독립운동기념회관,2019,9,6874,0
서구,광주학생독립운동기념회관,2019,10,7388,0
서구,광주학생독립운동기념회관,2019,11,7942,0
서구,광주학생독립운동기념회관,2019,12,5378,0
서구,하정웅미술관,2015,1,0,0
서구,하정웅미술관,2015,2,0,0
서구,하정웅미술관,2015,3,0,0
서구,하정웅미술관,2015,4,0,0
서구,하정웅미술관,2015,5,0,0
서구,하정웅미술관,2015,6,0,0
서구,하정웅미술관,2015,7,0,0
서구,하정웅미술관,2015,8,0,0
서구,하정웅미술관,2015,9,0,0
서구,하정웅미술관,2015,10,0,0
서구,하정웅미술관,2015,11,0,0
서구,하정웅미술관,2015,12,0,0
서구,하정웅미술관,2016,1,3574,0
서구,하정웅미술관,2016,2,2851,0
서구,하정웅미술관,2016,3,4513,0
서구,하정웅미술관,2016,4,6948,0
서구,하정웅미술관,2016,5,3414,0
서구,하정웅미술관,2016,6,3780,0
서구,하정웅미술관,2016,7,2437,0
서구,하정웅미술관,2016,8,2940,0
서구,하정웅미술관,2016,9,0,0
서구,하정웅미술관,2016,10,0,0
서구,하정웅미술관,2016,11,0,0
서구,하정웅미술관,2016,12,0,0
서구,하정웅미술관,2017,1,0,0
서구,하정웅미술관,2017,2,0,0
서구,하정웅미술관,2017,3,2801,0
서구,하정웅미술관,2017,4,3266,0
서구,하정웅미술관,2017,5,1839,0
서구,하정웅미술관,2017,6,1653,0
서구,하정웅미술관,2017,7,1573,0
서구,하정웅미술관,2017,8,1516,0
서구,하정웅미술관,2017,9,1801,0
서구,하정웅미술관,2017,10,1924,0
서구,하정웅미술관,2017,11,1584,0
서구,하정웅미술관,2017,12,1416,0
서구,하정웅미술관,2018,1,977,0
서구,하정웅미술관,2018,2,1001,0
서구,하정웅미술관,2018,3,1106,0
서구,하정웅미술관,2018,4,2346,0
서구,하정웅미술관,2018,5,1897,0
서구,하정웅미술관,2018,6,2159,0
서구,하정웅미술관,2018,7,1493,0
서구,하정웅미술관,2018,8,2053,0
서구,하정웅미술관,2018,9,2005,0
서구,하정웅미술관,2018,10,1685,0
서구,하정웅미술관,2018,11,1775,0
서구,하정웅미술관,2018,12,2056,0
서구,하정웅미술관,2019,1,1561,0
서구,하정웅미술관,2019,2,1013,0
서구,하정웅미술관,2019,3,2157,0
서구,하정웅미술관,2019,4,2252,0
서구,하정웅미술관,2019,5,2250,0
서구,하정웅미술관,2019,6,1757,0
서구,하정웅미술관,2019,7,2167,0
서구,하정웅미술관,2019,8,1873,0
서구,하정웅미술관,2019,9,1802,0
서구,하정웅미술관,2019,10,2091,0
서구,하정웅미술관,2019,11,1782,0
서구,하정웅미술관,2019,12,1859,0
남구,고싸움놀이테마파크,2015,1,26,0
남구,고싸움놀이테마파크,2015,2,77,0
남구,고싸움놀이테마파크,2015,3,228,0
남구,고싸움놀이테마파크,2015,4,737,0
남구,고싸움놀이테마파크,2015,5,367,0
남구,고싸움놀이테마파크,2015,6,541,0
남구,고싸움놀이테마파크,2015,7,426,0
남구,고싸움놀이테마파크,2015,8,574,0
남구,고싸움놀이테마파크,2015,9,2714,0
남구,고싸움놀이테마파크,2015,10,3363,0
남구,고싸움놀이테마파크,2015,11,1590,0
남구,고싸움놀이테마파크,2015,12,148,0
남구,고싸움놀이테마파크,2016,1,147,0
남구,고싸움놀이테마파크,2016,2,669,0
남구,고싸움놀이테마파크,2016,3,191,0
남구,고싸움놀이테마파크,2016,4,1134,0
남구,고싸움놀이테마파크,2016,5,547,0
남구,고싸움놀이테마파크,2016,6,591,0
남구,고싸움놀이테마파크,2016,7,743,0
남구,고싸움놀이테마파크,2016,8,706,0
남구,고싸움놀이테마파크,2016,9,1574,0
남구,고싸움놀이테마파크,2016,10,1657,0
남구,고싸움놀이테마파크,2016,11,1454,0
남구,고싸움놀이테마파크,2016,12,753,0
남구,고싸움놀이테마파크,2017,1,296,0
남구,고싸움놀이테마파크,2017,2,235,0
남구,고싸움놀이테마파크,2017,3,174,0
남구,고싸움놀이테마파크,2017,4,605,0
남구,고싸움놀이테마파크,2017,5,722,0
남구,고싸움놀이테마파크,2017,6,421,0
남구,고싸움놀이테마파크,2017,7,157,0
남구,고싸움놀이테마파크,2017,8,165,0
남구,고싸움놀이테마파크,2017,9,449,0
남구,고싸움놀이테마파크,2017,10,167,0
남구,고싸움놀이테마파크,2017,11,93,0
남구,고싸움놀이테마파크,2017,12,76,0
남구,고싸움놀이테마파크,2018,1,89,0
남구,고싸움놀이테마파크,2018,2,201,0
남구,고싸움놀이테마파크,2018,3,422,0
남구,고싸움놀이테마파크,2018,4,1464,0
남구,고싸움놀이테마파크,2018,5,630,0
남구,고싸움놀이테마파크,2018,6,582,0
남구,고싸움놀이테마파크,2018,7,82,0
