GUNGU,NAME,year,month,korean,foreigner
종로구,경복궁,2015,1,196594,108087
종로구,경복궁,2015,2,264154,154280
종로구,경복궁,2015,3,272022,114092
종로구,경복궁,2015,4,406906,209980
종로구,경복궁,2015,5,485936,185212
종로구,경복궁,2015,6,155024,31822
종로구,경복궁,2015,7,140930,78117
종로구,경복궁,2015,8,265302,126031
종로구,경복궁,2015,9,387816,145280
종로구,경복궁,2015,10,403641,203207
종로구,경복궁,2015,11,219760,188000
종로구,경복궁,2015,12,148961,170379
종로구,경복궁,2016,1,144022,193821
종로구,경복궁,2016,2,161100,206161
종로구,경복궁,2016,3,167966,222231
종로구,경복궁,2016,4,340944,321801
종로구,경복궁,2016,5,378455,303498
종로구,경복궁,2016,6,263435,276101
종로구,경복궁,2016,7,220865,352717
종로구,경복궁,2016,8,225335,283115
종로구,경복궁,2016,9,360920,211357
종로구,경복궁,2016,10,512873,236910
종로구,경복궁,2016,11,194951,148113
종로구,경복궁,2016,12,151317,142110
종로구,경복궁,2017,1,165237,151625
종로구,경복궁,2017,2,155014,139457
종로구,경복궁,2017,3,165143,100061
종로구,경복궁,2017,4,351637,124811
종로구,경복궁,2017,5,355030,83321
종로구,경복궁,2017,6,175296,81119
종로구,경복궁,2017,7,184033,69373
종로구,경복궁,2017,8,236717,61121
종로구,경복궁,2017,9,308138,68142
종로구,경복궁,2017,10,850481,151735
종로구,경복궁,2017,11,225334,65577
종로구,경복궁,2017,12,164611,71979
종로구,경복궁,2018,1,124211,40684
종로구,경복궁,2018,2,197756,80773
종로구,경복궁,2018,3,220494,77248
종로구,경복궁,2018,4,341280,97644
종로구,경복궁,2018,5,407217,69268
종로구,경복궁,2018,6,279530,89976
종로구,경복궁,2018,7,200582,80522
종로구,경복궁,2018,8,198930,74322
종로구,경복궁,2018,9,528333,114309
종로구,경복궁,2018,10,434708,107233
종로구,경복궁,2018,11,290439,95800
종로구,경복궁,2018,12,201767,94545
종로구,경복궁,2019,1,169113,54374
종로구,경복궁,2019,2,263784,109846
종로구,경복궁,2019,3,233317,129009
종로구,경복궁,2019,4,387075,163903
종로구,경복궁,2019,5,449268,124746
종로구,경복궁,2019,6,321317,118578
종로구,경복궁,2019,7,264643,96569
종로구,경복궁,2019,8,260658,184321
종로구,경복궁,2019,9,494024,175337
종로구,경복궁,2019,10,464290,118553
종로구,경복궁,2019,11,327614,96761
종로구,경복궁,2019,12,239734,99912
종로구,경복궁,2020,1,267634,120350
종로구,경복궁,2020,2,81330,20639
종로구,경복궁,2020,3,32030,1431
종로구,경복궁,2020,4,0,0
종로구,경복궁,2020,5,0,0
종로구,경복궁,2020,6,0,0
종로구,종묘,2015,1,9854,3112
종로구,종묘,2015,2,15102,4171
종로구,종묘,2015,3,10717,5525
종로구,종묘,2015,4,16470,5290
종로구,종묘,2015,5,52123,8860
종로구,종묘,2015,6,6964,2832
종로구,종묘,2015,7,15124,2927
종로구,종묘,2015,8,17971,3594
종로구,종묘,2015,9,16808,4506
종로구,종묘,2015,10,21238,5519
종로구,종묘,2015,11,24921,4763
종로구,종묘,2015,12,14936,3406
종로구,종묘,2016,1,12436,2902
종로구,종묘,2016,2,13656,3829
종로구,종묘,2016,3,13348,5566
종로구,종묘,2016,4,23723,5823
종로구,종묘,2016,5,73644,10762
종로구,종묘,2016,6,15950,5564
종로구,종묘,2016,7,12620,6164
종로구,종묘,2016,8,12237,6094
종로구,종묘,2016,9,23920,8185
종로구,종묘,2016,10,24122,8813
종로구,종묘,2016,11,16678,6887
종로구,종묘,2016,12,11575,4905
종로구,종묘,2017,1,12773,3675
종로구,종묘,2017,2,9809,3104
종로구,종묘,2017,3,15581,5818
종로구,종묘,2017,4,21154,5998
종로구,종묘,2017,5,70624,6523
종로구,종묘,2017,6,55822,4557
종로구,종묘,2017,7,23562,4441
종로구,종묘,2017,8,14949,4615
