Gungu,Name,Year,Month,Korean,Foreigner
전주시,경기전,2015,1,118674,2113
전주시,경기전,2015,2,106637,2061
전주시,경기전,2015,3,79663,1215
전주시,경기전,2015,4,98085,1958
전주시,경기전,2015,5,190347,4236
전주시,경기전,2015,6,31585,632
전주시,경기전,2015,7,77560,1551
전주시,경기전,2015,8,118728,2374
전주시,경기전,2015,9,67076,1368
전주시,경기전,2015,10,134647,2750
전주시,경기전,2015,11,80926,1652
전주시,경기전,2015,12,69872,1397
전주시,경기전,2016,1,78282,1957
전주시,경기전,2016,2,99772,2494
전주시,경기전,2016,3,65714,1314
전주시,경기전,2016,4,101749,2544
전주시,경기전,2016,5,135636,3391
전주시,경기전,2016,6,95202,2380
전주시,경기전,2016,7,77672,1991
전주시,경기전,2016,8,80225,2005
전주시,경기전,2016,9,55209,1324
전주시,경기전,2016,10,119185,2432
전주시,경기전,2016,11,93213,1902
전주시,경기전,2016,12,68280,1393
전주시,경기전,2017,1,74414,1518
전주시,경기전,2017,2,112309,2292
전주시,경기전,2017,3,72233,2230
전주시,경기전,2017,4,112740,5459
전주시,경기전,2017,5,164296,3349
전주시,경기전,2017,6,76757,2373
전주시,경기전,2017,7,64965,1325
전주시,경기전,2017,8,111550,3450
전주시,경기전,2017,9,73833,1476
전주시,경기전,2017,10,164136,3350
전주시,경기전,2017,11,92098,1842
전주시,경기전,2017,12,62414,1273
전주시,경기전,2018,1,58091,1185
전주시,경기전,2018,2,64259,1311
전주시,경기전,2018,3,70915,1447
전주시,경기전,2018,4,94818,1935
전주시,경기전,2018,5,121732,2484
전주시,경기전,2018,6,65825,1343
전주시,경기전,2018,7,44576,910
전주시,경기전,2018,8,53550,1092
전주시,경기전,2018,9,58044,1184
전주시,경기전,2018,10,106847,2180
전주시,경기전,2018,11,78330,1598
전주시,경기전,2018,12,56577,1154
전주시,경기전,2019,1,50915,1039
전주시,경기전,2019,2,68888,1405
전주시,경기전,2019,3,64960,1258
전주시,경기전,2019,4,72062,1185
전주시,경기전,2019,5,94218,1824
전주시,경기전,2019,6,64668,1003
전주시,경기전,2019,7,44845,785
전주시,경기전,2019,8,72231,1474
전주시,경기전,2019,9,49306,983
전주시,경기전,2019,10,100303,1252
전주시,경기전,2019,11,77371,1123
전주시,경기전,2019,12,47778,651
전주시,국립전주박물관,2015,1,26035,0
전주시,국립전주박물관,2015,2,26890,0
전주시,국립전주박물관,2015,3,22537,0
전주시,국립전주박물관,2015,4,25874,0
전주시,국립전주박물관,2015,5,48849,0
전주시,국립전주박물관,2015,6,8654,0
전주시,국립전주박물관,2015,7,16106,0
전주시,국립전주박물관,2015,8,17573,0
전주시,국립전주박물관,2015,9,37440,0
전주시,국립전주박물관,2015,10,21439,0
전주시,국립전주박물관,2015,11,14941,0
전주시,국립전주박물관,2015,12,17987,0
전주시,국립전주박물관,2016,1,21915,33
전주시,국립전주박물관,2016,2,32843,56
전주시,국립전주박물관,2016,3,22814,70
전주시,국립전주박물관,2016,4,24039,73
전주시,국립전주박물관,2016,5,42718,136
전주시,국립전주박물관,2016,6,21961,62
전주시,국립전주박물관,2016,7,26009,221
전주시,국립전주박물관,2016,8,26896,351
전주시,국립전주박물관,2016,9,44093,178
전주시,국립전주박물관,2016,10,31911,0
전주시,국립전주박물관,2016,11,22634,0
전주시,국립전주박물관,2016,12,24008,0
전주시,국립전주박물관,2017,1,28931,85
전주시,국립전주박물관,2017,2,29037,93
전주시,국립전주박물관,2017,3,19591,212
전주시,국립전주박물관,2017,4,27994,101
전주시,국립전주박물관,2017,5,57691,174
