Gungu,Name,Year,Month,Korean,Foreigner
청주시,국립청주박물관,2015,1,19119,752
청주시,국립청주박물관,2015,2,19710,905
청주시,국립청주박물관,2015,3,13126,939
청주시,국립청주박물관,2015,4,21054,1832
청주시,국립청주박물관,2015,5,63975,2362
청주시,국립청주박물관,2015,6,9277,636
청주시,국립청주박물관,2015,7,12477,76
청주시,국립청주박물관,2015,8,24431,48
청주시,국립청주박물관,2015,9,29574,102
청주시,국립청주박물관,2015,10,25219,180
청주시,국립청주박물관,2015,11,20160,74
청주시,국립청주박물관,2015,12,22401,30
청주시,국립청주박물관,2016,1,25546,14
청주시,국립청주박물관,2016,2,31095,16
청주시,국립청주박물관,2016,3,21014,22
청주시,국립청주박물관,2016,4,29333,58
청주시,국립청주박물관,2016,5,91700,145
청주시,국립청주박물관,2016,6,20865,41
청주시,국립청주박물관,2016,7,24186,107
청주시,국립청주박물관,2016,8,27816,145
청주시,국립청주박물관,2016,9,17983,127
청주시,국립청주박물관,2016,10,19831,63
청주시,국립청주박물관,2016,11,16139,28
청주시,국립청주박물관,2016,12,17292,36
청주시,국립청주박물관,2017,1,10727,30
청주시,국립청주박물관,2017,2,12915,265
청주시,국립청주박물관,2017,3,13735,18
청주시,국립청주박물관,2017,4,39105,68
청주시,국립청주박물관,2017,5,135908,28
청주시,국립청주박물관,2017,6,28099,24
청주시,국립청주박물관,2017,7,34155,32
청주시,국립청주박물관,2017,8,43122,67
청주시,국립청주박물관,2017,9,37117,83
청주시,국립청주박물관,2017,10,23978,115
청주시,국립청주박물관,2017,11,14685,107
청주시,국립청주박물관,2017,12,15210,45
청주시,국립청주박물관,2018,1,17426,17
청주시,국립청주박물관,2018,2,24558,122
청주시,국립청주박물관,2018,3,13352,36
청주시,국립청주박물관,2018,4,26603,122
청주시,국립청주박물관,2018,5,131803,169
청주시,국립청주박물관,2018,6,33079,93
청주시,국립청주박물관,2018,7,33917,60
청주시,국립청주박물관,2018,8,49581,104
청주시,국립청주박물관,2018,9,51023,91
청주시,국립청주박물관,2018,10,40291,25
청주시,국립청주박물관,2018,11,20912,65
