,Gungu,Name,Year,Month,Korean,Foreigner
0,춘천시,KT&G 상상마당 춘천아트센터,2015,1,"1,212,778",0
1,춘천시,KT&G 상상마당 춘천아트센터,2015,2,0,0
2,춘천시,KT&G 상상마당 춘천아트센터,2015,3,0,0
3,춘천시,KT&G 상상마당 춘천아트센터,2015,4,0,0
4,춘천시,KT&G 상상마당 춘천아트센터,2015,5,0,0
5,춘천시,KT&G 상상마당 춘천아트센터,2015,6,0,0
6,춘천시,KT&G 상상마당 춘천아트센터,2015,7,0,0
7,춘천시,KT&G 상상마당 춘천아트센터,2015,8,0,0
8,춘천시,KT&G 상상마당 춘천아트센터,2015,9,0,0
9,춘천시,KT&G 상상마당 춘천아트센터,2015,10,0,0
10,춘천시,KT&G 상상마당 춘천아트센터,2015,11,0,0
11,춘천시,KT&G 상상마당 춘천아트센터,2015,12,0,0
12,춘천시,KT&G 상상마당 춘천아트센터,2016,1,0,0
13,춘천시,KT&G 상상마당 춘천아트센터,2016,2,"16,203",0
14,춘천시,KT&G 상상마당 춘천아트센터,2016,3,"19,784",0
15,춘천시,KT&G 상상마당 춘천아트센터,2016,4,"37,514",0
16,춘천시,KT&G 상상마당 춘천아트센터,2016,5,"19,575",0
17,춘천시,KT&G 상상마당 춘천아트센터,2016,6,"24,874",0
18,춘천시,KT&G 상상마당 춘천아트센터,2016,7,"21,054",0
19,춘천시,KT&G 상상마당 춘천아트센터,2016,8,"26,494",0
20,춘천시,KT&G 상상마당 춘천아트센터,2016,9,"28,684",0
21,춘천시,KT&G 상상마당 춘천아트센터,2016,10,"32,766",0
22,춘천시,KT&G 상상마당 춘천아트센터,2016,11,"39,132",0
23,춘천시,KT&G 상상마당 춘천아트센터,2016,12,"28,635",0
24,춘천시,KT&G 상상마당 춘천아트센터,2017,1,"25,687",0
25,춘천시,KT&G 상상마당 춘천아트센터,2017,2,"16,570",0
26,춘천시,KT&G 상상마당 춘천아트센터,2017,3,"21,716",0
27,춘천시,KT&G 상상마당 춘천아트센터,2017,4,"25,612",0
28,춘천시,KT&G 상상마당 춘천아트센터,2017,5,"31,164",0
29,춘천시,KT&G 상상마당 춘천아트센터,2017,6,"37,913",0
30,춘천시,KT&G 상상마당 춘천아트센터,2017,7,"29,189",0
31,춘천시,KT&G 상상마당 춘천아트센터,2017,8,"16,187",0
32,춘천시,KT&G 상상마당 춘천아트센터,2017,9,"30,143",0
33,춘천시,KT&G 상상마당 춘천아트센터,2017,10,"28,808",0
34,춘천시,KT&G 상상마당 춘천아트센터,2017,11,"37,072",0
35,춘천시,KT&G 상상마당 춘천아트센터,2017,12,"19,988",0
36,춘천시,KT&G 상상마당 춘천아트센터,2018,1,"20,260",0
37,춘천시,KT&G 상상마당 춘천아트센터,2018,2,"19,388",0
38,춘천시,KT&G 상상마당 춘천아트센터,2018,3,"17,507",0
39,춘천시,KT&G 상상마당 춘천아트센터,2018,4,"25,912",0
40,춘천시,KT&G 상상마당 춘천아트센터,2018,5,"28,111",0
41,춘천시,KT&G 상상마당 춘천아트센터,2018,6,"33,714",0
42,춘천시,KT&G 상상마당 춘천아트센터,2018,7,"31,832",0
43,춘천시,KT&G 상상마당 춘천아트센터,2018,8,"23,316",0
44,춘천시,KT&G 상상마당 춘천아트센터,2018,9,"28,009",0
45,춘천시,KT&G 상상마당 춘천아트센터,2018,10,"26,392",0
46,춘천시,KT&G 상상마당 춘천아트센터,2018,11,"31,574",0
47,춘천시,KT&G 상상마당 춘천아트센터,2018,12,"22,357",0
48,춘천시,KT&G 상상마당 춘천아트센터,2019,1,"18,681",0
49,춘천시,KT&G 상상마당 춘천아트센터,2019,2,"17,807",0
50,춘천시,KT&G 상상마당 춘천아트센터,2019,3,"19,239",0
51,춘천시,KT&G 상상마당 춘천아트센터,2019,4,"22,139",0
52,춘천시,KT&G 상상마당 춘천아트센터,2019,5,0,0
53,춘천시,KT&G 상상마당 춘천아트센터,2019,6,0,0
54,춘천시,KT&G 상상마당 춘천아트센터,2019,7,0,0
55,춘천시,KT&G 상상마당 춘천아트센터,2019,8,"25,856",0
56,춘천시,KT&G 상상마당 춘천아트센터,2019,9,"37,367",0
57,춘천시,KT&G 상상마당 춘천아트센터,2019,10,"25,501",0
