,Gungu,Name,Year,Month,Korean,Foreigner
0,수원시,kbs수원센터(kbs수원아트홀),2015,1,,0
1,수원시,kbs수원센터(kbs수원아트홀),2015,2,,0
2,수원시,kbs수원센터(kbs수원아트홀),2015,3,,0
3,수원시,kbs수원센터(kbs수원아트홀),2015,4,,0
4,수원시,kbs수원센터(kbs수원아트홀),2015,5,,0
5,수원시,kbs수원센터(kbs수원아트홀),2015,6,,0
6,수원시,kbs수원센터(kbs수원아트홀),2015,7,,0
7,수원시,kbs수원센터(kbs수원아트홀),2015,8,,0
8,수원시,kbs수원센터(kbs수원아트홀),2015,9,,0
9,수원시,kbs수원센터(kbs수원아트홀),2015,10,,0
10,수원시,kbs수원센터(kbs수원아트홀),2015,11,,0
11,수원시,kbs수원센터(kbs수원아트홀),2015,12,,0
12,수원시,kbs수원센터(kbs수원아트홀),2016,1,"7,325",0
13,수원시,kbs수원센터(kbs수원아트홀),2016,2,"4,549",0
14,수원시,kbs수원센터(kbs수원아트홀),2016,3,"5,343",0
15,수원시,kbs수원센터(kbs수원아트홀),2016,4,"6,012",0
16,수원시,kbs수원센터(kbs수원아트홀),2016,5,"5,522",0
17,수원시,kbs수원센터(kbs수원아트홀),2016,6,"2,275",0
18,수원시,kbs수원센터(kbs수원아트홀),2016,7,"7,992",0
19,수원시,kbs수원센터(kbs수원아트홀),2016,8,"9,655",0
20,수원시,kbs수원센터(kbs수원아트홀),2016,9,"10,055",0
21,수원시,kbs수원센터(kbs수원아트홀),2016,10,"4,638",0
22,수원시,kbs수원센터(kbs수원아트홀),2016,11,"5,015",0
23,수원시,kbs수원센터(kbs수원아트홀),2016,12,"8,200",0
24,수원시,kbs수원센터(kbs수원아트홀),2017,1,"4,929",0
25,수원시,kbs수원센터(kbs수원아트홀),2017,2,"5,929",0
26,수원시,kbs수원센터(kbs수원아트홀),2017,3,"6,753",0
27,수원시,kbs수원센터(kbs수원아트홀),2017,4,"7,502",0
28,수원시,kbs수원센터(kbs수원아트홀),2017,5,"4,064",0
29,수원시,kbs수원센터(kbs수원아트홀),2017,6,"3,250",0
30,수원시,kbs수원센터(kbs수원아트홀),2017,7,"5,676",0
31,수원시,kbs수원센터(kbs수원아트홀),2017,8,"7,342",0
32,수원시,kbs수원센터(kbs수원아트홀),2017,9,"4,206",0
33,수원시,kbs수원센터(kbs수원아트홀),2017,10,"3,645",0
34,수원시,kbs수원센터(kbs수원아트홀),2017,11,"3,958",0
35,수원시,kbs수원센터(kbs수원아트홀),2017,12,"11,578",0
36,수원시,kbs수원센터(kbs수원아트홀),2018,1,"6,412",0
37,수원시,kbs수원센터(kbs수원아트홀),2018,2,"5,531",0
38,수원시,kbs수원센터(kbs수원아트홀),2018,3,"4,550",0
39,수원시,kbs수원센터(kbs수원아트홀),2018,4,"3,803",0
40,수원시,kbs수원센터(kbs수원아트홀),2018,5,"4,600",0
41,수원시,kbs수원센터(kbs수원아트홀),2018,6,"4,525",0
42,수원시,kbs수원센터(kbs수원아트홀),2018,7,"6,442",0
43,수원시,kbs수원센터(kbs수원아트홀),2018,8,"7,547",0
44,수원시,kbs수원센터(kbs수원아트홀),2018,9,"5,622",0
45,수원시,kbs수원센터(kbs수원아트홀),2018,10,"3,413",0
46,수원시,kbs수원센터(kbs수원아트홀),2018,11,"5,490",0
47,수원시,kbs수원센터(kbs수원아트홀),2018,12,"11,861",0
48,수원시,kbs수원센터(kbs수원아트홀),2019,1,"8,874",0
49,수원시,kbs수원센터(kbs수원아트홀),2019,2,"6,089",0
