,Gungu,Name,Year,Month,Korean,Foreigner
0,통합창원시,3.15아트,2015,1,"24,857",0
1,통합창원시,3.15아트,2015,2,"21,410",0
2,통합창원시,3.15아트,2015,3,"20,078",0
3,통합창원시,3.15아트,2015,4,"21,006",0
4,통합창원시,3.15아트,2015,5,"16,903",0
5,통합창원시,3.15아트,2015,6,"13,432",0
6,통합창원시,3.15아트,2015,7,"8,310",0
7,통합창원시,3.15아트,2015,8,"6,786",0
8,통합창원시,3.15아트,2015,9,"10,319",0
9,통합창원시,3.15아트,2015,10,"16,577",0
10,통합창원시,3.15아트,2015,11,"20,199",0
11,통합창원시,3.15아트,2015,12,"19,435",0
12,통합창원시,3.15아트,2016,1,"5,579",0
13,통합창원시,3.15아트,2016,2,"7,945",0
14,통합창원시,3.15아트,2016,3,"10,766",0
15,통합창원시,3.15아트,2016,4,"14,738",0
16,통합창원시,3.15아트,2016,5,"9,771",0
17,통합창원시,3.15아트,2016,6,"14,570",0
18,통합창원시,3.15아트,2016,7,"6,875",0
19,통합창원시,3.15아트,2016,8,"8,803",0
20,통합창원시,3.15아트,2016,9,"12,108",0
21,통합창원시,3.15아트,2016,10,"14,068",0
22,통합창원시,3.15아트,2016,11,"23,014",0
23,통합창원시,3.15아트,2016,12,"26,791",0
24,통합창원시,3.15아트,2017,1,"3,044",0
25,통합창원시,3.15아트,2017,2,"7,138",0
26,통합창원시,3.15아트,2017,3,"11,402",0
27,통합창원시,3.15아트,2017,4,"11,081",0
28,통합창원시,3.15아트,2017,5,"17,594",0
29,통합창원시,3.15아트,2017,6,"16,297",0
30,통합창원시,3.15아트,2017,7,"10,909",0
31,통합창원시,3.15아트,2017,8,"10,878",0
32,통합창원시,3.15아트,2017,9,"16,494",0
33,통합창원시,3.15아트,2017,10,"11,954",0
34,통합창원시,3.15아트,2017,11,"20,795",0
35,통합창원시,3.15아트,2017,12,"23,741",0
36,통합창원시,3.15아트,2018,1,"12,223",12
37,통합창원시,3.15아트,2018,2,"5,990",9
38,통합창원시,3.15아트,2018,3,"13,062",12
39,통합창원시,3.15아트,2018,4,"7,495",13
40,통합창원시,3.15아트,2018,5,"16,631",16
41,통합창원시,3.15아트,2018,6,"11,684",30
42,통합창원시,3.15아트,2018,7,"12,886",32
43,통합창원시,3.15아트,2018,8,"10,857",4
44,통합창원시,3.15아트,2018,9,"10,069",0
45,통합창원시,3.15아트,2018,10,"23,338",36
46,통합창원시,3.15아트,2018,11,"20,267",4
47,통합창원시,3.15아트,2018,12,"14,719",2
48,통합창원시,3.15아트,2019,1,"7,191",0
49,통합창원시,3.15아트,2019,2,"9,775",0
50,통합창원시,3.15아트,2019,3,"12,518",2
51,통합창원시,3.15아트,2019,4,"11,076",0
52,통합창원시,3.15아트,2019,5,"16,148",3
53,통합창원시,3.15아트,2019,6,"13,892",9
54,통합창원시,3.15아트,2019,7,"12,284",0
55,통합창원시,3.15아트,2019,8,"12,776",0
56,통합창원시,3.15아트,2019,9,"12,361",0
57,통합창원시,3.15아트,2019,10,"18,426",4
58,통합창원시,3.15아트,2019,11,"23,036",3
59,통합창원시,3.15아트,2019,12,"18,237",2
60,통합창원시,3.15아트,2020,1,,
61,통합창원시,3.15아트,2020,2,,
62,통합창원시,3.15아트,2020,3,,
63,통합창원시,3.15아트,2020,4,0,0
64,통합창원시,3.15아트,2020,5,0,0
65,통합창원시,3.15아트,2020,6,"4,346",0
66,통합창원시,군항문화탐방,2015,1,,0
67,통합창원시,군항문화탐방,2015,2,,0
68,통합창원시,군항문화탐방,2015,3,,0
69,통합창원시,군항문화탐방,2015,4,,0
70,통합창원시,군항문화탐방,2015,5,,0
71,통합창원시,군항문화탐방,2015,6,,0
72,통합창원시,군항문화탐방,2015,7,,0
73,통합창원시,군항문화탐방,2015,8,,0
74,통합창원시,군항문화탐방,2015,9,,0
75,통합창원시,군항문화탐방,2015,10,,0
76,통합창원시,군항문화탐방,2015,11,,0
77,통합창원시,군항문화탐방,2015,12,,0
78,통합창원시,군항문화탐방,2016,1,498,0
79,통합창원시,군항문화탐방,2016,2,236,0
80,통합창원시,군항문화탐방,2016,3,"1,511",0
81,통합창원시,군항문화탐방,2016,4,"1,297",0
82,통합창원시,군항문화탐방,2016,5,"1,357",0
83,통합창원시,군항문화탐방,2016,6,"1,295",0
84,통합창원시,군항문화탐방,2016,7,870,0
85,통합창원시,군항문화탐방,2016,8,836,0
86,통합창원시,군항문화탐방,2016,9,853,0
87,통합창원시,군항문화탐방,2016,10,"1,517",0
88,통합창원시,군항문화탐방,2016,11,"1,764",0
89,통합창원시,군항문화탐방,2016,12,561,0
90,통합창원시,군항문화탐방,2017,1,383,0
91,통합창원시,군항문화탐방,2017,2,706,0
92,통합창원시,군항문화탐방,2017,3,"1,178",0
93,통합창원시,군항문화탐방,2017,4,970,0
94,통합창원시,군항문화탐방,2017,5,"1,494",0
95,통합창원시,군항문화탐방,2017,6,"1,073",0
96,통합창원시,군항문화탐방,2017,7,888,0
97,통합창원시,군항문화탐방,2017,8,925,0
98,통합창원시,군항문화탐방,2017,9,"1,423",0
99,통합창원시,군항문화탐방,2017,10,"1,371",0
100,통합창원시,군항문화탐방,2017,11,971,0
101,통합창원시,군항문화탐방,2017,12,726,0
102,통합창원시,군항문화탐방,2018,1,226,0
103,통합창원시,군항문화탐방,2018,2,569,0
104,통합창원시,군항문화탐방,2018,3,699,0
105,통합창원시,군항문화탐방,2018,4,"1,199",0
106,통합창원시,군항문화탐방,2018,5,691,0
107,통합창원시,군항문화탐방,2018,6,791,0
108,통합창원시,군항문화탐방,2018,7,"1,159",0
109,통합창원시,군항문화탐방,2018,8,820,0
110,통합창원시,군항문화탐방,2018,9,778,0
111,통합창원시,군항문화탐방,2018,10,"1,438",0
112,통합창원시,군항문화탐방,2018,11,592,0
113,통합창원시,군항문화탐방,2018,12,"3,182",0
114,통합창원시,군항문화탐방,2019,1,153,0
115,통합창원시,군항문화탐방,2019,2,113,0
116,통합창원시,군항문화탐방,2019,3,"1,005",0
117,통합창원시,군항문화탐방,2019,4,835,0
118,통합창원시,군항문화탐방,2019,5,"1,681",0
119,통합창원시,군항문화탐방,2019,6,"1,423",0
120,통합창원시,군항문화탐방,2019,7,799,0
121,통합창원시,군항문화탐방,2019,8,993,0
122,통합창원시,군항문화탐방,2019,9,508,0
123,통합창원시,군항문화탐방,2019,10,"1,045",0
124,통합창원시,군항문화탐방,2019,11,"1,384",0
125,통합창원시,군항문화탐방,2019,12,579,0
126,통합창원시,군항문화탐방,2020,1,,0
127,통합창원시,군항문화탐방,2020,2,,0
128,통합창원시,군항문화탐방,2020,3,,0
129,통합창원시,군항문화탐방,2020,4,0,0
130,통합창원시,군항문화탐방,2020,5,0,0
131,통합창원시,군항문화탐방,2020,6,0,0
132,통합창원시,도립미술관,2015,1,"1,549",4
133,통합창원시,도립미술관,2015,2,"5,080",15
134,통합창원시,도립미술관,2015,3,"4,709",4
135,통합창원시,도립미술관,2015,4,"5,934",16
136,통합창원시,도립미술관,2015,5,"2,501",9
137,통합창원시,도립미술관,2015,6,"9,374",8
138,통합창원시,도립미술관,2015,7,"15,810",1
139,통합창원시,도립미술관,2015,8,"21,024",66
140,통합창원시,도립미술관,2015,9,"3,993",4
141,통합창원시,도립미술관,2015,10,"7,796",30
142,통합창원시,도립미술관,2015,11,"7,411",7
143,통합창원시,도립미술관,2015,12,"6,779",0
144,통합창원시,도립미술관,2016,1,"4,904",2
145,통합창원시,도립미술관,2016,2,"3,326",13
146,통합창원시,도립미술관,2016,3,"2,833",5
147,통합창원시,도립미술관,2016,4,"5,238",7
148,통합창원시,도립미술관,2016,5,"7,210",10
149,통합창원시,도립미술관,2016,6,"15,689",5
150,통합창원시,도립미술관,2016,7,"37,562",13
151,통합창원시,도립미술관,2016,8,"37,855",15
152,통합창원시,도립미술관,2016,9,"1,184",0
153,통합창원시,도립미술관,2016,10,"12,890",7
154,통합창원시,도립미술관,2016,11,"10,742",8
155,통합창원시,도립미술관,2016,12,"6,656",2
156,통합창원시,도립미술관,2017,1,0,0
157,통합창원시,도립미술관,2017,2,"13,765",0
158,통합창원시,도립미술관,2017,3,"14,989",0
159,통합창원시,도립미술관,2017,4,"12,790",0
160,통합창원시,도립미술관,2017,5,"8,307",0
161,통합창원시,도립미술관,2017,6,"10,433",15
162,통합창원시,도립미술관,2017,7,"14,204",18
163,통합창원시,도립미술관,2017,8,"18,161",13
164,통합창원시,도립미술관,2017,9,"6,333",8
165,통합창원시,도립미술관,2017,10,"7,306",17
166,통합창원시,도립미술관,2017,11,"6,313",25
167,통합창원시,도립미술관,2017,12,"6,925",2
168,통합창원시,도립미술관,2018,1,0,0
169,통합창원시,도립미술관,2018,2,"2,923",4
170,통합창원시,도립미술관,2018,3,"5,297",40
171,통합창원시,도립미술관,2018,4,"5,990",14
172,통합창원시,도립미술관,2018,5,"3,729",0
173,통합창원시,도립미술관,2018,6,"10,025",0
