,Gungu,Name,Year,Month,Korean,Foreigner
0,포항시,경상북도수목원,2015,1,,
1,포항시,경상북도수목원,2015,2,,
2,포항시,경상북도수목원,2015,3,,
3,포항시,경상북도수목원,2015,4,,
4,포항시,경상북도수목원,2015,5,,
5,포항시,경상북도수목원,2015,6,,
6,포항시,경상북도수목원,2015,7,,
7,포항시,경상북도수목원,2015,8,,
8,포항시,경상북도수목원,2015,9,,
9,포항시,경상북도수목원,2015,10,,
10,포항시,경상북도수목원,2015,11,,
11,포항시,경상북도수목원,2015,12,,
12,포항시,경상북도수목원,2016,1,"2,270",0
13,포항시,경상북도수목원,2016,2,"2,966",0
14,포항시,경상북도수목원,2016,3,"6,944",0
15,포항시,경상북도수목원,2016,4,"12,803",15
16,포항시,경상북도수목원,2016,5,"29,416",43
17,포항시,경상북도수목원,2016,6,"17,632",15
18,포항시,경상북도수목원,2016,7,"38,950",64
19,포항시,경상북도수목원,2016,8,"20,511",53
20,포항시,경상북도수목원,2016,9,"22,319",47
21,포항시,경상북도수목원,2016,10,"40,211",155
22,포항시,경상북도수목원,2016,11,"19,100",87
23,포항시,경상북도수목원,2016,12,"2,860",0
24,포항시,경상북도수목원,2017,1,"2,803",0
25,포항시,경상북도수목원,2017,2,"2,515",0
26,포항시,경상북도수목원,2017,3,"6,896",0
27,포항시,경상북도수목원,2017,4,"15,116",0
28,포항시,경상북도수목원,2017,5,"30,858",0
29,포항시,경상북도수목원,2017,6,"18,086",0
30,포항시,경상북도수목원,2017,7,"17,149",0
31,포항시,경상북도수목원,2017,8,"19,411",0
32,포항시,경상북도수목원,2017,9,"22,279",0
33,포항시,경상북도수목원,2017,10,"44,385",0
34,포항시,경상북도수목원,2017,11,"17,270",0
35,포항시,경상북도수목원,2017,12,"2,074",0
36,포항시,경상북도수목원,2018,1,"2,894",0
37,포항시,경상북도수목원,2018,2,"2,630",0
38,포항시,경상북도수목원,2018,3,"8,045",0
39,포항시,경상북도수목원,2018,4,"15,160",0
40,포항시,경상북도수목원,2018,5,"35,002",0
41,포항시,경상북도수목원,2018,6,"20,102",0
42,포항시,경상북도수목원,2018,7,"17,014",0
43,포항시,경상북도수목원,2018,8,"19,003",0
44,포항시,경상북도수목원,2018,9,"26,022",0
45,포항시,경상북도수목원,2018,10,"38,006",0
46,포항시,경상북도수목원,2018,11,"17,237",0
47,포항시,경상북도수목원,2018,12,"2,125",0
48,포항시,경상북도수목원,2019,1,"2,903",
49,포항시,경상북도수목원,2019,2,"2,483",
50,포항시,경상북도수목원,2019,3,"7,028",
51,포항시,경상북도수목원,2019,4,"17,906",
52,포항시,경상북도수목원,2019,5,"33,075",
53,포항시,경상북도수목원,2019,6,"20,117",
54,포항시,경상북도수목원,2019,7,"16,892",
55,포항시,경상북도수목원,2019,8,"19,629",
56,포항시,경상북도수목원,2019,9,"25,275",
57,포항시,경상북도수목원,2019,10,"37,304",
58,포항시,경상북도수목원,2019,11,"24,966",
59,포항시,경상북도수목원,2019,12,"2,143",
60,포항시,경상북도수목원,2020,1,"2,831",
61,포항시,경상북도수목원,2020,2,"2,859",
62,포항시,경상북도수목원,2020,3,"9,335",
63,포항시,경상북도수목원,2020,4,"16,870",
64,포항시,경상북도수목원,2020,5,"33,309",
65,포항시,경상북도수목원,2020,6,"23,275",
66,포항시,구룡포과메기문화관,2015,1,,0
67,포항시,구룡포과메기문화관,2015,2,,0
68,포항시,구룡포과메기문화관,2015,3,,0
69,포항시,구룡포과메기문화관,2015,4,,0
70,포항시,구룡포과메기문화관,2015,5,,0
71,포항시,구룡포과메기문화관,2015,6,,0
72,포항시,구룡포과메기문화관,2015,7,,0
73,포항시,구룡포과메기문화관,2015,8,,0
74,포항시,구룡포과메기문화관,2015,9,,0
75,포항시,구룡포과메기문화관,2015,10,,0
76,포항시,구룡포과메기문화관,2015,11,,0
77,포항시,구룡포과메기문화관,2015,12,,0
78,포항시,구룡포과메기문화관,2016,1,,0
79,포항시,구룡포과메기문화관,2016,2,,0
80,포항시,구룡포과메기문화관,2016,3,,0
81,포항시,구룡포과메기문화관,2016,4,,0
82,포항시,구룡포과메기문화관,2016,5,,0
83,포항시,구룡포과메기문화관,2016,6,,0
84,포항시,구룡포과메기문화관,2016,7,,0
85,포항시,구룡포과메기문화관,2016,8,,0
86,포항시,구룡포과메기문화관,2016,9,,0
87,포항시,구룡포과메기문화관,2016,10,,0
88,포항시,구룡포과메기문화관,2016,11,,0
89,포항시,구룡포과메기문화관,2016,12,,0
90,포항시,구룡포과메기문화관,2017,1,,0
91,포항시,구룡포과메기문화관,2017,2,,0
92,포항시,구룡포과메기문화관,2017,3,,0
93,포항시,구룡포과메기문화관,2017,4,,0
94,포항시,구룡포과메기문화관,2017,5,,0
95,포항시,구룡포과메기문화관,2017,6,,0
96,포항시,구룡포과메기문화관,2017,7,,0
97,포항시,구룡포과메기문화관,2017,8,,0
98,포항시,구룡포과메기문화관,2017,9,,0
99,포항시,구룡포과메기문화관,2017,10,,0
100,포항시,구룡포과메기문화관,2017,11,,0
101,포항시,구룡포과메기문화관,2017,12,,0
102,포항시,구룡포과메기문화관,2018,1,"27,332",0
103,포항시,구룡포과메기문화관,2018,2,"20,901",0
104,포항시,구룡포과메기문화관,2018,3,"26,946",0
105,포항시,구룡포과메기문화관,2018,4,"25,849",0
106,포항시,구룡포과메기문화관,2018,5,"35,717",0
107,포항시,구룡포과메기문화관,2018,6,"27,209",0
108,포항시,구룡포과메기문화관,2018,7,"35,704",0
109,포항시,구룡포과메기문화관,2018,8,"61,779",0
110,포항시,구룡포과메기문화관,2018,9,"47,430",0
111,포항시,구룡포과메기문화관,2018,10,"46,443",0
112,포항시,구룡포과메기문화관,2018,11,"37,562",0
113,포항시,구룡포과메기문화관,2018,12,"61,684",0
114,포항시,구룡포과메기문화관,2019,1,"41,000",0
115,포항시,구룡포과메기문화관,2019,2,"43,320",0
116,포항시,구룡포과메기문화관,2019,3,"41,558",0
117,포항시,구룡포과메기문화관,2019,4,"31,000",0
118,포항시,구룡포과메기문화관,2019,5,"39,092",0
119,포항시,구룡포과메기문화관,2019,6,"40,000",0
120,포항시,구룡포과메기문화관,2019,7,"33,385",0
121,포항시,구룡포과메기문화관,2019,8,"65,428",0
122,포항시,구룡포과메기문화관,2019,9,"30,015",0
123,포항시,구룡포과메기문화관,2019,10,"52,988",0
124,포항시,구룡포과메기문화관,2019,11,"43,829",0
125,포항시,구룡포과메기문화관,2019,12,"66,110",0
126,포항시,구룡포과메기문화관,2020,1,"69,124",0
127,포항시,구룡포과메기문화관,2020,2,"28,711",0
128,포항시,구룡포과메기문화관,2020,3,0,0
129,포항시,구룡포과메기문화관,2020,4,0,0
130,포항시,구룡포과메기문화관,2020,5,0,0
131,포항시,구룡포과메기문화관,2020,6,"2,956",0
132,포항시,구룡포근대문화역사관,2015,1,,
133,포항시,구룡포근대문화역사관,2015,2,,
134,포항시,구룡포근대문화역사관,2015,3,,
135,포항시,구룡포근대문화역사관,2015,4,,
136,포항시,구룡포근대문화역사관,2015,5,,
137,포항시,구룡포근대문화역사관,2015,6,,
138,포항시,구룡포근대문화역사관,2015,7,,
139,포항시,구룡포근대문화역사관,2015,8,,
140,포항시,구룡포근대문화역사관,2015,9,,
141,포항시,구룡포근대문화역사관,2015,10,,
142,포항시,구룡포근대문화역사관,2015,11,,
143,포항시,구룡포근대문화역사관,2015,12,,
144,포항시,구룡포근대문화역사관,2016,1,"27,060",98
145,포항시,구룡포근대문화역사관,2016,2,"23,285",129
146,포항시,구룡포근대문화역사관,2016,3,"18,805",157
147,포항시,구룡포근대문화역사관,2016,4,"29,450",256
148,포항시,구룡포근대문화역사관,2016,5,"27,380",304
149,포항시,구룡포근대문화역사관,2016,6,"15,728",183
150,포항시,구룡포근대문화역사관,2016,7,"37,850",430
151,포항시,구룡포근대문화역사관,2016,8,"19,556",301
152,포항시,구룡포근대문화역사관,2016,9,"23,500",340
153,포항시,구룡포근대문화역사관,2016,10,"23,362",270
154,포항시,구룡포근대문화역사관,2016,11,"19,584",384
155,포항시,구룡포근대문화역사관,2016,12,"20,407",274
156,포항시,구룡포근대문화역사관,2017,1,"14,813",201
157,포항시,구룡포근대문화역사관,2017,2,"18,270",191
158,포항시,구룡포근대문화역사관,2017,3,"15,787",174
159,포항시,구룡포근대문화역사관,2017,4,"21,291",102
160,포항시,구룡포근대문화역사관,2017,5,"37,346",424
161,포항시,구룡포근대문화역사관,2017,6,"19,448",248
162,포항시,구룡포근대문화역사관,2017,7,"49,142",458
163,포항시,구룡포근대문화역사관,2017,8,"27,827",384
164,포항시,구룡포근대문화역사관,2017,9,"26,757",311
165,포항시,구룡포근대문화역사관,2017,10,"35,950",376
166,포항시,구룡포근대문화역사관,2017,11,"12,970",475
167,포항시,구룡포근대문화역사관,2017,12,"8,070",185
168,포항시,구룡포근대문화역사관,2018,1,"26,756",217
169,포항시,구룡포근대문화역사관,2018,2,"18,545",337
170,포항시,구룡포근대문화역사관,2018,3,"24,290",251
171,포항시,구룡포근대문화역사관,2018,4,"19,389",275
172,포항시,구룡포근대문화역사관,2018,5,"26,850",459
173,포항시,구룡포근대문화역사관,2018,6,"23,940",313
174,포항시,구룡포근대문화역사관,2018,7,"20,020",507
175,포항시,구룡포근대문화역사관,2018,8,"26,920",402
176,포항시,구룡포근대문화역사관,2018,9,"18,620",439
177,포항시,구룡포근대문화역사관,2018,10,"19,500",370
178,포항시,구룡포근대문화역사관,2018,11,"22,120",389
179,포항시,구룡포근대문화역사관,2018,12,"43,220",349
180,포항시,구룡포근대문화역사관,2019,1,"33,960",266
181,포항시,구룡포근대문화역사관,2019,2,"27,660",320
182,포항시,구룡포근대문화역사관,2019,3,"45,630",352
183,포항시,구룡포근대문화역사관,2019,4,"26,380",332
184,포항시,구룡포근대문화역사관,2019,5,"24,000",348
