,Name,Score,Description
0,['KT&G상상마당춘천 아트센터'],['4.3'],-
1,['강원도립화목원'],['4.2'],-
2,['강원도청소년수련원'],['4.3'],-
3,['강원드라마갤러리'],['4.5'],-
4,['강원숲체험장'],['4.3'],-
5,,,
6,,,
7,['구곡폭포'],['4.1'],-
8,,,
9,['국립춘천박물관'],['4.3'],-
10,['달아실(옥산가)'],['4.1'],-
11,['김유정문학촌'],['4.0'],-
12,,,
13,['남춘천 컨트리 클럽'],['3.9'],-
14,['더플레이어스GC'],['4.1'],-
15,['등선폭포'],['4.0'],-
16,['라데나 골프클럽'],['4.5'],-
17,['라데나 골프클럽'],['4.5'],-
18,,,
19,['로드힐스 골프&리조트'],['4.0'],-
20,['춘천막국수체험박물관'],['4.1'],-
21,['모형항공기박물관'],['4.5'],-
22,,,
23,,,
24,['소양강스카이워크'],['3.9'],-
25,['소양강물문화관'],['3.9'],-
26,['소양예술농원'],-,-
27,['스프링베일리조트'],['3.8'],-
28,,,
29,['엘리시안강촌CC'],['4.4'],-
30,['엘리시안 강촌 스키장'],['4.3'],-
31,['엘리시안 강촌 콘도'],['4.1'],-
32,['오너스골프클럽'],['3.7'],-
33,['청소년야영장'],-,-
34,['이상원미술관'],['4.5'],-
35,,,
36,,,
37,['중도유원지'],['3.7'],-
38,['집다리골자연휴양림'],['4.3'],-
39,,,
40,['춘천문화예술회관'],['4.2'],-
41,,,
42,['세종호텔춘천'],['3.8'],-
43,['춘천숲자연휴양림'],['3.9'],-
44,['춘천시청소년여행의집'],['3.8'],-
45,['춘천알프스벨리'],['3.5'],-
46,['춘천시어린이회관'],['4.7'],-
47,['에티오피아한국전참전기념관'],['4.1'],-
48,['춘천월드온천'],['4.0'],-
49,['춘천지구전적기념관'],['3.9'],-
50,,,
51,['휘슬링락cc'],-,-
52,,,
53,['고판화박물관'],['4.2'],-
54,['구룡자동차야영장'],['4.2'],-
55,,,
56,['기후변화홍보관'],['4.4'],-
57,['동서울레스피아'],['3.4'],-
58,['동서울레스피아'],['3.4'],-
59,['박경리 문학공원'],['4.1'],-
60,,,
61,['센추리21CC'],['3.8'],-
62,['원주레일파크'],['4.1'],-
63,,,
64,,,
65,['(사단)강원도사회적경제지원센터'],['4.8'],-
66,['원주역사박물관'],['3.9'],-
67,['원주허브팜'],['3.5'],-
68,,,
69,,,
70,,,
71,,,
72,['치악산국립공원부곡탐방지원센터'],['4.4'],-
73,,,
74,,,
75,['치악산국립공원사무소 황골탐방지원센터'],['4.3'],-
76,,,
77,,,
78,['파크밸리골프클럽'],['4.2'],-
79,['뮤지엄 산(Museum SAN)'],['4.5'],['현대 미술 작품과 조각이 전시되어 있는 아름다운 박물관으로 고요한 산 속에 자리하고 있습니다.']
80,['오크밸리'],['3.5'],-
81,,,
82,,,
83,['인터불고원주호텔골프장'],['3.8'],-
84,['치악산황둔수련원자연휴양림'],['4.0'],-
85,['강릉 단오제 전수교육관'],['4.2'],-
86,['강릉솔향수목원'],['4.4'],-
87,['강릉아기동물농장'],['4.0'],-
88,['강릉아트센터'],['4.3'],-
89,['강릉임해자연휴양림'],['4.3'],-
90,['정동진레일바이크'],['4.0'],-
91,,,
92,,,
93,,,
94,['경포비치호텔'],['3.9'],-
95,['경포비치호텔'],['3.9'],-
96,['경포산장콘도'],['1.9'],-
97,['경포해변'],['4.4'],-
98,['금진해변'],['4.5'],-
99,['남항진해변'],['3.9'],-
100,['단경골'],['4.8'],-
101,['대관령박물관'],['3.8'],-
102,,,
103,['도직해변'],['4.0'],-
104,['동양자수박물관'],['3.9'],-
105,,,
106,['등명해변'],['4.3'],-
107,,,
108,['매월당김시습기념관'],['3.9'],-
109,,,
110,['모래시계공원'],['4.0'],-
111,,,
