,Name,Score,Description
0,KBS수원아트홀,4.2,-
1,달곁에별,4.1,-
2,,,
3,수원 SK 아트리움,4.4,-
4,수원광교박물관,4.0,-
5,수원박물관,4.2,-
6,수원시립아이파크미술관,4.3,-
7,축구박물관,3.0,-
8,,,
9,수원화성박물관,4.2,-
10,해우재,4.1,-
11,,,
12,,,
13,,,
14,,,
15,화성시,-,-
16,,,
17,,,
18,,,
19,성남아트센터,4.3,-
20,신구대학교 식물원,4.0,-
21,,,
22,판교박물관,4.2,-
23,한국잡월드,4.1,-
24,의정부과학도서관,4.8,-
25,북한산국립공원(도봉산 지구),4.4,-
26,아일랜드캐슬,3.9,-
27,,,
28,의정부시시설관리공단실내빙상장,4.1,-
29,의정부시퓨전문화관광홍보관,-,-
30,관악산 자연학습장,-,-
31,김중업 건축박물관,4.3,-
32,병목안시민공원,4.4,-
33,병목안캠핑장,4.2,-
34,,,
35,,,
36,안양 예술공원,4.1,-
37,안양천생태이야기관,4.2,-
38,부천물박물관,3.3,-
39,부천교육박물관,4.7,-
40,,,
41,부천수석박물관,4.3,-
42,부천옹기박물관,4.2,-
43,아인스월드,3.5,전 세계 유명 건축물의 미니어처가 있는 테마파크입니다.
44,웅진플레이도시골프장,4.3,-
45,웅진플레이도시,4.0,스키와 썰매를 탈 수 있는 실내 테마파크로 슬라이드가 있는 수영장과 골프 연습장이 있습니다.
46,웅진플레이도시,4.0,스키와 썰매를 탈 수 있는 실내 테마파크로 슬라이드가 있는 수영장과 골프 연습장이 있습니다.
47,유럽자기박물관,3.7,-
48,,,
49,,,
50,한국만화박물관,4.2,-
51,활박물관,3.8,-
52,도덕산캠핑장,4.2,-
53,광명동굴,4.2,-
54,광명 스피돔,4.0,-
55,구름산 산림욕장,-,-
56,기형도문학관,4.3,-
57,나비야놀자박물관,1.0,-
58,,,
59,충현박물관,4.0,-
60,바람새마을,3.9,-
61,,,
62,송탄관광특구연합회,4.5,-
63,농업박물관,4.1,-
64,농업회사법인 (주)초록미소마을,4.1,-
65,,,
66,,,
67,경기북부어린이박물관,4.3,-
68,,,
69,자유수호평화박물관,4.1,-
70,티클라우드CC,4.5,-
71,,,
72,경기도미술관,4.3,-
73,경기도청소년수련원,4.4,-
74,대부도캠핑성,4.0,-
75,구봉도 해솔길 공영주차장,3.9,-
76,해솔길펜션,3.7,-
77,동주염전,4.4,-
78,동춘서커스,4.2,-
