,Name,Score,Description
0,(주)엘시티관광호텔,4.1,-
1,3.15아트센터,4.3,-
2,,,
3,,,
4,,,
5,돝섬해상유원지,3.8,-
6,마금산원탕보양온천,4.0,-
7,마금산원탕보양온천,4.0,-
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,마금산원탕보양온천,4.0,-
19,,,
20,마금산원탕보양온천,4.0,-
21,,,
22,마금산원탕보양온천,4.0,-
23,마금산원탕보양온천,4.0,-
24,,,
25,창원시립마산박물관,4.0,-
26,아리랑관광호텔,3.5,-
27,,,
28,창원시립문신미술관,4.2,-
29,,,
30,사보이호텔,3.9,-
31,성산아트홀,4.4,-
32,성산패총,3.6,-
33,,,
34,,,
35,,,
36,(주)무빙보트,-,-
37,웅천도요지전시관,4.2,-
38,장복산공원,4.5,-
39,저도 비치로드 제2전망대,4.1,-
40,,,
41,항일독립운동가주기철목사기념관,4.3,-
42,주남저수지,4.4,-
43,진해내수면 환경생태공원,4.5,-
44,창원해양공원,4.1,-
45,창원경륜장,3.5,-
46,창원과학체험관,4.2,-
47,창원국동크루즈,3.6,-
48,,,
49,,,
50,마산음악관,3.8,-
51,창원의집,4.3,-
52,CECO | 창원컨벤션센터,3.9,-
53,,,
54,,,
55,,,
56,해양드라마 세트장,3.9,-
57,LH 토지주택박물관,4.4,-
58,강주못,4.2,-
59,경상남도교육청 과학교육원,4.5,-
60,경상남도교육청 과학교육원,4.5,-
61,경상대학교박물관,4.0,-
62,남강댐 물문화관,4.1,-
63,대암초록마을,-,-
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,죽곡삼베마을,-,-
71,진양호,4.3,-
72,진양호동물원,3.8,-
73,,,
74,월아산 우드랜드,4.4,-
75,진주레일바이크 남강레저산업,4.2,-
76,진주성,4.5,-
77,진주시립 이성자 미술관,4.0,-
78,사단법인진주어린이박물관,3.3,-
79,,,
80,금호통영마리나리조트,4.0,-
81,남망산조각공원,3.9,-
82,달아공원,4.2,-
83,동피랑벽화마을,3.9,-
84,소매물도,4.2,-
85,미륵산,4.7,-
86,박경리기념관,4.3,-
87,,,
88,사량도,4.4,-
89,,,
90,통영 연대도 패총,3.4,-
91,연화도,4.0,-
92,욕지도,4.0,-
93,,,
94,이순신공원,4.4,"전망대, 문화 센터, 존경받는 장군 동상이 있는 해상공원입니다."
95,장사도해상공원 까멜리아,4.0,"정원 사이에 산책로, 조각상, 원형 극장이 있는 해상공원으로 아름다운 경치를 즐길 수 있습니다."
96,청마문학관,3.8,-
97,,,
98,,,
99,통영옻칠미술관,4.3,-
100,스카이라인루지 통영,4.5,-
101,통영수산과학관,3.8,-
102,통영시청소년수련원,3.8,-
103,통영시립박물관,3.4,-
104,통영 어드벤처타워,4.1,-
105,통영충렬사,4.3,-
106,,,
107,통영 삼도수군통제영 統營 三道水軍統制營,4.3,-
108,,,
109,한산도,4.1,-
110,한산도 제승당,4.4,-
111,,,
112,남일대해수욕장,3.6,-
113,,,
114,다솔사,4.4,-
115,,,
116,비토국민여가캠핑장,4.4,-
117,비토해양낚시공원,3.8,-
118,사천바다케이블카,4.3,-
119,,,
120,삼삼컨트리클럽,3.8,-
121,삼천포유람선,3.8,-
122,,,
123,,,
124,삼천포대교,4.2,-
125,타니컨트리클럽,4.2,-
126,한국항공대학교 항공우주박물관,3.7,-
127,,,
128,,,
129,가야문화예술관,-,-
130,김해가야테마파크,4.0,-
131,국립김해박물관,4.3,"가야 시대의 문화 유산을 보여주는 박물관으로 도자기, 수공예품, 매장지 등이 전시되어 있습니다."
132,김해가야테마파크,4.0,-
133,김해 낙동강 레일파크,4.1,-
134,김해목재문화체험장,4.4,-
135,김해상록골프장,4.3,-
136,김해시청소년수련관,-,-
137,김해천문대,4.5,-
138,김해청소년문화의집,5.0,-
139,노무현대통령생가,4.7,-
140,대동승마랜드,3.4,-
141,김해 대성동 고분군,4.2,-
142,대성동고분박물관,4.3,-
143,,,
144,,,
145,,,
146,무척산관광예술원,3.9,-
147,,,
148,봉황동유적,4.2,-
149,부경동물원,3.6,-
150,,,
151,수로왕비릉,4.3,-
