,Name,Score,Description
0,,,
1,5·18 민주화운동기록관,4.6,-
2,동적골,4.1,-
3,무등산 국립공원,4.5,-
4,무등산 국립공원,4.5,-
5,무등산,4.4,-
6,,,
7,무등산국립공원(증심사),4.1,-
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,무등산지산유원지,3.9,-
15,,,
16,5·18기념공원,4.4,-
17,,,
18,광주시립미술관 분관 하정웅미술관,4.2,-
19,고싸움영상체험관,3.3,-
20,광주공원,4.0,-
21,빛고을공예창작촌,4.2,-
22,사직공원,4.1,-
23,승촌보오토캠핑장,4.2,-
24,영산강6경(승촌보) 승촌보문화관,4.1,-
25,이장우 가옥,4.3,-
26,펭귄마을,3.8,-
27,광주 포충사,4.4,-
28,,,
29,광주광역시문화예술회관,4.3,-
30,광주시민의숲야영장,4.2,-
31,국립광주과학관,4.3,-
32,국립광주박물관,4.3,고대 유물과 지역 문화 유물을 영구적으로 교차 전시하는 박물관입니다.
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,무등산 국립공원,4.6,-
47,,,
48,,,
49,우치공원동물원,4.2,-
50,,,
51,,,
52,,,
