,Name,Score,Description
0,용두산공원,4.2,"129m 높이의 전망대, 동상, 석조 기념물로 유명한 산림 공원입니다."
1,송도구름산책로,4.3,-
2,,,
3,,,
4,이주홍문학관,4.2,-
5,,,
6,,,
7,,,
8,구포국수체험관,4.3,-
9,구포어린이교통공원,4.0,-
10,부평굴포누리기후변화체험관,4.0,-
11,북구문화빙상센터,4.2,-
12,,,
13,노보텔 앰배서더 부산,4.0,-
14,누리마루 APEC하우스,4.3,-
15,부산시립미술관,4.3,"현대 미술 전시실, 어린이 박물관, 조각 정원을 갖춘 활기차고 세련된 공간입니다."
16,SEA LIFE 부산아쿠아리움,4.1,-
17,,,
18,,,
19,파라다이스호텔 부산,4.5,-
20,해운대글로리콘도,3.3,-
21,한화리조트 해운대티볼리,4.2,-
22,,,
23,,,
24,호텔 일루아,4.2,-
25,감천문화마을,4.3,"다채로운 주택, 벽화, 상점, 카페 등이 있는 그림 같은 명소입니다."
26,다대포해수욕장,4.3,-
27,금정산성,4.4,-
28,범어사,4.5,서기 678년에 의상 법사가 세운 한국의 화엄종 불교 사찰입니다.
29,,,
30,,,
31,광안리해수욕장,4.5,"곡선형의 유명한 황금빛 모래 해변으로, 광안대교 전망을 감상할 수 있는 티키 파라솔이 늘어서 있습니다."
32,,,
33,국립부산과학관,4.5,-
34,아홉산숲,3.9,-
35,,,
36,해동용궁사,4.3,광활한 바다를 마주한 오래된 불교 사찰로 14세기에 세워졌습니다.
