,Name,Score,Description
0,경복궁,4.6,박물관과 정원이 있는 거대한 14세기 왕궁이며 무료 가이드 투어가 제공됩니다.
1,경희궁,4.3,-
2,서울역사박물관,4.4,-
3,,,
4,종묘,4.5,조선 왕조의 왕족을 모시는 유교 사원으로 지금도 제사를 지냅니다.
5,창경궁,4.6,"네 곳의 한국 전통 궁궐, 사당, 정원으로 이루어진 단지로, 가이드 투어와 자유 관람을 즐길 수 있습니다."
6,,,
7,청와대 사랑채,4.2,-
8,남산골한옥마을,4.3,-
9,덕수궁,4.5,서울의 심장부에 있는 유서 깊은 궁전으로 왕궁수문장 교대 의식을 볼 수 있습니다.
10,,,
11,국립중앙박물관,4.6,-
12,한의약박물관,4.2,-
13,세종대왕기념관,3.8,-
14,태릉,4.6,-
15,서대문자연사박물관,4.2,"공룡의 뼈, 나비, 화석 전시실이 있는 현대 자연사 박물관입니다."
16,서대문형무소역사관,4.6,-
17,서울 트릭아이뮤지엄 Trickeye Museum,4.2,-
18,,,
19,,,
20,,,
21,서울 스카이,4.5,-
22,,,
