,Name,Score,Description
0,수운 최제우 유허지,4.1,-
1,약사동 제방유적전시관,4.0,-
2,,,
3,울산 동헌 및 내아,4.3,-
4,태화강십리대숲,4.6,-
5,,,
6,,,
7,,,
8,,,
9,고래바다여행선,3.9,-
10,장생포고래박물관,4.0,"유물, 화석, 어린이 액티비티를 통해 한국의 포경 산업에 초점을 맞춘 소규모의 박물관입니다."
11,고래생태체험관,4.2,-
12,롯데호텔 울산,4.2,-
13,,,
14,울산대공원,4.6,-
15,울산대공원,4.6,-
16,울산박물관,4.3,-
17,장생포 고래마을,4.3,-
18,태화강동굴피아,3.8,-
19,태화관광호텔,5.0,-
20,,,
21,대왕암공원,4.6,-
22,울산소리체험관,3.7,-
23,슬도,4.3,-
24,,,
25,울산대교 전망대,4.2,-
26,울산테마식물수목원,3.7,-
27,,,
28,주전해변,4.6,-
29,,,
30,호텔현대 바이 라한 울산,4.1,-
31,사랑길펜션,4.3,-
32,강동해변,4.7,-
33,당사해양낚시공원,3.7,-
34,,,
35,현대자동차 울산공장,4.1,-
36,,,
37,간절곶등대,4.4,-
38,,,
39,,,
40,울주천전리각석,4.6,-
41,울주 대곡리 반구대 암각화,4.3,강 절벽에 새겨진 선사 시대 암각화이며 10월~2월에 볼 수 있습니다.
42,,,
43,,,
44,서생포왜성,4.1,-
45,,,
46,,,
47,신불산폭포자연휴양림,4.4,-
48,영남 알프스,3.7,-
49,,,
50,영남 알프스,3.7,-
51,,,
52,(주)영남알프스레져,3.0,-
53,,,
54,외고산 옹기마을,4.0,-
55,,,
56,울산대곡박물관,4.1,-
57,울산암각화박물관,4.4,-
58,울산해양박물관,3.5,-
59,,,
60,진하해수욕장,4.1,-
61,박제상기념관,4.3,-
