,Name,Score,Description
0,,,
1,무의도,4.0,등산을 즐길 수 있는 한적한 해변 휴양지에 해산물 레스토랑과 해안가의 숙박 시설이 있습니다.
2,,,
3,북성포구,3.7,-
4,동화마을 트릭아트스토리,3.8,-
5,,,
6,실미해수욕장,3.9,-
7,영종 씨사이드파크 레일바이크,4.1,-
8,팔미도 유람선,3.9,-
9,연안부두 해양광장,3.9,-
10,백운산,4.3,-
11,,,
12,,,
13,월미도유람선wolmido cruise,4.0,-
14,월미산,4.0,-
15,을왕리해수욕장,3.7,-
16,인천개항장 근대건축전시관,4.1,-
17,,,
18,인천대교기념관,4.0,-
19,인천학생과학관,4.6,-
20,인천항 갑문홍보관,3.9,-
21,,,
22,재미난 박물관,3.1,-
23,중구생활사전시관,4.0,-
24,짜장면 박물관,3.8,-
25,,,
26,하나개해수욕장,4.2,-
27,한국이민사박물관,4.1,-
28,호룡곡산,4.3,-
29,수도국산 달동네박물관,4.3,-
30,실감콘텐츠 탐,4.1,-
31,,,
32,,,
33,문학산성,4.2,-
34,,,
35,송암미술관,4.2,-
36,인천도호부청사,3.9,-
37,인천어린이박물관,4.0,-
38,가스과학관,4.0,-
39,가천박물관,3.9,-
40,,,
41,인천광역시립박물관,4.2,-
42,인천도시역사관,4.1,-
43,인천상륙작전기념관,4.1,-
44,소래철교,4.2,-
45,,,
46,소래습지 생태공원,4.1,"해수 소택지, 철새, 전망대, 자연 센터가 있는 조용한 공원입니다."
47,,,
48,소래역사관,3.9,-
49,,,
50,애보박물관,3.9,-
51,애보박물관,3.9,-
52,인천대공원,4.4,-
53,,,
54,,,
55,부평아트센터,4.2,-
56,부평역사박물관,4.3,-
57,,,
58,인천나비공원,4.2,-
59,한국선교역사기념관,4.4,-
60,계양산,4.2,-
61,인천어린이과학관,4.3,-
62,검단선사박물관(Geomdan Prehistory Museum),4.0,-
63,녹청자박물관,4.0,-
64,,,
65,강화농경문화관,3.7,-
66,강화갯벌센터,3.7,-
67,,,
68,강화군 관광플랫폼,4.5,-
69,,,
70,강화석모도미네랄온천,3.7,-
71,강화역사박물관,4.2,-
72,강화자연사박물관,4.3,-
73,,,
74,,,
75,강화 평화전망대,4.3,-
76,강화화문석문화관,4.2,-
77,동막해변,4.2,-
78,마니산,4.4,-
79,,,
80,,,
81,강화 소창체험관(구 평화직물),4.4,-
82,옥토끼우주센터,4.1,-
83,,,
84,,,
85,대청면,-,-
86,덕적면,-,-
87,,,
88,북도면,-,-
89,,,
90,에너지파크,4.2,-
91,연평면,-,-
92,에너지파크,4.2,-
93,자월면,-,-
