,Name,Score,Description
0,연희네슈퍼(1987 촬영지),4.0,-
1,,,
2,고하도,4.1,-
3,국립해양문화재연구소,4.6,-
4,김대중 노벨평화상기념관,4.3,-
5,남농기념관,3.3,-
6,노을전망대,4.2,-
7,,,
8,오거리문화센터(구 동본원사 목포별원),4.1,-
9,,,
10,목포 갓바위 (천연기념물 제500호),4.2,-
11,목포국제축구센터,4.3,-
12,목포 근대역사관 1관(구 목포일본영사관),4.2,-
13,목포문학관,4.4,-
14,목포시민문화체육센터,4.2,-
15,목포시청소년수련원,3.2,-
16,,,
17,목포요트마리나,4.1,-
18,,,
19,목포 자연사 박물관,4.2,-
20,목포북항해양수산복합센터,3.6,-
21,파크골프장,3.5,-
22,,,
23,,,
24,외달도,4.0,-
25,삼학도카누캠프,-,-
26,성옥기념관,4.3,-
27,,,
28,,,
29,목포어린이바다과학관,4.1,-
30,,,
31,,,
32,유달산,4.5,-
33,,,
34,유달산,4.4,-
35,유달유원지,3.5,-
36,,,
37,,,
38,목포 춤추는 바다분수,4.2,-
39,,,
40,여수예술랜드리조트(Yeosu Art Land Culture & Resort),4.2,-
41,,,
42,,,
43,,,
44,거문도,3.7,-
45,거문도,3.7,-
46,,,
47,여수시굴전여가캠핑장,3.7,-
48,금오도,3.8,-
49,,,
50,,,
51,여수해상케이블카 돌산탑승장,4.1,-
52,,,
53,디오션리조트,4.0,-
54,만성리검은모래해변,3.2,-
55,,,
56,방죽포해수욕장,3.8,-
57,여수시봉황산자연휴양림,4.1,-
58,북한반잠수정전시관,4.1,-
59,,,
60,소호요트장,-,-
61,손양원목사순교기념관,4.3,-
62,여수송시마을체험장,4.5,-
63,시티파크 골프&리조트,3.7,-
64,신덕 해수욕장,4.1,-
65,한화 아쿠아플라넷 여수,4.1,"큰 물고기와 상어 탱크가 있는 수족관으로 벨루가 고래 쇼, 먹이주기 시연, 터치풀을 즐길 수 있습니다."
66,,,
67,여수세계박람회 빅오쇼,4.2,-
68,,,
69,여수민속전시관,3.8,-
70,신덕 해수욕장,4.1,-
71,여수승마장,3.5,-
72,여수 하멜전시관,3.9,-
73,여수해양레일바이크,3.8,3.5km의 레일바이크 트랙으로 여수의 탁 트인 바다 전경을 즐기며 탑승할 수 있습니다.
74,,,
75,에코힐즈,4.2,-
76,,,
77,오동도,4.3,다리로 연결된 자그마한 섬으로 전망대가 있으며 동백꽃과 대나무로 유명합니다.
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,이순신광장 전라좌수영거북선,4.3,-
85,진남관,3.7,-
86,하화도,4.1,-
87,향일암,4.5,숲이 우거진 해안 절벽에 있는 이 작은 불교 사찰은 멋진 바다 경관을 감상할 수 있습니다.
88,,,
89,흥국사,4.4,-
90,순천만거차뻘배체험장,4.0,-
91,,,
92,,,
93,,,
94,,,
95,낙안민속자연휴양림,4.0,-
96,낙안온천,3.7,-
97,낙안읍성 민속마을,4.3,-
98,낙안민속자연휴양림,4.0,-
99,,,
100,물사랑학습체험관,4.0,-
101,,,
102,,,
103,,,
104,대한불교태고종 선암사,4.5,목조 건물을 배경으로 하는 아름다운 아치형 다리가 있는 불교 사찰입니다.
105,송광사(松廣寺),4.5,-
106,,,
107,순천만국가정원,4.5,-
108,순천만국가정원,4.5,-
109,,,
110,순천문화예술회관,4.0,-
111,순천생태마을,4.0,-
112,순천시립 뿌리깊은나무 박물관,3.8,-
113,순천시청소년수련원,4.4,-
114,용오름전통테마마을,4.2,-
115,순천자연휴양림 Suncheon Recreational Forest,4.2,-
116,순천철도마을박물관,3.9,-
117,,,
118,향매실마을,4.4,-
119,승주컨트리클럽,4.4,-
120,,,
121,순천업사이클센터,-,-
122,순천만에코촌유스호스텔,4.1,-
123,순천전통야생차체험관,4.3,-
124,순천 청춘창고,3.9,-
125,파인힐스 골프&호텔,4.3,-
126,,,
127,골드레이크컨트리클럽,4.4,-
128,국립나주박물관,4.3,-
129,,,
130,,,
131,금성산,5.0,-
132,,,
133,,,
134,나주 목사내아 금학헌,4.4,-
135,나주읍성,4.3,-
136,나주학생독립운동기념관,4.1,-
137,,,
138,나주힐스컨트리클럽,4.2,-
139,나주 반남 고분군,-,-
140,,,
141,나주 복암리 고분 전시관,4.4,-
142,,,
143,덕룡산 불회사,4.4,-
144,빛가람전망대,4.2,-
145,,,
146,,,
147,전라남도 산림자원연구소,4.6,-
148,,,
149,지석강주유소. 휴게소. 마트,3.9,-
150,한국천연염색박물관,4.2,-
151,해피니스컨트리클럽(주),4.2,-
152,,,
153,고사마을,-,-
154,광양수영장,4.4,-
155,광양 에코파크,4.0,-
156,광양역사문화관,4.3,-
157,광양와인동굴,3.2,-
158,,,
159,거명컨트리클럽,3.8,-
160,,,
161,,,
162,,,
163,광양김시식지,4.1,-
164,느랭이골휴양림,4.1,-
165,도선국사마을,4.5,-
166,매천황현생가,3.9,-
167,,,
168,백운산,4.2,-
169,,,
170,,,
171,백운산,4.1,-
172,,,
173,백학동마을,-,-
174,,,
175,,,
176,섬진강,4.1,-
177,,,
178,광양 옥룡사지,4.4,-
179,윤동주 유고보존정병욱가옥,4.1,-
180,광양장도박물관,3.6,-
181,청매실농원,4.2,-
182,형제의병장마을,-,-
183,가마골생태공원,4.2,-
184,,,
185,,,
186,,,
187,담양커피농장,4.9,-
188,담양관광호텔,4.0,-
189,담양온천,3.9,-
190,담양호,4.5,-
191,대나무골 테마공원,3.7,-
192,,,
193,담양 레이나CC,3.9,-
194,,,
195,메타프로방스,3.7,-
196,면앙정,3.9,-
197,명옥헌 원림,4.2,-
198,병풍산,3.8,-
199,소쇄원 (瀟灑園),4.1,자연과 조화롭게 조성한 유서 깊은 전통 한국식 정원으로 인공 폭포가 있습니다.
200,,,
201,,,
202,,,
203,담양 용마루길,4.4,-
204,,,
205,죽녹원,4.3,대규모의 식물이 있는 크고 고요한 대나무 정원으로 조명 아래에서 야간 산책을 하며 인근 시설을 이용할 수 있습니다.
206,,,
207,,,
208,담양추억의골목,3.8,-
209,,,
210,추월산,4.2,-
211,,,
212,한국대나무박물관,4.0,-
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,곡성 섬진강 기차마을,4.1,개조된 객차 내에 현대적인 B&B 객실과 레일 바이크 및 증기 기차 트랙이 내려다 보이는 테라스를 갖추고 있습니다.
225,섬진강레일바이크,4.0,-
226,곡성섬진강천문대,4.8,-
227,섬진강자연학습원,4.0,-
228,성륜사,4.5,-
229,심청문화센터,-,-
230,압록유원지,4.0,-
231,전라남도 옥과미술관,3.9,-
232,,,
233,용산재,4.9,-
234,,,
235,,,
236,,,
237,청계동계곡,3.9,-
238,,,
239,섬진강 침실습지,4.4,-
240,,,
241,지리산가족호텔,4.0,-
242,구례청소년수련관,2.0,-
243,구례자연드림파크,4.2,-
244,농협중앙회 구례교육원,5.0,-
245,산수유마을,-,-
246,산수유사랑공원,4.0,-
247,,,
248,섬진강어류생태관,4.2,-
249,,,
250,,,
251,야생화테마랜드,4.0,-
252,구례 오산 사성암 일원,4.4,-
253,운 조 루,3.9,-
254,구례군 운조루 유물전시관,-,-
255,,,
256,지리산연곡사,4.2,-
257,천은사,4.2,-
258,,,
259,국립공원지리산생태탐방원,5.0,-
260,,,
261,지리산온천랜드,3.5,-
262,지리산온천랜드,3.5,-
263,지리산치즈랜드,4.0,-
264,지리산학생수련장,3.0,-
265,,,
266,,,
267,,,
268,고흥분청문화박물관,4.3,-
269,고흥우주천문과학관,4.4,-
270,국립청소년우주센터,4.6,-
271,,,
272,외나로도,3.6,-
273,나로우주센터 우주과학관,4.0,-
274,,,
275,,,
276,두방산,2.7,-
277,마복산,4.0,-
278,마복산 목재문화체험장,4.7,-
279,발포역사전시체험관,3.4,-
280,봉래산,4.3,-
281,봉황산,-,-
282,소록도,4.2,-
283,,,
284,시호도,4.5,-
285,,,
286,,,
287,연홍미술관,4.0,-
288,용바위(Yongbawi Rock),4.0,-
289,고흥우주발사전망대,4.2,-
290,적대봉,3.7,-
291,천등산,4.0,-
292,팔영산,4.7,-
293,팔영산편백치유의숲,4.8,-
294,팔영산 자연휴양림,4.1,-
295,,,
296,보성 강골마을,3.6,-
297,,,
298,득량만 바다낚시 공원,3.6,-
299,미력옹기,5.0,-
300,,,
301,벌교 금융조합,3.7,-
302,,,
303,,,
304,대한불교조계종 대원사,4.3,-
305,대원사티벳박물관,4.0,-
306,보성군립백민미술관,4.0,-
307,비봉공룡공원,3.6,-
308,,,
309,,,
310,,,
311,율포해수녹차센터,3.8,-
312,보성율포해수풀장,4.0,-
313,,,
314,제암산자연휴양림,4.4,-
315,,,
316,태백산맥문학관,4.1,-
317,한국차박물관,3.9,-
318,,,
319,,,
320,화순 아쿠아나 금호리조트,3.8,-
321,엘리체cc,4.2,-
322,,,
323,도곡미송온천호텔,3.6,-
324,,,
325,,,
326,,,
327,무등산편백자연휴양림,3.7,-
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,백아산자연휴양림,4.0,-
338,,,
339,오지호기념관,3.8,-
340,,,
341,유마사,4.1,-
342,화순정암조광조선생적려유허비,3.6,-
343,조아밸리CC,4.1,-
344,충의사,4.4,-
345,하니움문화스포츠센터,4.2,-
346,한천 자연 휴양림,4.4,-
347,고인돌유적지(화순),4.0,-
348,화순랜드요양병원,4.3,-
349,,,
350,화순적벽 자연보호구역,3.5,-
351,화순컨트리클럽,4.2,-
352,JNJ골프리조트,4.3,-
353,방촌유물전시관,4.1,-
354,,,
355,수문해수욕장,3.5,-
356,,,
357,,,
358,유치자연휴양림,4.2,-
359,정남진물과학관,3.8,-
360,정남진 전망대,4.1,-
361,정남진 천문과학관,4.3,-
362,,,
363,정남진해양낚시공원,3.6,-
364,제암산,3.6,-
365,천관산,4.1,-
366,천관산자연휴양림,4.1,-
367,장흥우드랜드,4.2,-
368,가우도길,-,-
369,강진고려청자도요지,3.6,-
370,강진만 생태공원,4.3,-
371,세계불교미륵대종 남미륵사,4.1,-
372,,,
373,,,
374,,,
375,별서정원,4.3,-
376,석문공원,4.1,-
377,강진 영랑생가,4.3,-
378,,,
379,,,
380,흑석산자연휴양림,4.1,-
381,고산 윤선도 유적지,3.9,-
382,,,
383,미황사,4.5,넓은 산과 바다 전경의 멋진 자연 환경을 자랑하는 고요한 불교 사원입니다.
384,대흥사,4.5,-
385,두륜미로파크,4.1,-
386,오소재쉼터,4.4,-
387,두륜산 케이블카,4.2,-
388,,,
389,땅끝오토캠핑장,4.2,-
390,,,
391,미황사,4.5,넓은 산과 바다 전경의 멋진 자연 환경을 자랑하는 고요한 불교 사원입니다.
392,사구미해변,4.0,-
393,송평해수욕장,3.3,-
394,땅끝송호해변,3.9,-
395,해남오시아노캠핑장,4.1,-
396,,,
397,해남공룡박물관,4.4,-
398,해남 파인비치CC,4.6,-
399,도갑사,4.4,-
400,,,
401,마한문화공원,4.0,-
402,,,
403,아크로컨트리클럽,4.3,-
404,한옥호텔 영산재,4.3,-
405,영산호관광농업박물관,4.6,-
406,,,
407,,,
408,,,
409,남도소리울림터,4.4,-
410,도리포유원지,3.8,-
411,목포대학교 박물관,-,-
412,못난이미술관,4.3,-
413,무안황토갯벌랜드,-,-
414,무안종합스포츠파크,4.2,-
415,,,
416,클린벨리CC,3.9,-
417,,,
418,,,
419,승달문화예술회관,4.1,-
420,,,
421,,,
422,무안군오승우미술관,4.1,-
423,월선농어촌인성학교,-,-
424,,,
425,조금나루 유원지,4.1,-
426,초의선사탄생지,4.4,-
427,목포테마승마장,4.3,-
428,톱머리 해수욕장,3.9,-
429,파도목장캠핑장,4.0,-
430,,,
431,홀통유원지,3.8,-
432,,,
433,,,
434,꽃무릇공원,4.1,-
435,,,
436,,,
437,함평 양서 파충류 생태공원,4.2,-
438,,,
439,함평자연생태공원,4.2,-
440,가마미해수욕장,3.9,-
441,한국기독교순교자기념관,4.5,-
442,한국기독교순교자기념관,4.5,-
443,,,
444,,,
445,백제불교최초도래지,4.2,-
446,백제불교최초도래지,4.2,-
447,,,
448,,,
449,,,
450,불갑저수지수변공원,4.2,-
451,에콜리안영광CC,4.1,-
452,영광스포티움,4.1,-
453,,,
454,,,
455,영광청소년수련관,3.0,-
456,영광예술의전당,4.2,-
457,원불교영산성지,4.4,-
458,원불교영산성지,4.4,-
459,,,
460,,,
461,영광칠산타워,3.9,-
462,,,
463,가마미해수욕장,3.9,-
464,,,
465,,,
466,방장산자연휴양림,4.0,-
467,,,
468,장성호수변길,3.9,-
469,장성호 관광지 관리사무소,4.2,-
470,,,
471,장성 필암서원,4.2,-
472,홍길동생가터,4.1,-
473,홍길동테마파크,4.0,-
474,생일도,3.9,-
475,,,
476,,,
477,,,
478,,,
479,금일해당화해변,4.0,-
480,,,
481,,,
482,,,
483,명사십리해수욕장,3.9,-
484,완도 미라리 상록수림,3.7,-
485,,,
486,,,
487,완도 예송리 상록수림,4.2,-
488,완도군어촌민속전시관,3.6,-
489,완도타워,4.2,-
490,고산 윤선도 유적지,3.9,-
491,,,
492,장보고기념관,3.3,-
493,,,
494,정도리 구계등,4.4,-
495,,,
496,,,
497,,,
498,,,
499,,,
500,국립남도국악원,4.6,-
501,국립진도자연휴양림,4.4,-
502,,,
503,남도전통미술관,4.8,-
504,녹진전망대,4.3,-
505,동석산,5.0,-
506,,,
507,,,
508,,,
509,신비의바닷길체험관,4.0,-
510,진도아리랑마을,3.6,-
511,,,
512,운림산방,4.3,-
513,,,
514,장전미술관 (구 남진미술관),3.8,-
515,,,
516,진도개테마파크,4.3,-
517,진도대교,4.5,-
518,신비의바닷길,-,-
519,진도타워,4.3,-
520,,,
521,,,
522,,,
523,진도향토문화회관,4.3,-
524,가거도,3.8,-
525,도초면,-,-
526,순교자문준경기념사업회,4.1,-
527,비금도,3.8,-
528,,,
529,,,
530,안좌도,3.3,-
531,암태도,4.6,-
532,,,
533,임자도,4.4,-
534,자은도,4.2,-
535,장산도,4.5,-
536,증도,4.0,-
537,,,
538,,,
539,짱뚱어다리,4.2,-
540,천사섬 분재공원,4.0,-
541,팔금도,4.0,-
542,퍼플교,3.9,-
543,,,
544,홍도,4.1,-
545,흑산도,2.8,-
546,경기전,4.2,1410년에 건축된 이 유명한 사원에는 역사적인 전시물과 왕의 초상화가 전시된 박물관이 있습니다.
547,국립전주박물관,4.3,"이 국립 박물관에는 미술, 고고학, 민속 자료와 관련된 소장품이 있으며 특별 전시회가 열립니다."
548,농업과학관,4.4,-
549,덕진공원,4.1,-
550,,,
551,오목대,3.9,-
552,전주동물원,4.3,-
553,전주한벽문화관,4.1,-
554,전주한옥 레일바이크,3.9,-
555,전주한지박물관,4.3,공예품과 서적을 비롯한 전통 수제 한지를 전문으로 하는 인터랙티브 박물관입니다.
556,팔복예술공장,4.0,-
557,한국도로공사 전주수목원,4.5,-
558,경암동철길마을 시작점,3.7,-
559,군산근대역사박물관,4.1,도시의 근대 역사를 추적하는 박물관으로 1930년대 일본 식민지 시대 도시를 재현했습니다.
560,,,
561,군산새만금컨벤션센터,3.8,-
562,,,
563,금강철새조망대,3.9,-
564,,,
565,,,
566,새만금 방조제,-,-
567,선유도,4.0,-
568,,,
569,,,
570,,,
571,진포해양테마공원,4.0,-
572,청암산오토캠핑장,4.3,-
573,청암산오토캠핑장,4.3,-
574,초원사진관,3.9,-
575,,,
576,가람문학관,4.0,-
577,,,
578,천주교 나바위 성당,4.6,-
579,마한관,4.1,-
580,익산 미륵사지,4.3,-
581,성당포구 금강체험관,4.1,-
582,왕궁리유적전시관,4.2,-
583,,,
584,,,
585,웅포캠핑장,3.9,-
586,원불교중앙총부,4.8,-
587,익산 교도소세트장,4.0,-
588,익산 쌍릉,3.6,-
589,,,
590,입점리고분전시관관리사무실,3.8,-
591,국립전북기상과학관,4.6,-
592,정읍 김명관 고택,-,-
593,꽃두레행복마을센터,5.0,-
594,내장산,3.8,-
595,내장산조각공원,4.2,-
596,동학농민혁명기념관,4.3,-
597,동학혁명 유적지,-,-
598,정읍 무성서원,4.3,-
599,백정기의사기념관,3.9,-
600,,,
601,옥정호 구절초테마공원,4.2,-
602,정읍시립미술관,4.3,-
603,정읍첨단과학관,3.8,-
604,정읍사공원,4.4,-
605,내장산국민여가캠핑장관리소,4.0,-
606,,,
607,,,
608,칠보물테마유원지,4.1,-
609,태산선비문화관,4.2,-
610,,,
611,,,
612,,,
613,,,
614,,,
615,,,
616,남원시백두대간생태교육장,4.1,-
617,,,
618,남원상록골프장,4.3,-
619,남원옻칠공예관,5.0,-
620,남원시립김병종미술관,4.4,-
621,남원자연휴양림,3.9,-
622,남원항공우주천문대,3.8,-
623,만인의총,4.3,-
624,수지미술관,4.2,-
625,,,
626,,,
627,,,
628,지리산허브밸리,3.6,-
629,춘향테마파크,3.8,-
630,혼불문학관,4.3,-
631,,,
632,김제스파힐스CC,3.7,-
633,김제문화예술회관,4.4,-
634,,,
635,망해사,4.1,-
636,모악랜드,3.5,-
637,,,
638,,,
639,,,
640,벽골제,4.2,-
641,,,
642,,,
643,아리랑 문학마을,4.3,-
644,조정래아리랑문학관,3.8,-
645,김제지평선마린리조트,-,-
646,,,
647,농촌사랑학교,4.0,-
648,고산자연휴양림,4.4,-
649,창포마을안티에이징센터,3.8,-
650,공기마을 편백나무숲,3.9,-
651,안덕건강힐링체험마을,4.1,-
652,놀토피아,4.4,-
653,대둔산,4.3,여러 봉우리와 암석 협곡이 있는 경치 좋은 산으로 멋진 전망과 현수교로도 유명합니다.
654,대둔산 케이블카,4.3,-
655,,,
656,대아 수목원,4.3,-
657,대아저수지,4.8,-
658,대한민국 술테마박물관,4.2,-
659,운장산계곡,4.1,-
660,,,
661,,,
662,완주힐조타운-산속여우 별빛축제,3.5,-
663,삼례문화예술촌,4.0,-
664,송광사(松廣寺),4.5,-
665,물고기마을,3.5,-
666,,,
667,,,
668,,,
669,,,
670,,,
671,데미샘자연휴양림,4.3,-
672,마이산,4.3,-
673,,,
674,용담호,4.6,-
675,,,
676,운장산자연휴양림,4.2,-
677,진안가위박물관,3.8,-
678,진안고원치유숲,3.7,-
679,진안홍삼스파,4.1,-
680,,,
681,,,
682,,,
683,,,
684,덕유산자연휴양림,4.5,-
685,머루와인동굴,3.5,-
686,,,
687,무주덕유산리조트 카니발상가,3.9,-
688,,,
689,무주덕유산리조트,3.9,-
690,,,
691,,,
692,,,
693,향로산자연휴양림,4.4,-
694,,,
695,,,
696,적상산사고지유구,4.1,-
697,최북미술관 김환태문학관,4.1,-
698,,,
699,,,
700,의암 주논개 생가지,4.0,-
701,의암사,4.3,-
702,뜬봉샘생태공원관리사무소,4.3,-
703,렛츠런팜 장수,5.0,-
704,방화동 가족휴가촌,4.6,-
705,,,
706,장수골프리조트,3.7,-
707,장수누리파크,4.5,-
708,장수 도깨비전시관,4.0,-
709,,,
710,장안산,4.1,-
