,Name,Score,Description
0,제주미니미니랜드,3.4,-
1,국립제주박물관,4.2,-
2,,,
3,,,
4,제주도 민속자연사박물관,4.2,-
5,,,
6,,,
7,삼성혈,4.1,-
8,삼양선사유적지,3.7,-
9,생각하는정원,4.1,-
10,제주절물자연휴양림,4.5,-
11,제주 도립 김창열 미술관,4.2,-
12,제주 돌문화공원,4.4,-
13,제주 러브랜드,3.8,성을 주제로 한 테마파크로 지역 예술가들의 조각 전시가 있습니다.
14,제주목 관아,4.2,-
15,별빛누리공원,4.1,-
16,제주항일기념관,4.2,-
17,,,
18,한림공원,4.3,"다양한 아름다운 정원, 2개의 동굴, 작은 동물원, 민속촌이 있는 인기 관광지입니다."
19,항파두리 항몽유적지,3.9,-
20,제주해녀박물관,4.2,-
21,감귤박물관,3.9,-
22,기당미술관,4.3,-
23,마라도해양도립공원,4.3,-
24,박물관은살아있다 인사동점,4.2,-
25,산방산,4.4,-
26,,,
27,서귀포자연휴양림,4.4,-
28,서복전시관,3.8,-
29,성산 일출봉,4.6,화산 분화로 형성된 이 독특한 분화구 형태의 봉우리는 고대의 성과 비슷하다고 합니다.
30,소인국 테마파크,3.8,-
31,신영영화박물관무비스타,3.1,-
32,,,
33,,,
34,이중섭미술관,4.1,-
35,일출랜드,4.0,-
36,정방폭포,4.4,폭포수가 절벽에서 바다로 떨어지는 계단식 해안폭포이며 높이가 75피트에 달합니다.
37,제주민속촌,4.1,-
38,포레스트 판타지아 미디어테마파크,3.9,-
39,제주 추사관,4.4,-
40,,,
41,천제연폭포,4.3,동굴에서 쏟아지는 물이 3단계의 폭포를 이루고 녹지로 둘러싸여 있습니다.
42,천지연폭포,4.2,상점과 음식 가판대가 있는 녹음 무성한 자연환경을 걷다 보면 이 경치 좋은 폭포와 공원으로 이어집니다.
43,Camellia Hill,4.1,"1979년에 개장한 200,000m² 규모의 수목원으로 수많은 동백과 다양한 식물 종을 볼 수 있으며 연중무휴입니다."
44,,,
45,,,
46,아쿠아플라넷 제주,4.3,"파충류, 펭귄 등 다양한 종이 서식하는 현대식 수족관으로 푸드코트와 기념품 가게가 있습니다."
