,Name,Score,Description
0,각원사,4.4,-
1,골드힐카운티,5.0,-
2,,,
3,광덕산,4.4,-
4,대명리조트 천안,3.8,-
5,독립기념관,4.5,일본 식민지 시대의 독립 운동과 한국 역사를 알 수 있는 박물관이며 4D 극장이 있습니다.
6,,,
7,,,
8,버드우드 골프클럽,4.0,-
9,우정박물관,4.1,-
10,우정힐스컨트리클럽,4.6,-
11,유관순열사생가,4.3,-
12,유관순열사유적지,4.4,-
13,,,
14,자연누리성,3.2,-
15,조병옥박사생가,3.8,-
16,천안박물관,4.1,-
17,천안삼거리공원,4.1,-
18,천안상록리조트,4.0,-
19,천안예술의전당,4.2,-
20,천안종합휴양관광지,-,-
21,천안시 홍대용과학관,4.2,-
22,태조산공원,4.2,-
23,,,
24,허브파라다이스영농조합법인,3.0,-
25,,,
26,,,
27,갑사(甲寺),4.3,-
28,,,
29,,,
30,,,
31,상신계곡펜션,4.0,-
32,,,
33,,,
34,,,
35,계룡산도예촌 소여도방,3.9,-
36,갑사유스호스텔,2.6,-
37,고마,4.0,-
38,,,
39,곰나루국민관광단지,4.3,-
40,공주 공산성,4.4,-
41,공주 한옥마을,4.0,-
42,,,
43,공주 산림 휴양 마을,4.4,-
44,공주유스호스텔,2.9,-
45,국립공주박물관,4.2,-
46,동학사,4.2,-
47,,,
48,마곡사 템플스테이,1.0,-
49,무령왕릉,4.2,-
50,박동진판소리전수관,5.0,-
51,석장리박물관,4.1,-
52,성곡사,4.0,-
53,송산리 고분군,4.0,-
54,천주교 수리치골 성모성지,4.7,-
55,,,
56,,,
57,웅진백제역사관,4.1,-
58,이안숲속,3.4,-
59,임립미술관,3.7,-
60,,,
61,전통불교문화원,5.0,-
62,정안천생태공원,4.1,-
63,,,
64,천주교 황새 바위 순교 성지,4.5,-
65,,,
66,풀꽃문학관,4.4,-
67,프린세스골프클럽,3.9,-
68,천주교 황새 바위 순교 성지,4.5,-
69,개화예술공원,4.1,-
70,보령냉풍욕장,3.7,-
71,,,
72,대천해수욕장,4.2,-
73,동백관,4.0,-
74,무창포해수욕장,3.9,-
75,보령 머드 박물관,3.5,-
76,보령 머드 박물관,3.5,-
77,보령문화의전당,4.2,-
78,보령석탄박물관,4.0,-
79,,,
80,성주산자연휴양림,4.4,-
81,성주산자연휴양림,4.4,-
82,,,
83,국립오서산자연휴양림,4.1,-
84,원산도해수욕장,4.1,-
85,,,
86,짚트랙코리아(주),3.8,-
87,곡교천 은행나무길,4.3,-
88,,,
89,천주교 공세리 성당 주차장,4.5,-
90,천주교 공세리 성당,4.5,-
91,,,
92,광덕산,4.4,-
93,,,
94,대동낚시터,3.4,-
95,도고온천,3.0,-
96,도고CC,4.0,-
97,,,
98,,,
99,아산 맹씨 행단,4.0,-
100,,,
101,배방역,2.7,-
102,봉재낚시터,3.6,-
103,삽교천낚시터,2.6,-
104,,,
105,선장저수지,-,-
106,,,
107,,,
108,,,
109,신봉낚시터,3.1,-
110,신수낚시터,3.4,-
111,신왕지낚시터,3.9,-
112,신정호국민관광지,4.3,-
113,,,
114,,,
115,신휴우리낚시터,2.7,-
116,아산레일바이크(주),3.8,-
117,아산스파비스,3.7,-
118,,,
119,외암민속마을,4.1,-
120,아산 쇼타임 코미디홀,4.2,-
121,,,
122,아름다운 골프&리조트,4.3,-
123,염치낚시터,2.6,-
124,영인낚시터,3.6,-
125,영인산자연휴양림,4.4,-
126,,,
127,,,
128,온양민속박물관,4.1,-
129,,,
130,월랑저수지낚시터,3.3,-
131,윤보선전대통령생가,4.0,-
132,이순신빙상장,4.4,-
133,,,
134,봉곡사,4.1,-
135,파라다이스 스파 도고,4.2,-
