,Name,Score,Description
0,Escadaria Selarón,4.6,예술가 호르헤 셀라론이 손수 색칠한 다채로운 타일로 꾸민 유명한 공공 계단입니다.
1,그리스도 구속자,4.8,산 꼭대기에 있는 98피트 높이의 예수 그리스도 상으로 기차를 이용해 갈 수 있으며 도시 경관도 즐길 수 있습니다.
2,이비라푸에라 공원,4.7,"박물관, 천문대, 음악당, 자전거 길과 운동 시설을 갖춘 유원지가 있는 아름다운 공원입니다."
3,이구아수 폭포,4.9,"산책로, 야생동물, 정글을 통과하는 기차로 둘러싸인 방대한 그림 같은 폭포입니다."
4,Botanical Garden of Curitiba,4.8,-
5,이과수 국립공원,4.9,이 광대한 공원에서는 열차를 타고 이과수 폭포까지 이동할 수 있으며 전시관과 방문자 센터가 있습니다.
6,Aquário Marinho do Rio de Janeiro,4.6,-
7,브라질리아 대성당,4.8,-
8,브라질 국회,4.0,-
9,마라카낭,4.7,"올림픽 개최지인 브라질의 유명 축구 경기장으로, 이곳에서 개막식과 폐막식이 열렸습니다."
10,Elevador Lacerda,4.4,-
11,모로 도 카레카,4.6,-
12,Museu da Imagem e do Som - MIS Unidade Jardim Europa,4.7,-
13,Farol da Barra - Forte de Santo Antônio da Barra,4.8,-
14,Basílica do Senhor do Bonfim,4.8,-
15,Cathedral of Salvador,4.8,-
16,Vale da Lua,4.6,-
17,아시시 성 프란시스 교회,4.6,-
18,옥타비우 프리아스 지 올리베이라 다리,4.5,-
