GUNGU,NAME,year,month,korean,foreigner
세종특별자치시,IMG 내셔날,2015,1,2621,0
세종특별자치시,IMG 내셔날,2015,2,3548,2
세종특별자치시,IMG 내셔날,2015,3,7976,2
세종특별자치시,IMG 내셔날,2015,4,10555,0
세종특별자치시,IMG 내셔날,2015,5,12887,2
세종특별자치시,IMG 내셔날,2015,6,12237,2
세종특별자치시,IMG 내셔날,2015,7,12487,0
세종특별자치시,IMG 내셔날,2015,8,11328,3
세종특별자치시,IMG 내셔날,2015,9,12661,0
세종특별자치시,IMG 내셔날,2015,10,12797,1
세종특별자치시,IMG 내셔날,2015,11,9811,0
세종특별자치시,IMG 내셔날,2015,12,4955,0
세종특별자치시,IMG 내셔날,2016,1,2069,0
세종특별자치시,IMG 내셔날,2016,2,3791,0
세종특별자치시,IMG 내셔날,2016,3,9640,2
세종특별자치시,IMG 내셔날,2016,4,12104,1
세종특별자치시,IMG 내셔날,2016,5,13227,0
세종특별자치시,IMG 내셔날,2016,6,13218,0
세종특별자치시,IMG 내셔날,2016,7,11769,0
세종특별자치시,IMG 내셔날,2016,8,11237,2
세종특별자치시,IMG 내셔날,2016,9,12380,1
세종특별자치시,IMG 내셔날,2016,10,13281,0
세종특별자치시,IMG 내셔날,2016,11,11949,0
세종특별자치시,IMG 내셔날,2016,12,6531,0
세종특별자치시,IMG 내셔날,2017,1,2404,0
세종특별자치시,IMG 내셔날,2017,2,4178,0
세종특별자치시,IMG 내셔날,2017,3,11055,3
세종특별자치시,IMG 내셔날,2017,4,12462,0
세종특별자치시,IMG 내셔날,2017,5,13792,2
세종특별자치시,IMG 내셔날,2017,6,12677,1
세종특별자치시,IMG 내셔날,2017,7,11833,0
세종특별자치시,IMG 내셔날,2017,8,11536,0
세종특별자치시,IMG 내셔날,2017,9,13225,0
세종특별자치시,IMG 내셔날,2017,10,13527,0
세종특별자치시,IMG 내셔날,2017,11,12153,0
세종특별자치시,IMG 내셔날,2017,12,5545,0
세종특별자치시,IMG 내셔날,2018,1,1422,0
세종특별자치시,IMG 내셔날,2018,2,4144,0
세종특별자치시,IMG 내셔날,2018,3,10847,0
세종특별자치시,IMG 내셔날,2018,4,12462,1
세종특별자치시,IMG 내셔날,2018,5,14089,1
세종특별자치시,IMG 내셔날,2018,6,14557,0
세종특별자치시,IMG 내셔날,2018,7,12837,0
세종특별자치시,IMG 내셔날,2018,8,10957,0
세종특별자치시,IMG 내셔날,2018,9,13847,0
세종특별자치시,IMG 내셔날,2018,10,14124,1
세종특별자치시,IMG 내셔날,2018,11,13310,1
세종특별자치시,IMG 내셔날,2018,12,6662,0
세종특별자치시,IMG 내셔날,2019,1,4097,0
세종특별자치시,IMG 내셔날,2019,2,5794,0
세종특별자치시,IMG 내셔날,2019,3,12359,1
세종특별자치시,IMG 내셔날,2019,4,13807,1
세종특별자치시,IMG 내셔날,2019,5,15166,0
세종특별자치시,IMG 내셔날,2019,6,14949,0
세종특별자치시,IMG 내셔날,2019,7,14021,2
세종특별자치시,IMG 내셔날,2019,8,13167,2
