GUNGU,NAME,year,month,korean,foreigner
중구,약사동제방유적전시관 ,2015,1,0,0
중구,약사동제방유적전시관 ,2015,2,0,0
중구,약사동제방유적전시관 ,2015,3,0,0
중구,약사동제방유적전시관 ,2015,4,0,0
중구,약사동제방유적전시관 ,2015,5,0,0
중구,약사동제방유적전시관 ,2015,6,0,0
중구,약사동제방유적전시관 ,2015,7,0,0
중구,약사동제방유적전시관 ,2015,8,0,0
중구,약사동제방유적전시관 ,2015,9,0,0
중구,약사동제방유적전시관 ,2015,10,0,0
중구,약사동제방유적전시관 ,2015,11,0,0
중구,약사동제방유적전시관 ,2015,12,0,0
중구,약사동제방유적전시관 ,2016,1,0,0
중구,약사동제방유적전시관 ,2016,2,0,0
중구,약사동제방유적전시관 ,2016,3,0,0
중구,약사동제방유적전시관 ,2016,4,0,0
중구,약사동제방유적전시관 ,2016,5,0,0
중구,약사동제방유적전시관 ,2016,6,0,0
중구,약사동제방유적전시관 ,2016,7,0,0
중구,약사동제방유적전시관 ,2016,8,0,0
중구,약사동제방유적전시관 ,2016,9,0,0
중구,약사동제방유적전시관 ,2016,10,0,0
중구,약사동제방유적전시관 ,2016,11,0,0
중구,약사동제방유적전시관 ,2016,12,0,0
중구,약사동제방유적전시관 ,2017,1,0,0
중구,약사동제방유적전시관 ,2017,2,0,0
중구,약사동제방유적전시관 ,2017,3,0,0
중구,약사동제방유적전시관 ,2017,4,0,0
중구,약사동제방유적전시관 ,2017,5,0,0
중구,약사동제방유적전시관 ,2017,6,0,0
중구,약사동제방유적전시관 ,2017,7,0,0
중구,약사동제방유적전시관 ,2017,8,0,0
중구,약사동제방유적전시관 ,2017,9,0,0
중구,약사동제방유적전시관 ,2017,10,0,0
중구,약사동제방유적전시관 ,2017,11,0,0
중구,약사동제방유적전시관 ,2017,12,0,0
중구,약사동제방유적전시관 ,2018,1,0,0
중구,약사동제방유적전시관 ,2018,2,0,0
중구,약사동제방유적전시관 ,2018,3,0,0
중구,약사동제방유적전시관 ,2018,4,0,0
중구,약사동제방유적전시관 ,2018,5,0,0
중구,약사동제방유적전시관 ,2018,6,0,0
중구,약사동제방유적전시관 ,2018,7,661,0
중구,약사동제방유적전시관 ,2018,8,1218,0
중구,약사동제방유적전시관 ,2018,9,1180,0
중구,약사동제방유적전시관 ,2018,10,994,0
중구,약사동제방유적전시관 ,2018,11,1177,0
중구,약사동제방유적전시관 ,2018,12,1487,0
중구,약사동제방유적전시관 ,2019,1,1003,0
중구,약사동제방유적전시관 ,2019,2,724,0
중구,약사동제방유적전시관 ,2019,3,801,0
중구,약사동제방유적전시관 ,2019,4,526,0
중구,약사동제방유적전시관 ,2019,5,703,0
중구,약사동제방유적전시관 ,2019,6,896,0
중구,약사동제방유적전시관 ,2019,7,647,0
중구,약사동제방유적전시관 ,2019,8,626,0
중구,약사동제방유적전시관 ,2019,9,485,0
중구,약사동제방유적전시관 ,2019,10,817,0
중구,약사동제방유적전시관 ,2019,11,730,0
중구,약사동제방유적전시관 ,2019,12,749,0
중구,약사동제방유적전시관 ,2020,1,418,0
중구,약사동제방유적전시관 ,2020,2,453,0
중구,약사동제방유적전시관 ,2020,3,0,0
중구,약사동제방유적전시관 ,2020,4,0,0
중구,약사동제방유적전시관 ,2020,5,186,0
중구,약사동제방유적전시관 ,2020,6,211,0
중구,외솔생가 및 기념관,2015,1,0,0
중구,외솔생가 및 기념관,2015,2,0,0
중구,외솔생가 및 기념관,2015,3,0,0
중구,외솔생가 및 기념관,2015,4,0,0
중구,외솔생가 및 기념관,2015,5,0,0
중구,외솔생가 및 기념관,2015,6,0,0
중구,외솔생가 및 기념관,2015,7,0,0
중구,외솔생가 및 기념관,2015,8,0,0
중구,외솔생가 및 기념관,2015,9,0,0
중구,외솔생가 및 기념관,2015,10,0,0
중구,외솔생가 및 기념관,2015,11,0,0
중구,외솔생가 및 기념관,2015,12,0,0
중구,외솔생가 및 기념관,2016,1,0,0
중구,외솔생가 및 기념관,2016,2,0,0
중구,외솔생가 및 기념관,2016,3,0,0
중구,외솔생가 및 기념관,2016,4,0,0
중구,외솔생가 및 기념관,2016,5,0,0
중구,외솔생가 및 기념관,2016,6,0,0
중구,외솔생가 및 기념관,2016,7,0,0
중구,외솔생가 및 기념관,2016,8,0,0
중구,외솔생가 및 기념관,2016,9,0,0
중구,외솔생가 및 기념관,2016,10,0,0
중구,외솔생가 및 기념관,2016,11,0,0
중구,외솔생가 및 기념관,2016,12,0,0
중구,외솔생가 및 기념관,2017,1,2672,0
중구,외솔생가 및 기념관,2017,2,2538,0
중구,외솔생가 및 기념관,2017,3,2208,0
중구,외솔생가 및 기념관,2017,4,4332,0
중구,외솔생가 및 기념관,2017,5,5292,0
중구,외솔생가 및 기념관,2017,6,3591,0
중구,외솔생가 및 기념관,2017,7,3251,0
중구,외솔생가 및 기념관,2017,8,3939,0
중구,외솔생가 및 기념관,2017,9,4025,0
중구,외솔생가 및 기념관,2017,10,7682,0
중구,외솔생가 및 기념관,2017,11,3227,0
중구,외솔생가 및 기념관,2017,12,2455,0
중구,외솔생가 및 기념관,2018,1,1946,0
중구,외솔생가 및 기념관,2018,2,627,0
중구,외솔생가 및 기념관,2018,3,2684,0
중구,외솔생가 및 기념관,2018,4,4893,0
중구,외솔생가 및 기념관,2018,5,3953,0
중구,외솔생가 및 기념관,2018,6,4424,0
중구,외솔생가 및 기념관,2018,7,2287,0
중구,외솔생가 및 기념관,2018,8,8385,0
중구,외솔생가 및 기념관,2018,9,3051,0
중구,외솔생가 및 기념관,2018,10,12127,0
중구,외솔생가 및 기념관,2018,11,400,0
중구,외솔생가 및 기념관,2018,12,1407,0
중구,외솔생가 및 기념관,2019,1,2228,0
중구,외솔생가 및 기념관,2019,2,3192,0
중구,외솔생가 및 기념관,2019,3,4403,0
중구,외솔생가 및 기념관,2019,4,3545,0
중구,외솔생가 및 기념관,2019,5,4259,0
중구,외솔생가 및 기념관,2019,6,5277,0
중구,외솔생가 및 기념관,2019,7,2678,0
중구,외솔생가 및 기념관,2019,8,3194,0
중구,외솔생가 및 기념관,2019,9,4208,0
중구,외솔생가 및 기념관,2019,10,11857,0
중구,외솔생가 및 기념관,2019,11,3685,0
중구,외솔생가 및 기념관,2019,12,2392,0
중구,외솔생가 및 기념관,2020,1,2098,0
중구,외솔생가 및 기념관,2020,2,1351,0
중구,외솔생가 및 기념관,2020,3,6654,0
중구,외솔생가 및 기념관,2020,4,732,0
중구,외솔생가 및 기념관,2020,5,5411,0
중구,외솔생가 및 기념관,2020,6,1793,0
중구,울산 동헌 및 내아,2015,1,0,0
중구,울산 동헌 및 내아,2015,2,0,0
중구,울산 동헌 및 내아,2015,3,0,0
중구,울산 동헌 및 내아,2015,4,0,0
중구,울산 동헌 및 내아,2015,5,0,0
중구,울산 동헌 및 내아,2015,6,0,0
중구,울산 동헌 및 내아,2015,7,0,0
중구,울산 동헌 및 내아,2015,8,0,0
중구,울산 동헌 및 내아,2015,9,0,0
