,Gungu,Name,Year,Month,Korean,Foreigner
0,목포시,1987 영화촬영지,2016,1,0,0
1,목포시,1987 영화촬영지,2016,2,0,0
2,목포시,1987 영화촬영지,2016,3,0,0
3,목포시,1987 영화촬영지,2016,4,0,0
4,목포시,1987 영화촬영지,2016,5,0,0
5,목포시,1987 영화촬영지,2016,6,0,0
6,목포시,1987 영화촬영지,2016,7,0,0
7,목포시,1987 영화촬영지,2016,8,0,0
8,목포시,1987 영화촬영지,2016,9,0,0
9,목포시,1987 영화촬영지,2016,10,0,0
10,목포시,1987 영화촬영지,2016,11,0,0
11,목포시,1987 영화촬영지,2016,12,0,0
12,목포시,1987 영화촬영지,2017,1,0,0
13,목포시,1987 영화촬영지,2017,2,0,0
14,목포시,1987 영화촬영지,2017,3,0,0
15,목포시,1987 영화촬영지,2017,4,0,0
16,목포시,1987 영화촬영지,2017,5,0,0
17,목포시,1987 영화촬영지,2017,6,0,0
18,목포시,1987 영화촬영지,2017,7,0,0
19,목포시,1987 영화촬영지,2017,8,0,0
20,목포시,1987 영화촬영지,2017,9,0,0
21,목포시,1987 영화촬영지,2017,10,0,0
22,목포시,1987 영화촬영지,2017,11,0,0
23,목포시,1987 영화촬영지,2017,12,0,0
24,목포시,1987 영화촬영지,2018,1,0,0
25,목포시,1987 영화촬영지,2018,2,0,0
26,목포시,1987 영화촬영지,2018,3,0,0
27,목포시,1987 영화촬영지,2018,4,0,0
28,목포시,1987 영화촬영지,2018,5,0,0
29,목포시,1987 영화촬영지,2018,6,0,0
30,목포시,1987 영화촬영지,2018,7,0,0
31,목포시,1987 영화촬영지,2018,8,0,0
32,목포시,1987 영화촬영지,2018,9,0,0
33,목포시,1987 영화촬영지,2018,10,0,0
34,목포시,1987 영화촬영지,2018,11,0,0
35,목포시,1987 영화촬영지,2018,12,0,0
36,목포시,1987 영화촬영지,2019,1,"16,769",0
37,목포시,1987 영화촬영지,2019,2,"22,935",0
38,목포시,1987 영화촬영지,2019,3,"16,704",0
39,목포시,1987 영화촬영지,2019,4,"13,683",0
40,목포시,1987 영화촬영지,2019,5,"20,657",0
41,목포시,1987 영화촬영지,2019,6,"13,301",0
42,목포시,1987 영화촬영지,2019,7,"14,653",0
43,목포시,1987 영화촬영지,2019,8,"22,654",0
44,목포시,1987 영화촬영지,2019,9,"14,739",0
45,목포시,1987 영화촬영지,2019,10,"47,213",0
46,목포시,1987 영화촬영지,2019,11,"36,316",0
47,목포시,1987 영화촬영지,2019,12,"26,303",0
48,목포시,가톨릭 목포 성지,2016,1,0,0
49,목포시,가톨릭 목포 성지,2016,2,0,0
50,목포시,가톨릭 목포 성지,2016,3,0,0
51,목포시,가톨릭 목포 성지,2016,4,0,0
52,목포시,가톨릭 목포 성지,2016,5,0,0
53,목포시,가톨릭 목포 성지,2016,6,0,0
54,목포시,가톨릭 목포 성지,2016,7,0,0
55,목포시,가톨릭 목포 성지,2016,8,0,0
56,목포시,가톨릭 목포 성지,2016,9,0,0
57,목포시,가톨릭 목포 성지,2016,10,0,0
58,목포시,가톨릭 목포 성지,2016,11,0,0
59,목포시,가톨릭 목포 성지,2016,12,0,0
60,목포시,가톨릭 목포 성지,2017,1,0,0
61,목포시,가톨릭 목포 성지,2017,2,0,0
62,목포시,가톨릭 목포 성지,2017,3,0,0
63,목포시,가톨릭 목포 성지,2017,4,0,0
64,목포시,가톨릭 목포 성지,2017,5,0,0
65,목포시,가톨릭 목포 성지,2017,6,0,0
