,Gungu,Name,Year,Month,Korean,Foreigner
0,전주시,경기전,2015,1,"118,674","2,113"
1,전주시,경기전,2015,2,"106,637","2,061"
2,전주시,경기전,2015,3,"79,663","1,215"
3,전주시,경기전,2015,4,"98,085","1,958"
4,전주시,경기전,2015,5,"190,347","4,236"
5,전주시,경기전,2015,6,"31,585",632
6,전주시,경기전,2015,7,"77,560","1,551"
7,전주시,경기전,2015,8,"118,728","2,374"
8,전주시,경기전,2015,9,"67,076","1,368"
9,전주시,경기전,2015,10,"134,647","2,750"
10,전주시,경기전,2015,11,"80,926","1,652"
11,전주시,경기전,2015,12,"69,872","1,397"
12,전주시,경기전,2016,1,"78,282","1,957"
13,전주시,경기전,2016,2,"99,772","2,494"
14,전주시,경기전,2016,3,"65,714","1,314"
15,전주시,경기전,2016,4,"101,749","2,544"
16,전주시,경기전,2016,5,"135,636","3,391"
17,전주시,경기전,2016,6,"95,202","2,380"
18,전주시,경기전,2016,7,"77,672","1,991"
19,전주시,경기전,2016,8,"80,225","2,005"
20,전주시,경기전,2016,9,"55,209","1,324"
21,전주시,경기전,2016,10,"119,185","2,432"
22,전주시,경기전,2016,11,"93,213","1,902"
23,전주시,경기전,2016,12,"68,280","1,393"
24,전주시,경기전,2017,1,"74,414","1,518"
25,전주시,경기전,2017,2,"112,309","2,292"
26,전주시,경기전,2017,3,"72,233","2,230"
27,전주시,경기전,2017,4,"112,740","5,459"
28,전주시,경기전,2017,5,"164,296","3,349"
29,전주시,경기전,2017,6,"76,757","2,373"
30,전주시,경기전,2017,7,"64,965","1,325"
31,전주시,경기전,2017,8,"111,550","3,450"
32,전주시,경기전,2017,9,"73,833","1,476"
33,전주시,경기전,2017,10,"164,136","3,350"
34,전주시,경기전,2017,11,"92,098","1,842"
35,전주시,경기전,2017,12,"62,414","1,273"
36,전주시,경기전,2018,1,"58,091","1,185"
37,전주시,경기전,2018,2,"64,259","1,311"
38,전주시,경기전,2018,3,"70,915","1,447"
39,전주시,경기전,2018,4,"94,818","1,935"
40,전주시,경기전,2018,5,"121,732","2,484"
41,전주시,경기전,2018,6,"65,825","1,343"
42,전주시,경기전,2018,7,"44,576",910
43,전주시,경기전,2018,8,"53,550","1,092"
44,전주시,경기전,2018,9,"58,044","1,184"
45,전주시,경기전,2018,10,"106,847","2,180"
46,전주시,경기전,2018,11,"78,330","1,598"
47,전주시,경기전,2018,12,"56,577","1,154"
48,전주시,경기전,2019,1,"50,915","1,039"
49,전주시,경기전,2019,2,"68,888","1,405"
50,전주시,경기전,2019,3,"64,960","1,258"
51,전주시,경기전,2019,4,"72,062","1,185"
52,전주시,경기전,2019,5,"94,218","1,824"
53,전주시,경기전,2019,6,"64,668","1,003"
54,전주시,경기전,2019,7,"44,845",785
55,전주시,경기전,2019,8,"72,231","1,474"
56,전주시,경기전,2019,9,"49,306",983
57,전주시,경기전,2019,10,"100,303","1,252"
58,전주시,경기전,2019,11,"77,371","1,123"
59,전주시,경기전,2019,12,"47,778",651
60,전주시,국립전주박물관,2015,1,"26,035",0
61,전주시,국립전주박물관,2015,2,"26,890",0
62,전주시,국립전주박물관,2015,3,"22,537",0
63,전주시,국립전주박물관,2015,4,"25,874",0
64,전주시,국립전주박물관,2015,5,"48,849",0
65,전주시,국립전주박물관,2015,6,"8,654",0
66,전주시,국립전주박물관,2015,7,"16,106",0
67,전주시,국립전주박물관,2015,8,"17,573",0
68,전주시,국립전주박물관,2015,9,"37,440",0
69,전주시,국립전주박물관,2015,10,"21,439",0
70,전주시,국립전주박물관,2015,11,"14,941",0
71,전주시,국립전주박물관,2015,12,"17,987",0
72,전주시,국립전주박물관,2016,1,"21,915",33
73,전주시,국립전주박물관,2016,2,"32,843",56
74,전주시,국립전주박물관,2016,3,"22,814",70
75,전주시,국립전주박물관,2016,4,"24,039",73
76,전주시,국립전주박물관,2016,5,"42,718",136
77,전주시,국립전주박물관,2016,6,"21,961",62
78,전주시,국립전주박물관,2016,7,"26,009",221
79,전주시,국립전주박물관,2016,8,"26,896",351
80,전주시,국립전주박물관,2016,9,"44,093",178
81,전주시,국립전주박물관,2016,10,"31,911",0
82,전주시,국립전주박물관,2016,11,"22,634",0
83,전주시,국립전주박물관,2016,12,"24,008",0
84,전주시,국립전주박물관,2017,1,"28,931",85
85,전주시,국립전주박물관,2017,2,"29,037",93
86,전주시,국립전주박물관,2017,3,"19,591",212
87,전주시,국립전주박물관,2017,4,"27,994",101
88,전주시,국립전주박물관,2017,5,"57,691",174
89,전주시,국립전주박물관,2017,6,"26,512",99
90,전주시,국립전주박물관,2017,7,"31,157",166
91,전주시,국립전주박물관,2017,8,"45,881",143
92,전주시,국립전주박물관,2017,9,"43,821",132
93,전주시,국립전주박물관,2017,10,"56,830",93
94,전주시,국립전주박물관,2017,11,"23,603",82
95,전주시,국립전주박물관,2017,12,"24,824",65
96,전주시,국립전주박물관,2018,1,"20,805",68
97,전주시,국립전주박물관,2018,2,"34,037",79
98,전주시,국립전주박물관,2018,3,"31,404",85
99,전주시,국립전주박물관,2018,4,"26,619",96
100,전주시,국립전주박물관,2018,5,"62,072",198
101,전주시,국립전주박물관,2018,6,"25,515",139
102,전주시,국립전주박물관,2018,7,"24,150",138
103,전주시,국립전주박물관,2018,8,"37,471",205
104,전주시,국립전주박물관,2018,9,"55,627",152
105,전주시,국립전주박물관,2018,10,"45,815",172
106,전주시,국립전주박물관,2018,11,"34,226",128
107,전주시,국립전주박물관,2018,12,"31,187",152
108,전주시,국립전주박물관,2019,1,"24,899",75
109,전주시,국립전주박물관,2019,2,"49,023",82
110,전주시,국립전주박물관,2019,3,"29,950",128
111,전주시,국립전주박물관,2019,4,"28,680",164
112,전주시,국립전주박물관,2019,5,"66,624",190
113,전주시,국립전주박물관,2019,6,"31,978",115
114,전주시,국립전주박물관,2019,7,"28,972",792
115,전주시,국립전주박물관,2019,8,"40,313",356
116,전주시,국립전주박물관,2019,9,"36,383",140
117,전주시,국립전주박물관,2019,10,"36,590",191
118,전주시,국립전주박물관,2019,11,"31,510",407
119,전주시,국립전주박물관,2019,12,"40,336",70
120,전주시,농촌진흥청 농업과학관,2015,1,0,0
121,전주시,농촌진흥청 농업과학관,2015,2,0,0
122,전주시,농촌진흥청 농업과학관,2015,3,0,0
123,전주시,농촌진흥청 농업과학관,2015,4,0,0
124,전주시,농촌진흥청 농업과학관,2015,5,0,0
125,전주시,농촌진흥청 농업과학관,2015,6,0,0
126,전주시,농촌진흥청 농업과학관,2015,7,0,0
127,전주시,농촌진흥청 농업과학관,2015,8,0,0
128,전주시,농촌진흥청 농업과학관,2015,9,0,0
129,전주시,농촌진흥청 농업과학관,2015,10,0,0
130,전주시,농촌진흥청 농업과학관,2015,11,0,0
131,전주시,농촌진흥청 농업과학관,2015,12,0,0
132,전주시,농촌진흥청 농업과학관,2016,1,0,0
133,전주시,농촌진흥청 농업과학관,2016,2,0,0
134,전주시,농촌진흥청 농업과학관,2016,3,0,0
135,전주시,농촌진흥청 농업과학관,2016,4,0,0
136,전주시,농촌진흥청 농업과학관,2016,5,0,0
137,전주시,농촌진흥청 농업과학관,2016,6,0,0
138,전주시,농촌진흥청 농업과학관,2016,7,0,0
139,전주시,농촌진흥청 농업과학관,2016,8,0,0
140,전주시,농촌진흥청 농업과학관,2016,9,0,0
141,전주시,농촌진흥청 농업과학관,2016,10,0,0
142,전주시,농촌진흥청 농업과학관,2016,11,0,0
143,전주시,농촌진흥청 농업과학관,2016,12,0,0
144,전주시,농촌진흥청 농업과학관,2017,1,0,0
145,전주시,농촌진흥청 농업과학관,2017,2,0,0
146,전주시,농촌진흥청 농업과학관,2017,3,0,0
147,전주시,농촌진흥청 농업과학관,2017,4,0,0
148,전주시,농촌진흥청 농업과학관,2017,5,0,0
149,전주시,농촌진흥청 농업과학관,2017,6,0,0
150,전주시,농촌진흥청 농업과학관,2017,7,0,0
151,전주시,농촌진흥청 농업과학관,2017,8,0,0
152,전주시,농촌진흥청 농업과학관,2017,9,0,0
153,전주시,농촌진흥청 농업과학관,2017,10,0,0
154,전주시,농촌진흥청 농업과학관,2017,11,0,0
155,전주시,농촌진흥청 농업과학관,2017,12,0,0
156,전주시,농촌진흥청 농업과학관,2018,1,0,0
157,전주시,농촌진흥청 농업과학관,2018,2,0,0
158,전주시,농촌진흥청 농업과학관,2018,3,0,0
159,전주시,농촌진흥청 농업과학관,2018,4,0,0
160,전주시,농촌진흥청 농업과학관,2018,5,0,0
161,전주시,농촌진흥청 농업과학관,2018,6,0,0
162,전주시,농촌진흥청 농업과학관,2018,7,0,0
163,전주시,농촌진흥청 농업과학관,2018,8,0,0
164,전주시,농촌진흥청 농업과학관,2018,9,0,0
165,전주시,농촌진흥청 농업과학관,2018,10,0,0
166,전주시,농촌진흥청 농업과학관,2018,11,0,0
167,전주시,농촌진흥청 농업과학관,2018,12,0,0
168,전주시,농촌진흥청 농업과학관,2019,1,"5,004",0
169,전주시,농촌진흥청 농업과학관,2019,2,"4,607",0
170,전주시,농촌진흥청 농업과학관,2019,3,"6,069",0
171,전주시,농촌진흥청 농업과학관,2019,4,"6,188",0
172,전주시,농촌진흥청 농업과학관,2019,5,"7,051",0
173,전주시,농촌진흥청 농업과학관,2019,6,"6,119",0
174,전주시,농촌진흥청 농업과학관,2019,7,"6,084",0
175,전주시,농촌진흥청 농업과학관,2019,8,"6,797",0
176,전주시,농촌진흥청 농업과학관,2019,9,"4,190",0
177,전주시,농촌진흥청 농업과학관,2019,10,"6,348",0
178,전주시,농촌진흥청 농업과학관,2019,11,"7,338",0
179,전주시,농촌진흥청 농업과학관,2019,12,"5,163",0
180,전주시,덕진공원,2015,1,0,0
181,전주시,덕진공원,2015,2,0,0
182,전주시,덕진공원,2015,3,0,0
183,전주시,덕진공원,2015,4,0,0
184,전주시,덕진공원,2015,5,0,0
185,전주시,덕진공원,2015,6,0,0
186,전주시,덕진공원,2015,7,0,0
187,전주시,덕진공원,2015,8,0,0
188,전주시,덕진공원,2015,9,0,0
189,전주시,덕진공원,2015,10,0,0
190,전주시,덕진공원,2015,11,0,0
191,전주시,덕진공원,2015,12,0,0
192,전주시,덕진공원,2016,1,0,0
193,전주시,덕진공원,2016,2,0,0
194,전주시,덕진공원,2016,3,0,0
195,전주시,덕진공원,2016,4,0,0
196,전주시,덕진공원,2016,5,0,0
197,전주시,덕진공원,2016,6,0,0
198,전주시,덕진공원,2016,7,0,0
199,전주시,덕진공원,2016,8,0,0
200,전주시,덕진공원,2016,9,0,0
201,전주시,덕진공원,2016,10,0,0
202,전주시,덕진공원,2016,11,0,0
203,전주시,덕진공원,2016,12,0,0
204,전주시,덕진공원,2017,1,0,0
205,전주시,덕진공원,2017,2,0,0
206,전주시,덕진공원,2017,3,0,0
207,전주시,덕진공원,2017,4,0,0
208,전주시,덕진공원,2017,5,0,0
209,전주시,덕진공원,2017,6,0,0
210,전주시,덕진공원,2017,7,0,0
211,전주시,덕진공원,2017,8,0,0
212,전주시,덕진공원,2017,9,0,0
213,전주시,덕진공원,2017,10,0,0
214,전주시,덕진공원,2017,11,0,0
215,전주시,덕진공원,2017,12,0,0
216,전주시,덕진공원,2018,1,0,0
217,전주시,덕진공원,2018,2,0,0
218,전주시,덕진공원,2018,3,0,0
219,전주시,덕진공원,2018,4,0,0
220,전주시,덕진공원,2018,5,0,0
221,전주시,덕진공원,2018,6,0,0
222,전주시,덕진공원,2018,7,0,0
223,전주시,덕진공원,2018,8,0,0
224,전주시,덕진공원,2018,9,0,0
225,전주시,덕진공원,2018,10,0,0
226,전주시,덕진공원,2018,11,0,0
227,전주시,덕진공원,2018,12,0,0
228,전주시,덕진공원,2019,1,0,0
