,Gungu,Name,Year,Month,Korean,Foreigner
0,제주시,(주)제주미니미니랜드,2015,1,0,0
1,제주시,(주)제주미니미니랜드,2015,2,0,0
2,제주시,(주)제주미니미니랜드,2015,3,0,0
3,제주시,(주)제주미니미니랜드,2015,4,0,0
4,제주시,(주)제주미니미니랜드,2015,5,0,0
5,제주시,(주)제주미니미니랜드,2015,6,0,0
6,제주시,(주)제주미니미니랜드,2015,7,0,0
7,제주시,(주)제주미니미니랜드,2015,8,0,0
8,제주시,(주)제주미니미니랜드,2015,9,0,0
9,제주시,(주)제주미니미니랜드,2015,10,0,0
10,제주시,(주)제주미니미니랜드,2015,11,0,0
11,제주시,(주)제주미니미니랜드,2015,12,0,0
12,제주시,(주)제주미니미니랜드,2016,1,0,0
13,제주시,(주)제주미니미니랜드,2016,2,0,0
14,제주시,(주)제주미니미니랜드,2016,3,0,0
15,제주시,(주)제주미니미니랜드,2016,4,0,0
16,제주시,(주)제주미니미니랜드,2016,5,0,0
17,제주시,(주)제주미니미니랜드,2016,6,0,0
18,제주시,(주)제주미니미니랜드,2016,7,0,0
19,제주시,(주)제주미니미니랜드,2016,8,0,0
20,제주시,(주)제주미니미니랜드,2016,9,0,0
21,제주시,(주)제주미니미니랜드,2016,10,0,0
22,제주시,(주)제주미니미니랜드,2016,11,0,0
23,제주시,(주)제주미니미니랜드,2016,12,0,0
24,제주시,(주)제주미니미니랜드,2017,1,0,0
25,제주시,(주)제주미니미니랜드,2017,2,0,0
26,제주시,(주)제주미니미니랜드,2017,3,0,0
27,제주시,(주)제주미니미니랜드,2017,4,0,0
28,제주시,(주)제주미니미니랜드,2017,5,0,0
29,제주시,(주)제주미니미니랜드,2017,6,0,0
30,제주시,(주)제주미니미니랜드,2017,7,0,0
31,제주시,(주)제주미니미니랜드,2017,8,0,0
32,제주시,(주)제주미니미니랜드,2017,9,0,0
33,제주시,(주)제주미니미니랜드,2017,10,0,0
34,제주시,(주)제주미니미니랜드,2017,11,0,0
35,제주시,(주)제주미니미니랜드,2017,12,0,0
36,제주시,(주)제주미니미니랜드,2018,1,0,0
37,제주시,(주)제주미니미니랜드,2018,2,0,0
38,제주시,(주)제주미니미니랜드,2018,3,0,0
39,제주시,(주)제주미니미니랜드,2018,4,0,0
40,제주시,(주)제주미니미니랜드,2018,5,0,0
41,제주시,(주)제주미니미니랜드,2018,6,0,0
42,제주시,(주)제주미니미니랜드,2018,7,0,0
43,제주시,(주)제주미니미니랜드,2018,8,0,0
44,제주시,(주)제주미니미니랜드,2018,9,0,0
45,제주시,(주)제주미니미니랜드,2018,10,0,0
46,제주시,(주)제주미니미니랜드,2018,11,0,0
47,제주시,(주)제주미니미니랜드,2018,12,0,0
48,제주시,(주)제주미니미니랜드,2019,1,0,0
49,제주시,(주)제주미니미니랜드,2019,2,0,0
50,제주시,(주)제주미니미니랜드,2019,3,0,0
51,제주시,(주)제주미니미니랜드,2019,4,0,0
52,제주시,(주)제주미니미니랜드,2019,5,0,0
53,제주시,(주)제주미니미니랜드,2019,6,0,0
54,제주시,(주)제주미니미니랜드,2019,7,0,0
55,제주시,(주)제주미니미니랜드,2019,8,0,0
56,제주시,(주)제주미니미니랜드,2019,9,0,0
57,제주시,(주)제주미니미니랜드,2019,10,0,0
58,제주시,(주)제주미니미니랜드,2019,11,0,0
59,제주시,(주)제주미니미니랜드,2019,12,0,0
60,제주시,국립제주박물관,2015,1,"35,260",279
61,제주시,국립제주박물관,2015,2,"30,870",466
62,제주시,국립제주박물관,2015,3,"21,959",491
63,제주시,국립제주박물관,2015,4,"32,732",609
64,제주시,국립제주박물관,2015,5,"36,713",811
65,제주시,국립제주박물관,2015,6,"19,769",945
66,제주시,국립제주박물관,2015,7,"25,197",227
67,제주시,국립제주박물관,2015,8,"40,955","1,004"
68,제주시,국립제주박물관,2015,9,"43,879","5,381"
69,제주시,국립제주박물관,2015,10,"26,612","1,655"
70,제주시,국립제주박물관,2015,11,"18,369",678
71,제주시,국립제주박물관,2015,12,"17,261","1,026"
72,제주시,국립제주박물관,2016,1,"20,275","1,765"
73,제주시,국립제주박물관,2016,2,"15,964","2,544"
74,제주시,국립제주박물관,2016,3,"19,234","1,446"
75,제주시,국립제주박물관,2016,4,"38,780","4,947"
76,제주시,국립제주박물관,2016,5,"43,177","5,113"
77,제주시,국립제주박물관,2016,6,"17,031","2,658"
78,제주시,국립제주박물관,2016,7,"20,248","2,647"
79,제주시,국립제주박물관,2016,8,"24,473","2,157"
80,제주시,국립제주박물관,2016,9,"23,098","2,940"
81,제주시,국립제주박물관,2016,10,"22,783",514
82,제주시,국립제주박물관,2016,11,"14,624","4,072"
83,제주시,국립제주박물관,2016,12,"13,976","2,003"
84,제주시,국립제주박물관,2017,1,"12,569","4,668"
85,제주시,국립제주박물관,2017,2,"8,900","1,879"
86,제주시,국립제주박물관,2017,3,"14,689","1,462"
87,제주시,국립제주박물관,2017,4,"13,967",303
88,제주시,국립제주박물관,2017,5,"20,177",344
89,제주시,국립제주박물관,2017,6,"14,000",126
90,제주시,국립제주박물관,2017,7,"13,368",175
91,제주시,국립제주박물관,2017,8,"24,986",224
92,제주시,국립제주박물관,2017,9,"22,307",152
93,제주시,국립제주박물관,2017,10,"27,599",135
