,Gungu,Name,Year,Month,Korean,Foreigner
0,천안시,각원사,2015,1,0,0
1,천안시,각원사,2015,2,0,0
2,천안시,각원사,2015,3,0,0
3,천안시,각원사,2015,4,0,0
4,천안시,각원사,2015,5,0,0
5,천안시,각원사,2015,6,0,0
6,천안시,각원사,2015,7,0,0
7,천안시,각원사,2015,8,0,0
8,천안시,각원사,2015,9,0,0
9,천안시,각원사,2015,10,0,0
10,천안시,각원사,2015,11,0,0
11,천안시,각원사,2015,12,0,0
12,천안시,각원사,2016,1,0,0
13,천안시,각원사,2016,2,0,0
14,천안시,각원사,2016,3,0,0
15,천안시,각원사,2016,4,0,0
16,천안시,각원사,2016,5,0,0
17,천안시,각원사,2016,6,0,0
18,천안시,각원사,2016,7,0,0
19,천안시,각원사,2016,8,0,0
20,천안시,각원사,2016,9,0,0
21,천안시,각원사,2016,10,0,0
22,천안시,각원사,2016,11,0,0
23,천안시,각원사,2016,12,0,0
24,천안시,각원사,2017,1,0,0
25,천안시,각원사,2017,2,0,0
26,천안시,각원사,2017,3,0,0
27,천안시,각원사,2017,4,0,0
28,천안시,각원사,2017,5,0,0
29,천안시,각원사,2017,6,0,0
30,천안시,각원사,2017,7,0,0
31,천안시,각원사,2017,8,0,0
32,천안시,각원사,2017,9,0,0
33,천안시,각원사,2017,10,0,0
34,천안시,각원사,2017,11,0,0
35,천안시,각원사,2017,12,0,0
36,천안시,각원사,2018,1,"5,659",0
37,천안시,각원사,2018,2,"5,596",0
38,천안시,각원사,2018,3,"4,502",0
39,천안시,각원사,2018,4,"1,913",0
40,천안시,각원사,2018,5,"13,150",0
41,천안시,각원사,2018,6,"7,956",0
42,천안시,각원사,2018,7,"5,324",0
43,천안시,각원사,2018,8,"6,171",0
44,천안시,각원사,2018,9,"11,597",0
45,천안시,각원사,2018,10,"15,720",0
46,천안시,각원사,2018,11,"17,320",0
47,천안시,각원사,2018,12,"14,750",0
48,천안시,각원사,2019,1,"7,393",0
49,천안시,각원사,2019,2,"7,277",0
50,천안시,각원사,2019,3,"8,226",0
51,천안시,각원사,2019,4,"17,941",0
52,천안시,각원사,2019,5,"14,322",0
53,천안시,각원사,2019,6,"8,724",0
54,천안시,각원사,2019,7,"5,969",0
55,천안시,각원사,2019,8,"6,510",0
56,천안시,각원사,2019,9,"6,333",0
57,천안시,각원사,2019,10,"9,607",0
58,천안시,각원사,2019,11,"7,501",0
59,천안시,각원사,2019,12,"5,456",0
60,천안시,골드힐카운티,2015,1,0,0
61,천안시,골드힐카운티,2015,2,0,0
62,천안시,골드힐카운티,2015,3,0,0
63,천안시,골드힐카운티,2015,4,0,0
64,천안시,골드힐카운티,2015,5,0,0
65,천안시,골드힐카운티,2015,6,0,0
66,천안시,골드힐카운티,2015,7,0,0
67,천안시,골드힐카운티,2015,8,0,0
68,천안시,골드힐카운티,2015,9,0,0
69,천안시,골드힐카운티,2015,10,0,0
70,천안시,골드힐카운티,2015,11,0,0
71,천안시,골드힐카운티,2015,12,0,0
72,천안시,골드힐카운티,2016,1,0,0
73,천안시,골드힐카운티,2016,2,0,0
74,천안시,골드힐카운티,2016,3,0,0
75,천안시,골드힐카운티,2016,4,0,0
76,천안시,골드힐카운티,2016,5,0,0
77,천안시,골드힐카운티,2016,6,0,0
78,천안시,골드힐카운티,2016,7,0,0
79,천안시,골드힐카운티,2016,8,0,0
80,천안시,골드힐카운티,2016,9,0,0
81,천안시,골드힐카운티,2016,10,0,0
82,천안시,골드힐카운티,2016,11,0,0
83,천안시,골드힐카운티,2016,12,0,0
84,천안시,골드힐카운티,2017,1,0,0
85,천안시,골드힐카운티,2017,2,0,0
86,천안시,골드힐카운티,2017,3,0,0
87,천안시,골드힐카운티,2017,4,0,0
88,천안시,골드힐카운티,2017,5,0,0
89,천안시,골드힐카운티,2017,6,0,0
90,천안시,골드힐카운티,2017,7,0,0
91,천안시,골드힐카운티,2017,8,0,0
92,천안시,골드힐카운티,2017,9,0,0
93,천안시,골드힐카운티,2017,10,0,0
94,천안시,골드힐카운티,2017,11,0,0
95,천안시,골드힐카운티,2017,12,0,0
96,천안시,골드힐카운티,2018,1,0,0
97,천안시,골드힐카운티,2018,2,0,0
98,천안시,골드힐카운티,2018,3,0,0
99,천안시,골드힐카운티,2018,4,0,0
100,천안시,골드힐카운티,2018,5,0,0
101,천안시,골드힐카운티,2018,6,0,0
102,천안시,골드힐카운티,2018,7,0,0
103,천안시,골드힐카운티,2018,8,0,0
104,천안시,골드힐카운티,2018,9,0,0
105,천안시,골드힐카운티,2018,10,0,0
106,천안시,골드힐카운티,2018,11,0,0
107,천안시,골드힐카운티,2018,12,0,0
108,천안시,골드힐카운티,2019,1,0,0
109,천안시,골드힐카운티,2019,2,0,0
110,천안시,골드힐카운티,2019,3,0,0
111,천안시,골드힐카운티,2019,4,0,0
112,천안시,골드힐카운티,2019,5,0,0
113,천안시,골드힐카운티,2019,6,0,0
114,천안시,골드힐카운티,2019,7,0,0
115,천안시,골드힐카운티,2019,8,0,0
116,천안시,골드힐카운티,2019,9,0,0
117,천안시,골드힐카운티,2019,10,0,0
118,천안시,골드힐카운티,2019,11,0,0
119,천안시,골드힐카운티,2019,12,0,0
120,천안시,광덕사,2015,1,0,0
121,천안시,광덕사,2015,2,0,0
122,천안시,광덕사,2015,3,0,0
123,천안시,광덕사,2015,4,0,0
124,천안시,광덕사,2015,5,0,0
125,천안시,광덕사,2015,6,0,0
126,천안시,광덕사,2015,7,0,0
127,천안시,광덕사,2015,8,0,0
128,천안시,광덕사,2015,9,0,0
129,천안시,광덕사,2015,10,0,0
130,천안시,광덕사,2015,11,0,0
131,천안시,광덕사,2015,12,0,0
132,천안시,광덕사,2016,1,0,0
133,천안시,광덕사,2016,2,0,0
134,천안시,광덕사,2016,3,0,0
135,천안시,광덕사,2016,4,0,0
136,천안시,광덕사,2016,5,0,0
137,천안시,광덕사,2016,6,0,0
138,천안시,광덕사,2016,7,0,0
139,천안시,광덕사,2016,8,0,0
140,천안시,광덕사,2016,9,0,0
141,천안시,광덕사,2016,10,0,0
142,천안시,광덕사,2016,11,0,0
143,천안시,광덕사,2016,12,0,0
144,천안시,광덕사,2017,1,0,0
145,천안시,광덕사,2017,2,0,0
146,천안시,광덕사,2017,3,0,0
147,천안시,광덕사,2017,4,0,0
148,천안시,광덕사,2017,5,0,0
149,천안시,광덕사,2017,6,0,0
150,천안시,광덕사,2017,7,0,0
151,천안시,광덕사,2017,8,0,0
152,천안시,광덕사,2017,9,0,0
153,천안시,광덕사,2017,10,0,0
154,천안시,광덕사,2017,11,0,0
155,천안시,광덕사,2017,12,0,0
156,천안시,광덕사,2018,1,0,0
157,천안시,광덕사,2018,2,0,0
158,천안시,광덕사,2018,3,0,0
159,천안시,광덕사,2018,4,0,0
160,천안시,광덕사,2018,5,0,0
161,천안시,광덕사,2018,6,0,0
162,천안시,광덕사,2018,7,0,0
163,천안시,광덕사,2018,8,0,0
164,천안시,광덕사,2018,9,0,0
165,천안시,광덕사,2018,10,0,0
166,천안시,광덕사,2018,11,0,0
167,천안시,광덕사,2018,12,0,0
168,천안시,광덕사,2019,1,0,0
169,천안시,광덕사,2019,2,0,0
170,천안시,광덕사,2019,3,0,0
171,천안시,광덕사,2019,4,0,0
172,천안시,광덕사,2019,5,0,0
173,천안시,광덕사,2019,6,0,0
174,천안시,광덕사,2019,7,0,0
175,천안시,광덕사,2019,8,0,0
176,천안시,광덕사,2019,9,0,0
177,천안시,광덕사,2019,10,0,0
178,천안시,광덕사,2019,11,0,0
179,천안시,광덕사,2019,12,0,0
180,천안시,광덕산,2015,1,0,0
181,천안시,광덕산,2015,2,0,0
182,천안시,광덕산,2015,3,0,0
183,천안시,광덕산,2015,4,0,0
184,천안시,광덕산,2015,5,0,0
185,천안시,광덕산,2015,6,0,0
186,천안시,광덕산,2015,7,0,0
187,천안시,광덕산,2015,8,0,0
188,천안시,광덕산,2015,9,0,0
189,천안시,광덕산,2015,10,0,0
190,천안시,광덕산,2015,11,0,0
191,천안시,광덕산,2015,12,0,0
192,천안시,광덕산,2016,1,0,0
193,천안시,광덕산,2016,2,0,0
194,천안시,광덕산,2016,3,0,0
195,천안시,광덕산,2016,4,0,0
196,천안시,광덕산,2016,5,0,0
197,천안시,광덕산,2016,6,0,0
198,천안시,광덕산,2016,7,0,0
199,천안시,광덕산,2016,8,0,0
200,천안시,광덕산,2016,9,0,0
201,천안시,광덕산,2016,10,0,0
202,천안시,광덕산,2016,11,0,0
203,천안시,광덕산,2016,12,0,0
204,천안시,광덕산,2017,1,0,0
205,천안시,광덕산,2017,2,0,0
