,Gungu,Name,Year,Month,Korean,Foreigner
0,청주시,국립청주박물관,2015,1,"19,119",752
1,청주시,국립청주박물관,2015,2,"19,710",905
2,청주시,국립청주박물관,2015,3,"13,126",939
3,청주시,국립청주박물관,2015,4,"21,054","1,832"
4,청주시,국립청주박물관,2015,5,"63,975","2,362"
5,청주시,국립청주박물관,2015,6,"9,277",636
6,청주시,국립청주박물관,2015,7,"12,477",76
7,청주시,국립청주박물관,2015,8,"24,431",48
8,청주시,국립청주박물관,2015,9,"29,574",102
9,청주시,국립청주박물관,2015,10,"25,219",180
10,청주시,국립청주박물관,2015,11,"20,160",74
11,청주시,국립청주박물관,2015,12,"22,401",30
12,청주시,국립청주박물관,2016,1,"25,546",14
13,청주시,국립청주박물관,2016,2,"31,095",16
14,청주시,국립청주박물관,2016,3,"21,014",22
15,청주시,국립청주박물관,2016,4,"29,333",58
16,청주시,국립청주박물관,2016,5,"91,700",145
17,청주시,국립청주박물관,2016,6,"20,865",41
18,청주시,국립청주박물관,2016,7,"24,186",107
19,청주시,국립청주박물관,2016,8,"27,816",145
20,청주시,국립청주박물관,2016,9,"17,983",127
21,청주시,국립청주박물관,2016,10,"19,831",63
22,청주시,국립청주박물관,2016,11,"16,139",28
23,청주시,국립청주박물관,2016,12,"17,292",36
24,청주시,국립청주박물관,2017,1,"10,727",30
25,청주시,국립청주박물관,2017,2,"12,915",265
26,청주시,국립청주박물관,2017,3,"13,735",18
27,청주시,국립청주박물관,2017,4,"39,105",68
28,청주시,국립청주박물관,2017,5,"135,908",28
29,청주시,국립청주박물관,2017,6,"28,099",24
30,청주시,국립청주박물관,2017,7,"34,155",32
31,청주시,국립청주박물관,2017,8,"43,122",67
32,청주시,국립청주박물관,2017,9,"37,117",83
33,청주시,국립청주박물관,2017,10,"23,978",115
34,청주시,국립청주박물관,2017,11,"14,685",107
35,청주시,국립청주박물관,2017,12,"15,210",45
36,청주시,국립청주박물관,2018,1,"17,426",17
37,청주시,국립청주박물관,2018,2,"24,558",122
