,Name,Score,Description
0,괌 스타샌드 정글어드벤쳐,4.3,-
1,이나라잔 천연 수영장,4.1,-
2,피시아이 마린파크,4.1,-
3,Guam Vereran's Memorial-Umatac,4.5,-
4,파세오 공원,4.1,-
5,아가냐 해변,3.3,-
6,Guam Adventures,4.6,-
7,이파오해변,4.4,-
8,언더워터월드,4.1,"1999년에 개장한 이 대형 터널형 수족관에는 상어, 바다 거북, 가오리, 뱀장어 등이 있습니다."
9,건 해변,3.5,-
10,탈리팍다리,3.6,-
11,괌 박물관,4.3,-
12,아틀란티스 괌 잠수정관광,4.1,-
13,메리조 공원,4.2,-
14,솔레다드 요새,4.2,-
15,게프 파고,4.1,-
16,산타 아규에다 요새,4.0,-
17,이판 해변,4.2,-
18,Guam Adventures,4.2,-
19,Pagat Point,4.6,-
20,라떼스톤 기념공원,4.0,차모로 활동가인 엔젤 레온 게레로의 동상과 8개의 석조 기둥이 있는 기념 공원입니다.
21,아산 만 전망대,4.5,-
22,BIG Sunset Dinner Cruise Guam,3.5,-
23,Ritidian Point,4.5,괌 국립 야생동물 보호 구역에는 백사장과 인근 산책로가 있으며 바다 전경을 즐길 수 있습니다.
24,밸리 오브 더 래트 어드밴츄어 공원,4.6,-
25,파고만 전망대,3.9,-
26,탕기슨 해변,3.9,-
27,괌 국립 야생동물보호지역,4.5,"산책로, 백사장 해변, 동굴, 문화 유적지 투어 프로그램이 있는 해변 지역입니다."
28,MERIZO BELL TOWER,4.2,-
29,스페인광장,4.0,-
30,세티 베이 오버룩,4.2,-
31,아가나대성당,4.2,신성한 17세기의 동상과 스테인드글라스 창으로 유명한 웅장하고 장엄한 대성당입니다.
32,타자 워터 파크,3.9,-
33,마르보 동굴,4.3,-
34,Skydive Guam,4.6,-
35,니미츠 비치 공원,3.9,-
36,SandCastle Guam,4.3,-
37,셀라 만 전망대,3.8,-
38,차모르 야시장,3.8,-
39,Crystal Chapel,4.4,-
40,사랑의 절벽,4.2,-
41,Sky Guam Aviation,4.4,-
42,가다오스 동굴,4.4,-
43,Korean Air Flight 801 Crash monument,4.6,-
44,Southern Mountains Lookout,4.5,-
45,초콜릿 하우스,5.0,-
46,Oka Point,4.2,-
47,Adventure River Cruise,4.5,-
48,T갤러리아,4.0,-
49,마르보 절벽,4.4,-
50,괌 정부 종합 청사,4.3,-
51,한국투어서비스 (HTS),3.4,-
52,Emerald Valley 에메랄드벨리,4.2,-
53,HKT(한국투어)렌트카,4.5,-
54,Nissan Rent-A-Car,3.0,-
55,안토니오 B. 원 팻 국제공항,3.6,-
56,안토니오 B. 원 팻 국제공항,3.5,-
