,Name,Score,Description
0,V&A 워터프런트,4.6,"역사 깊은 항구로 주택, 기업, 레스토랑, 상점, 미술관 등이 들어서 있는 거대한 복합 단지입니다."
1,볼더스 비치,4.6,"모래사장과 산책로가 있는 한적한 공공 해변 지역으로, 아프리카 펭귄의 서식지로도 유명합니다."
2,케이프 오브 굿 호프,4.7,케이프 반도의 끝에 위치한 곶으로 야생동물 보호 구역의 일부이며 피크닉 장소와 산책로가 있습니다.
3,커스텐보쉬 식물원,4.8,"희귀한 식물 종과 산책로가 있으며, 언덕 위의 정원에서 산의 전망을 즐길 수 있는 자연 보호 구역입니다."
4,IZIKO BO-KAAP MUSEUM,4.3,19세기 무슬림의 라이프스타일과 문화적 기여를 집중적으로 다루는 전시입니다.
5,캐슬 오브 굿 호프,4.2,드넓은 17세기 식민지 시대 성에 군사 및 역사 미술관이 자리합니다.
6,The Cape Wheel,4.4,-
7,Zeitz Museum of Contemporary Art Africa,4.5,-
8,세인트 조지 대성당,4.5,-
9,월드 오브 버즈 와일드라이프 상투아리 & 몽키 공원,4.4,-
10,케이프타운 경기장,4.5,-
11,Heart of Cape Town Museum,4.7,-
12,메이나드빌 공원,4.2,-
13,Cape Town Ostrich Ranch,4.3,-
14,GrandWest 카지노 앤드 엔터테인먼트 월드,4.2,-
15,Oranjezicht City Farm Market,4.6,-
16,테이블 마운틴 국립공원,4.7,"상징적인 산, 펭귄 서식지, 숲, 해변, 산책로가 있는 자연 보호 구역입니다."
17,로열 케이프 골프 클럽,4.3,-
18,Přírodní rezervace Kogelberg,4.6,-
19,남아공찰리하우스...케이프타운의 또 하나 가족입니다,-,-
20,Nova Constantia,4.7,-
21,Wild Olive Guest House,4.6,-
22,원 앤드 온리 케이프 타운,4.7,-
23,케이프타운 국제공항,4.2,-
24,더 올드 비스킷 밀,4.4,-
25,케이프탐나(Capetamna),5.0,-
26,Table Mountain Aerial Cableway,4.6,-
27,호스 어바웃 트레일스,4.8,-
28,National Library of South Africa Cape Town Campus,4.2,-
