,Name,Score,Description
0,Island Way Villa,4.3,-
1,Singa Lodge - Lion Roars Hotels & Lodges,4.4,-
2,Kragga Kamma Game Park,4.5,-
3,Route 67,3.6,-
4,Horse Memorial,4.0,-
5,"DONKIN RESERVE, PYRAMID AND LIGHTHOUSE",4.2,-
6,South End Museum,4.2,-
7,Schotia Safaris Private Game Reserve,4.8,-
8,Kwantu Private Game Reserve,4.7,-
9,Island Vibe Port Elizabeth,4.2,-
10,Town Lodge Port Elizabeth,4.2,-
11,Road Lodge Port Elizabeth Airport,3.9,-
12,Road Lodge Port Elizabeth,3.9,-
13,SUN1 Port Elizabeth,4.0,-
14,Storms River bridge,4.4,-
