,Name,Score,Description
0,유니온 빌딩스 가든스,4.4,-
1,Union Buildings,4.4,-
2,Voortrekker Monument,4.5,-
3,내셔널 줄라지컬 가든스 오브 남아프리카 공화국,4.2,-
4,Groenkloof Nature Reserve,4.2,-
5,Pretoria National Botanical Gardens,4.4,-
6,넬슨 만델라 동상,4.6,-
7,Rietvlei Nature Reserve,4.4,-
8,얀 실러즈 공원,4.4,-
9,오스틴 로버츠 버드 보호구역,4.2,-
10,The Javett Art Centre at the University of Pretoria,4.8,-
11,Pretoria Boeremark,4.6,-
12,Lion and Safari Park,4.4,사파리 투어를 통해 많은 동물을 만나볼 수 있으며 매점과 선물 가게가 마련되어 있는 야생동물 보호 구역입니다.
13,체임벌린 버드 보호구역,3.7,-
14,골드 리프 시티,4.5,롤러코스터 등 30개가 넘는 스릴 있는 놀이기구와 금광에 대한 인터랙티브 역사 & 4D 극장이 있습니다.
15,버드 가든스,4.6,-
16,Loftus Versfeld Stadium.,4.4,-
