,Name,Score,Description
0,콘월 공원,4.7,-
1,Kitekite Falls,4.7,-
2,오클랜드 도맹,4.6,-
3,오클랜드 동물원,4.5,-
4,스카이 타워,4.5,탁 트인 전망과 고급 회전식 레스토랑을 갖추고 있으며 번지 점프를 할 수 있는 60층 규모의 랜드마크 타워입니다.
5,Auckland War Memorial Museum,4.6,영구 소장품과 임시 전시품을 볼 수 있는 훌륭한 신고전주의 양식 건물로 기념비가 있습니다.
6,마웅가우이카 / 노스 헤드 히스토릭 보호지역,4.7,-
7,사일로 공원,4.5,-
8,켈리 탈튼스 해양생물 수족관,4.3,"유리 터널, 전시관, 쇼 등을 통해 해양 생물의 서식지를 관찰할 수 있습니다."
9,Auckland Art Gallery Toi o Tāmaki,4.5,-
10,레인보우스 엔드,4.3,-
11,쉐익스피어 리저널 공원,4.7,-
12,SkyCity Auckland,4.4,-
13,Manukau Heads Lighthouse,4.6,-
14,랑기토토 서밋 트랙,4.5,-
15,타카룬가 / 마운트 빅토리아,4.7,-
16,French Market,4.5,-
17,ST PAUL St Gallery Three,4.4,-
18,듀더 리저널 공원,4.7,-
19,마누카우 스퀘어,4.7,-
20,Takapuna Beach,4.7,-
21,스미스 부시,4.6,-
22,이던 가든,4.4,-
23,와이아타루아 보호지역,4.5,-
24,피하 비치,4.8,-
25,Waiwera Regional Park,4.5,-
26,Mincher Garden - Open By Appointment Only.,4.6,-
27,무리와이 개넛 콜로니,4.7,-
28,켈 공원,4.5,-
29,셰익스피어 파크,4.8,-
30,오클랜드 노스 쇼어 모텔스 & 홀리데이 공원,2.8,-
31,뉴질랜드 투어 / Australia Tours,5.0,-
32,Birkenhead War Memorial Park,4.2,-
33,타카니니 가든스,3.0,-
34,YHA 오클랜드 인터내셔널,4.1,-
35,Base Backpackers Auckland,3.7,-
36,Hana Tour New Zealand,5.0,-
37,Tony's Original Steak & Seafood Restaurant,4.4,-
38,홍길동투어 뉴질랜드 현지여행사,5.0,-
39,Sheepworld,4.4,-
40,밀퍼드 비치 보호지역,4.6,-
41,포인트 뷰 보호지역,4.6,-
42,First Light Travel,5.0,-
43,오레와 공원,4.6,-
44,Te Haruhi Bay Campground,4.6,-
45,TOURLINK NZ 투어링크,-,-
46,윈야드 쿼터,-,-
47,오클랜드 식물원 - English Please,-,-
48,오클랜드 공항,3.9,-
49,Hauraki,-,-
