,Name,Score,Description
0,뉴질랜드 테 파파 통가레와 박물관,4.7,원주민과 식민지 문화뿐만 아니라 자연사를 추적하는 뉴질랜드의 중요한 박물관입니다.
1,질랜디아 이코상투아리,4.7,"희귀한 조류, 도마뱀, 개구리, 식물, 나무 등과 같은 야생 토착종이 있는 야생동물 보호 구역입니다."
2,웰링턴 동물원,4.5,-
3,웰링턴 보태닉 가든,4.6,"1868년에 조성된 246,858m² 규모의 식물원으로 토종 식물과 열대 온실이 있으며 계절 식물 화단이 있습니다."
4,오타리-윌튼스 부시,4.7,-
5,Wellington Cable Car,4.5,-
6,Old St Paul's,4.6,-
7,Weta Workshop,4.7,-
8,Wellington Museum,4.6,-
9,볼턴 스트리트 묘지,4.5,-
10,Mount Victoria Lookout,4.7,-
11,Beehive,4.3,-
12,Space Place at Carter Observatory,4.5,-
13,Ataturk Memorial Park,4.7,-
14,Cable Car Museum,4.4,-
15,더 레이디 노우드 로즈 가든,4.6,-
16,Government House,4.4,-
17,레드 록스 - 파리웨로,4.7,-
18,Makara Peak Mountain Bike Park,4.8,-
19,Wellington Cenotaph,4.3,-
20,마티우 / 솜스 아일랜드,4.7,-
21,Petone Foreshore,4.5,-
22,프란크 키츠 공원,4.5,-
