,Name,Score,Description
0,Skyline Queenstown,4.6,-
1,Ziptrek Ecotours,4.8,-
2,iFLY Indoor Skydiving Queenstown,4.6,-
3,New Zealand Moa Statue,5.0,-
4,퀸즈타운 골프 클럽,4.5,-
5,The Winery - Queenstown,4.4,-
6,Game Over,4.4,-
7,Moonlight Stables Ltd,4.8,-
8,peregrine loop,4.6,-
9,키위 버드라이프 공원,4.5,-
10,Time Tripper Queenstown,4.4,-
11,퀸스타운 톱 10 홀리데이 공원,4.4,-
12,Challenge Rafting,4.5,-
13,Coronet Peak Ski Area,4.5,모든 연령대를 위한 스키 및 썰매 코스가 있는 리조트로 레스토랑과 장비 등을 취급하는 상점이 있습니다.
14,퀸스타운 레이크뷰 홀리데이 파크,4.0,-
15,AJ Hackett Kawarau Bungy Centre,4.6,-
16,퀸즈타운 가든스,4.7,-
17,퀸즈타운 홀리데이 파크 & 모텔스 크릭사이드,4.4,-
