,Name,Score,Description
0,International Antarctic Centre,4.4,남극 환경을 시뮬레이션한 곳으로 펭귄과 에스키모 개를 보고 수륙양용차인 헤글런드 라이드를 탈 수 있습니다.
1,Christchurch Tramway,4.5,-
2,Christchurch Adventure Park,4.5,-
3,크라이스트처치 보태닉 가든스,4.7,-
4,Punting On The Avon,4.6,-
5,Canterbury Museum,4.6,"마오리족 문물, 남극탐험에 관한 유물 등을 크라이스트처치 지역과 캔터베리 지역에 전시하고 있습니다."
6,노스 해글리 공원,4.6,"식물원, 작은 호수, 테니스 및 기타 스포츠 코트, 박물관이 있는 거대한 도시 공원입니다."
7,마가렛 마히 플레이그라운드,4.8,-
8,윌로뱅크 야생동물보호지역,4.7,-
9,오라나 와일드라이프 파크,4.4,-
10,캔터베리 어스퀘이크 내셔널 메모리얼,4.7,-
11,Christchurch Art Gallery Te Puna o Waiwhetū,4.5,-
12,크라이스트처치 트랜시셔널 대성당,4.3,-
13,Christchurch Gondola,4.5,-
14,리카턴 하우스,4.6,-
15,Adrenalin Forest Christchurch,4.8,-
16,Quake City,4.4,-
17,The Riccarton Sunday Market,4.2,-
18,Christchurch Casino,4.1,-
19,Friday Street Food Market,4.3,-
20,Mona Vale,4.6,-
21,크라이스트처치 아트 센터,4.5,-
22,TranzAlpine & Coastal Pacific,4.6,-
23,오하인타히,4.9,-
24,크라이스트처치 TOP 10 홀리데이 공원,4.4,-
25,Christchurch i-SITE Visitor Information Centre,4.6,-
