,Name,Score,Description
0,블루프린트 문화창의공원,4.2,-
1,十鼓仁糖文創園區,4.3,-
2,츠칸러우,4.3,네덜란드 식민지 개척자가 17세기에 지은 옛 군사 요새이며 역사적으로 주목할 만한 가치가 있습니다.
3,동흥 양행,4.0,-
4,타이난 공자묘,4.3,-
5,질란디아 요새,4.2,네덜란드 동인도 회사가 반도에 건설한 이 17세기 요새는 현재 박물관으로 이용되고 있습니다.
6,타이쟝 국립공원,4.2,"그림 같은 맹그로브 숲, 습지, 토착 야생동물이 있는 넓은 공원 및 해안 지역입니다."
7,奇美食品幸福工廠,3.9,-
8,Chimei Museum,4.6,"서양 미술, 골동품, 자연사, 현악기 컬렉션을 전시합니다."
9,台南景點|天一中藥生活化園區(The Wonderful Tenergy Place),4.2,-
10,新百祿燕窩觀光工廠,4.0,-
11,억재금성,4.1,-
12,국립대만문학박물관,4.5,-
13,漁光島,4.3,-
14,석유 출장소(소금 박물관),4.0,-
15,National Museum of Taiwan History,4.4,-
16,덕기양행,4.2,-
17,안평노가,4.2,-
18,오원,4.4,-
19,대남 공원,4.2,-
20,정성공문물관,4.2,-
21,타이완성 잔해유적,4.4,-
22,린모 처녀 공원,4.3,-
23,화원 야시장,4.2,-
24,원타이난측후소,4.3,-
25,"하이샨관, 해산관",3.9,-
26,虎頭埤,4.1,-
27,사전무묘,4.6,-
28,Tainan Art Museum Building 1 (for modern arts),4.5,-
29,질란디아 요새 박물관(용한 민예관),4.3,-
30,Tang Te-chang Memorial Park,4.1,-
31,Yanping Street Old Well,3.8,-
32,Sicao Dazhong Temple,4.1,-
33,안핑 작은 요새,4.0,-
34,七股鹽山,3.7,-
35,Jingzijiao Wapan Salt Fields,4.3,-
36,Sicao Wetlands,4.3,-
37,대천후궁,4.6,-
38,Tainan Wude Hall,4.4,-
39,대동야시장,4.2,-
40,白河林初埤木棉花道,4.2,-
41,鄭成功墓址紀念碑,3.6,-
42,Tainanshinanqu Riverside Park,4.1,-
43,Kaiyuansi,4.3,-
44,안핑해관 운하박물관,4.1,-
45,Shennong Street,4.2,-
46,北汕尾媽祖宮鹿耳門天后宮,4.6,-
47,客家文化會館,4.0,-
48,文創plus 台南創意中心,4.1,-
49,Deyang ship destroyer Exhibition Hall,4.2,-
50,鹽埕出張所,3.9,-
51,Wusheng Night Market,4.2,-
52,原臺南合同廳舍,4.4,-
53,안핑 개대천후궁,4.4,-
54,석양 관람 플랫폼,4.3,-
55,臺南市美術館2館,4.4,-
56,臺南‧家具產業博物館,4.1,-
57,Cultural Museum of An-Ping Oyster Shell Cement Kitn,3.9,-
58,대관음정 흥제궁,4.6,-
59,Sicao Green Tunnel,4.2,-
