,Name,Score,Description
0,디러구(지열곡),4.2,-
1,국립국부기념관,4.4,"1972년에 쑨원을 기리기 위해 지은 다목적 건축물로, 문화 및 교육 프로그램이 제공됩니다."
2,비탄 풍경구,4.3,-
3,난먼딩 323,4.1,-
4,군함암,4.5,-
5,중정기념당,4.4,역사 전시관이 있는 기념관으로 물고기 연못과 정원이 있는 커다란 공원으로 둘러싸여 있습니다.
6,타이베이 식물원,4.5,-
7,국립고궁박물원,4.5,세계에서 가장 큰 규모의 중국 예술품과 공예품을 소장하고 있어 항상 방문객이 많은 박물관입니다.
8,중화민국 총통부,4.4,-
9,우라이 관광 열차,4.2,-
10,타이베이 시립 동물원,4.5,"아름다운 부지의 대규모 실내외 동물원으로, 어린이를 위한 공간, 케이블카, 셔틀 기차가 있습니다."
11,양밍 산,4.5,온천과 등산로가 있는 아름다운 휴양지로 국내 최대의 휴화산입니다.
12,시먼홍러우,4.2,-
13,The North Gate,4.4,-
14,중정기념관 광장,4.5,-
15,타이베이 시립 미술관,4.5,-
16,용산사,4.5,"1700년대에 건설되었으며, 불교와 도교 신을 모두 숭배하는 유명한 사원입니다."
17,다안 삼림 공원,4.5,-
18,우라이 폭포,4.2,-
19,스린관저공원,4.2,-
20,얼얼바 평화 기념공원,4.1,-
21,임가화원,4.3,-
22,국립대만박물관,4.4,-
23,草山行館,4.0,-
24,스펀폭포,4.4,대만에서 가장 넓은 40m 너비의 유명한 계단식 폭포는 아름다운 경치로 둘러싸여 있습니다.
25,화산1914 창의문화원구,4.4,"오래된 양조장에 들어선 문화 중심지로, 상점이 있으며 지역 예술, 영화, 공예품, 행사를 볼 수 있습니다."
26,홍마오청,4.2,-
27,타이베이시 객가문화주제공원,4.0,-
28,베이터우공원,4.3,-
29,린장제 관광야시장,4.1,-
30,샹산 공원,4.4,-
31,대도정마두,4.3,-
32,청년공원,4.3,-
33,칭티엔강 대초원,4.5,-
34,다후 파크,4.5,-
35,충렬사,4.3,-
36,국립역사박물관,4.2,-
37,Taipei Guest House,4.5,-
38,Taipei Story House,4.1,-
39,샹산,4.6,-
40,린안타이구춰,4.5,-
41,디화제,4.2,-
42,Color gallery,4.3,-
43,중정기념당 대충문,4.3,-
44,베이터우온천박물관,4.3,튜더 양식의 박물관과 옛 목욕탕에 시설 투어와 지역 온천 관련 전시가 마련되어 있습니다.
45,대북부성 소남문(중희문),4.1,-
46,난강 공원,4.4,-
47,라오허제 야시장,4.2,"유서 깊고 번화한 야시장에서 길거리 음식, 쇼핑, 카니발 게임을 즐길 수 있습니다."
48,Nishi Honganji Relics,4.1,-
49,Yangmingshan Chungshan Hall,4.3,-
50,Guandu Temple,4.5,-
51,즈난 궁,4.4,-
52,베이터우 문물관,4.3,-
53,Armed Forces Museum,4.1,-
54,쑹산츠유궁,4.5,-
55,撫臺街洋樓,4.3,-
56,순이타이완 원주민 박물관,4.2,-
57,823 기념공원 (방재공원),4.3,-
58,하해성황묘,4.5,-
59,황금폭포,4.3,-
