,Name,Score,Description
0,마리엔 광장,4.7,"우뚝 솟은 성 베드로 교회, 2개의 시청사, 장난감 박물관이 있는 시내 중심 광장 및 교통 중심지입니다."
1,영국 정원,4.7,"78km의 자전거 및 조깅 코스, 호숫가의 비어 가든이 있는 광대한 18세기 도시 공원입니다."
2,뮌헨 레지덴츠,4.6,궁전과 정원 등이 있는 넓은 건물에는 주 소유의 박물관이 있으며 원래의 인테리어와 예술품이 보존되어 있습니다.
3,님펜부르크 궁전,4.6,200헥타르 규모의 로코코 양식 궁전이며 4륜 마차 전시관과 조화로운 바로크식 궁전이 있습니다.
4,BMW 박물관,4.6,"미래적인 강철 구조의 박물관에 엔진과 디자인, 인기 브랜드의 빈티지 차량과 신차가 전시되어 있습니다."
5,국립 독일 박물관,4.5,"거대한 기술 박물관에서 유물 진품과 에너지, 운송 수단, 천문학 관련 인터랙티브 전시를 관람할 수 있습니다."
6,Victuals Market,4.5,200년 된 대규모 시장에 과일부터 육류와 꽃까지 다양한 상품을 판매하는 100개 이상의 노점이 늘어서 있습니다.
7,칼스 광장,4.5,-
8,신 시청,4.7,화려한 네오고딕 양식 시청의 높은 탑에서 도시 전망을 감상할 수 있으며 유명한 철금 종소리가 매일 울려 퍼집니다.
9,오데온 광장,4.5,-
10,알리안츠 아레나,4.6,"바이에른 뮌헨의 홈구장인 축구 경기장으로 박물관이 있고 스타디움 투어를 제공하며 75,000명의 팬을 수용합니다."
11,푸라우엔교회,4.5,탑 2개가 있는 고딕 양식 교회로 1945년 폭격을 맞은 후 재건되었으며 전설적인 악마의 발자국으로 유명합니다.
12,Hofbräuhaus München,4.3,"바이에른 레스토랑, 쇼, 활기찬 분위기를 즐길 수 있는 16세기 3층 건물에 자리한 비어홀입니다."
13,Pinakothek der Moderne,4.5,-
14,Neue Pinakothek,4.5,-
15,Deutsches Museum Flugwerft Schleissheim,4.7,-
16,Glyptothek,4.5,-
17,St. Peter's Church,4.6,뮌헨에서 가장 오래된 교회에 보석으로 장식된 성 문디티아의 유골과 도시 풍경이 보이는 탑이 있습니다.
18,Siegestor,4.5,-
19,뮌헨 올림픽 스타디움,4.5,-
