,Name,Score,Description
0,파리저 광장,4.6,-
1,Berlin Dungeon,4.3,-
2,이스트 사이드 갤러리,4.6,베를린 장벽 붕괴를 기념하며 118명의 예술가가 참여해 벽 일부를 뒤덮은 그라피티 프로젝트가 보존되어 있습니다.
3,공화국 광장,4.6,-
4,체크포인트 찰리,4.0,동서 베를린을 구분하는 유명한 경계로 경비병이 있는 흰색 건물과 자갈이 깔린 국경선이 있습니다.
5,브란덴부르크 문,4.7,복원을 거친 18세기의 문이자 랜드마크로 고전적인 여신상으로 장식된 12개의 도리아 양식 기둥이 있습니다.
6,포츠다머 플라츠,4.4,"베를린 장벽이 무너진 후 다시 태어난 역사적인 광장으로 현재는 엔터테인먼트, 레스토랑, 상점으로 가득한 중심지입니다."
7,이스트사,-,-
8,베를린 돔,4.6,"1800년대의 장엄한 성당에 파이프 7,000개로 구성된 오르간, 왕족 무덤, 도시 전망을 보기 좋은 돔이 있습니다."
9,베를린 전승기념탑,4.6,"제2차 슐레스비히 전쟁 승전을 기념하는 67m 높이의 화려한 기념비로, 시내가 내려다보이는 전망대가 있습니다."
10,알렉산더 광장,4.3,전쟁 이후 재건된 유서 깊은 만남의 장소 및 시장이며 현대적인 건물들과 365m의 TV 타워가 있습니다.
11,티어가르텐,4.6,"베를린에서 가장 크고 오래된 공원으로, 가족 편의시설, 산책로, 전승 기념탑이 있습니다."
12,Gendarmenmarkt,4.6,인상적인 건축물이 늘어서 있는 공공 광장에서는 매년 크리스마스 마켓과 아이스링크가 개장합니다.
13,샤를로텐부르크 성,4.5,"바로크 양식의 여름 궁전에 거대한 정원과 그림, 태피스트리, 도자기로 가득한 방이 있습니다."
14,베를린 텔레비전탑,4.4,1969년에 개장한 368m 높이의 타워로 203m 부근 전망대와 207m 부근 회전식 레스토랑을 갖추고 있습니다.
15,국가의회 의사당,4.6,신르네상스 양식의 의회 건물 꼭대기에는 노먼 포스터의 유리 돔이 있으며 360도 도시 전망을 볼 수 있습니다.
16,Berlin Wall Memorial,4.6,역사적인 분단을 기념하는 공간에 원래의 벽과 기념비를 보존한 구역이 있습니다.
17,베를린 동물원,4.5,"동물이 서식하는 자연과 흡사한 환경, 현대적인 새장, 일일 먹이 주기 체험이 마련된 드넓은 동물원입니다."
18,학살된 유럽 유대인을 위한 기념물,4.6,"2,711개의 기둥이 거대한 미로 같은 홀로코스트 추모비를 이루고 있으며, 지하 전시실도 마련되어 있습니다."
19,베를린 구 박물관,4.6,"18개의 기둥과 원형 홀이 있는 대표적인 신고전주의 건물로, 로마와 그리스 유물이 전시되어 있습니다."
20,카이저 빌헬름 기념 교회,4.6,1890년대에 지어졌으나 전쟁으로 피해를 입은 원래 교회의 흔적과 현대적인 증축물이 있습니다.
21,페르가몬 박물관,4.5,"고대 로마와 그리스의 예술 컬렉션, 바빌로니아와 페르시아 유물이 소장되어 있는 박물관 단지입니다."
22,Käthe Kollwitz Museum,4.4,-
23,Topography of Terror,4.5,"옛 게슈타포 본부 자리에 위치한 현대적인 센터로, 나치즘의 공포를 생생하게 증언합니다."
24,Teufelsberg,4.2,-
25,베를린 신 박물관,4.5,웅장한 19세기 박물관에서 이집트 예술 작품과 선사시대의 고고학 유물 컬렉션을 감상할 수 있습니다.
26,베를린 구 국립미술관,4.6,"낭만주의, 인상파, 초기 모더니즘 예술품 컬렉션이 있는 우아한 열주식 건물입니다."
27,Bebelplatz,4.5,-
28,베를린 유대인 박물관,4.2,독특하고 현대적인 건물에서 독일 유대인 역사를 다루는 전시와 홀로코스트 기념관을 만나볼 수 있습니다.
29,Gemäldegalerie,4.6,-
30,벨뷔궁,4.4,-
31,Friedrichstadt-Palast,4.7,-
32,Museum für Naturkunde,4.6,-
33,Deutsche Oper Berlin,4.5,-
34,카우프하우스 데스 베스텐스,4.3,"1907년에 문을 연 대규모 백화점으로, 뷰티 제품, 고급 식료품, 패션, 생활용품을 판매합니다."
35,Flak Tower III Humboldthain,4.5,-
36,Neues Palais(신궁전),4.7,호화로운 18세기 궁전으로 수많은 그림이 있으며 화려한 로코코식 인테리어가 특징입니다.
37,베를린한국여행사,-,-
38,통일정 (베를린 장벽),4.4,-
39,Berlin Food Tour,4.7,-
