,Name,Score,Description
0,마인 타워,4.6,고층 건물에 전면 유리 전망대와 레스토랑이 있어 도심과 강 전망을 즐길 수 있습니다.
1,뢰머광장,4.6,"박물관과 고딕 양식 교회의 본거지이며, 자갈이 깔린 마을 광장을 따라 목조 주택이 재건축되었습니다."
2,슈테델 미술관,4.6,중세에서 현재에 이르는 저명한 유럽 미술 컬렉션을 소장한 미술관입니다.
3,괴테생가,4.3,작가이자 정치인이 태어나고 자란 집을 둘러보고 시대별 인테리어와 전시회를 즐길 수 있습니다.
4,Palmengarten,4.6,19세기의 광대한 식물원으로 온실에서 야자수와 난초를 볼 수 있습니다.
5,Zoo Frankfurt,4.2,-
6,Alte Oper,4.6,-
7,Frankfurter Rathaus,4.6,정면에 계단식 박공 구조물이 있는 중세 건물로 발코니와 다양한 초상화가 있으며 현재는 시청으로 이용되고 있습니다.
8,Frankfurt Cathedral,4.5,고딕 스타일의 카톨릭 성당은 르네상스 시대 프레스코화로 꾸며져 있으며 도시 전망을 즐길 수 있는 탑이 있습니다.
9,Museumsufer,4.5,-
10,프랑크푸르트 역사박물관,4.3,-
11,젠켄베르크 자연사박물관,4.6,-
12,Liebieghaus,4.6,-
13,프랑크푸르트 통신 박물관,4.4,-
14,Hammering Man,4.4,-
15,Junges Museum Frankfurt,3.8,-
16,Günthersburgpark,4.5,-
17,DialogMuseum,4.7,-
18,Dommuseum Frankfurt,4.3,-
19,프랑크푸르트 파울 교회,4.4,빨간 벽돌의 교회로 독일 민주주의 기념물이며 현재는 콘서트와 전시회가 열립니다.
