,Name,Score,Description
0,Herrenhausen Gardens,4.6,유럽에서 가장 높은 분수대와 노천 극장이 있는 광대한 17세기 정원입니다.
1,Georgengarten,4.6,-
2,Lower Saxony State Museum,4.5,-
3,Masch Park,4.6,-
4,Berggarten Hannover,4.6,-
5,Erlebnis-Zoo Hannover,4.5,5대륙의 동물들이 자연 모방 서식지에 보존되어 있으며 보존 프로그램과 일일 공연 등이 제공됩니다.
6,Aegidienkirche,4.6,-
7,New Town Hall,4.7,리프트를 타고 이동할 수 있는 거대한 돔이 있는 성 양식의 시청으로 산과 도시 전망이 가능하고 작은 식당이 있습니다.
8,Leineschloss,4.2,-
9,Eilenriede City Park,4.7,-
10,Hanover Fairground,4.4,-
11,EuroTier,4.5,-
12,"St. Clement's Basilica, Hanover",4.5,-
13,Momo statue,4.1,-
14,크룁케,4.4,-
