,Name,Score,Description
0,Hamburg Dungeon,4.5,-
1,Panoptikum,4.2,-
2,Beatles-Platz,3.9,-
3,Miniatur Wunderland,4.8,전 세계의 유명한 지역을 토대로 광대하게 지속적으로 확장되는 모형 철도 전시관이며 가이드 투어가 제공됩니다.
4,Elbphilharmonie Hamburg,4.6,함부르크에서 가장 높은 건물이자 헤르조그 앤 드뫼롱이 설계한 랜드마크 콘서트장으로 항구가 내려다보입니다.
5,Planten un Blomen,4.7,"테마 정원, 호수, 일본식 찻집이 있는 정원으로, 여름이면 콘서트와 분수 쇼가 열립니다."
6,함부르크 시청,4.7,"거대한 네오르네상스풍 시청으로, 아치형 복도와 화려한 응접실이 있으며 가이드 투어가 진행됩니다."
7,CHOCOVERSUM Chocolate Museum,4.6,-
8,Bismarck Monument,3.6,-
9,Chile House,4.5,-
10,International Maritime Museum,4.6,-
11,폴크스파르크슈타디온,4.5,-
12,Brahms Museum,4.4,-
13,Hamburger Kunsthalle,4.5,-
14,하겐베크 동물원,4.6,-
15,St. Nikolai Memorial,4.6,-
16,Hamburg Hafen,4.8,-
17,Museum für Kunst und Gewerbe Hamburg,4.5,-
18,Speicherstadtmuseum,4.2,-
19,Dialogue House,4.7,-
