,Name,Score,Description
0,모스크바 크렘린,4.7,"러시아 왕권 상징물, 예술 박물관, 교회, 궁전이 거대하게 요새화된 시설입니다."
1,붉은 광장,4.8,"랜드마크 광장으로 크렘린 궁전, 16세기 성 바실 성당, 레닌의 무덤이 있습니다."
2,고리키 공원,4.7,"1700년대 정원, 불 카페, 야외극장, 현대 예술 작품, 겨울의 아이스링크가 있는 공원입니다."
3,Nikolskaya Street,5.0,-
4,전러시아 박람회장,4.7,"1939년에 문을 연 유명 전시회장, 박람회장이자 회의 센터로, 최대 500명까지 수용 가능한 홀이 있습니다."
5,성 바실리 대성당,4.8,16세기 이전의 성당으로 꼭대기에는 다양한 색의 돔이 있으며 현재는 교회 박물관으로 이용하고 있습니다.
6,Tsaritsyno Museum-Reserve,4.8,거대하고 화려한 18세기 왕궁에 깔끔하게 조성된 정원과 미술품 및 골동품이 전시된 박물관이 있습니다.
7,Kolomenskoye,4.8,"옛 왕실 사유지에 들어선 야외 박물관에 다양한 시대의 건축물이 있으며, 투어와 행사를 진행합니다."
8,Kuskovo Summer Palace,4.7,-
9,Muzeon Park of Arts,4.7,-
10,볼쇼이 극장,4.8,화려한 신고전주의 레퍼토리 극장에서 세계적으로 유명한 러시아의 볼쇼이 발레와 볼쇼이 오페라가 상연됩니다.
11,트레티야코프 미술관,4.8,"수 세기를 아우르는 180,000여 점의 러시아 예술 작품이 전시된 미술관입니다."
12,The Pushkin State Museum of Fine Arts,4.8,"단기 전시회가 열리는 전통 양식의 건물에 유물, 조각품, 회화 컬렉션이 소장되어 있습니다."
13,구세주 그리스도 대성당,4.7,"프레스코화가 늘어선 화려한 인테리어와 빛나는 돔 천장이 돋보이는 정교회 성당으로, 1990년대에 재건되었습니다."
14,참새 언덕,4.7,"언덕 위의 전망대에서 모스크바강, 올림픽 경기장, 탁 트인 도시의 스카이라인이 보입니다."
15,The State Kremlin Palace,4.7,-
16,레닌 묘,4.3,1930년에 개장한 피라미드 모양의 석조 건물로 레닌의 석관이 안치된 기념관이 있습니다.
17,State Historical Museum,4.5,"1881년에 건축된 웅장한 신러시아 양식 건물로, 선사 시대 유물과 로마노프 왕조 예술품 등이 전시되어 있습니다."
18,아르바트,4.6,-
19,Moscow Cathedral Mosque,4.8,-
