,Name,Score,Description
0,Monument Yul Brynner 율브린너생가,4.2,-
1,블라디보스톡 해변공원,4.4,-
2,니콜라이황태자개선문,4.5,-
3,신한촌기념비,4.5,-
4,레닌 동상,4.0,-
5,독수리전망대 푸니쿨라,4.4,-
6,S-56 잠수함 박물관,4.4,-
7,포크롭스키 주교좌 성당,4.4,-
8,Vladivostok Fortress Museum (Muzey Vladivostokskaya Krepost),4.4,거대한 요새 단지로 가이드 투어를 통해 군 역사 전시물과 장비를 볼 수 있습니다.
9,포크롭스키공원,4.2,-
10,수족관,4.2,-
11,Vladivostok Circus,4.6,-
12,연해주국립미술관,4.2,-
13,세르게이 라조 동상,4.4,-
14,프리모르스키 아쿠아리움,4.7,독특한 조개껍질 모양의 수족관으로 야외에는 어린이 놀이터가 있습니다.
15,육군역사박물관,4.6,"방대한 해군 유물 컬렉션, 유서 깊은 선박 및 대포 야외 전시물을 갖춘 박물관입니다."
16,수하노프 박물관,4.4,-
17,Sadgorod,4.5,-
18,Lighthouse Tokarevskaya cat,4.7,-
19,블라디보스토크역사,4.3,-
20,Seraya Loshad',4.5,-
21,영원의 불꽃,4.5,-
22,Vladivostok Pass,5.0,-
23,신한촌 기념비 Sinhanchon Monument,4.4,-
24,토비진곶,4.9,-
25,독수리전망대,4.5,-
26,Explore Primorye - tours in Vladivostok and Primorye,4.9,-
