,Name,Score,Description
0,페트로파블롭스크 요새,4.8,표트르 1세가 건설한 이 요새에는 초기 도시 및 대성당에 관한 박물관이 있습니다.
1,예르미타시 미술관,4.8,"예카테리나 2세가 건립한 박물관으로 수많은 미술품, 문화재, 골동품 컬렉션을 소장하고 있습니다."
2,겨울 궁전,4.9,강변에 있는 러시아 황제의 콜로네이드식 옛 저택으로 호화로운 내부를 볼 수 있습니다.
3,Peterhof,4.8,과거에는 왕궁이었던 해변 박물관으로 분수가 많은 공원으로 둘러싸여 있습니다.
4,궁전광장,4.9,상트페테르부르크의 중앙 광장에는 나폴레옹 군대의 승리를 기념하는 알렉산드르 원주가 있습니다.
5,피의 구원 사원,4.8,반짝이는 모자이크와 대리석으로 화려하게 꾸며진 1880년대 교회로 다채로운 색의 양파형 돔으로 덮여 있습니다.
6,예카테리나 궁전,4.7,"대규모 부지에 들어선 바로크 양식의 18세기 궁전으로, 러시아 왕가가 이곳에서 여름을 보냈습니다."
7,에르미타쥐 다리,1.0,-
8,카잔 성당,4.9,도시를 대표하는 이 우아한 성당은 공산주의 시대에 박물관으로 만들어졌습니다.
9,상트페테르부르크 스타디움,4.6,-
10,Cruiser Aurora,4.7,"박물관으로 사용되는 선박에서 러일 전쟁, 러시아 혁명, 제2차 세계대전 참전 역사에 관해 알아볼 수 있습니다."
11,러시아 미술관,4.8,"1898년에 문을 연 미술관에 방대한 러시아 회화, 조각, 성상 컬렉션이 소장되어 있습니다."
12,피터와 폴 대성당,4.8,"1712~1733년, 러시아 제국의 새로운 수도에 주요 성당으로 지은 바로크 양식의 건축물입니다."
13,성 이사악 성당,4.9,1818년에 세운 러시아 정교회 성당이자 도금된 돔과 화려하고 다채로운 색상의 내부가 돋보이는 박물관입니다.
14,Kunstkamera,4.4,-
15,모이카 궁전 (유스포프 궁전),4.8,"귀족 가문의 우아한 옛 궁전으로, 현재는 박물관과 호화로운 방을 갖춘 문화 공간으로 사용되고 있습니다."
16,Faberge Museum,4.8,-
17,Grand Maket Russia,4.8,-
18,마린스키 궁전,4.7,-
19,브론즈 호스맨,4.9,-
20,페트로파블롭스크 요새,4.8,표트르 1세가 건설한 이 요새에는 초기 도시 및 대성당에 관한 박물관이 있습니다.
21,예르미타시 미술관,4.8,"예카테리나 2세가 건립한 박물관으로 수많은 미술품, 문화재, 골동품 컬렉션을 소장하고 있습니다."
22,겨울 궁전,4.9,강변에 있는 러시아 황제의 콜로네이드식 옛 저택으로 호화로운 내부를 볼 수 있습니다.
23,Peterhof,4.8,과거에는 왕궁이었던 해변 박물관으로 분수가 많은 공원으로 둘러싸여 있습니다.
24,궁전광장,4.9,상트페테르부르크의 중앙 광장에는 나폴레옹 군대의 승리를 기념하는 알렉산드르 원주가 있습니다.
25,피의 구원 사원,4.8,반짝이는 모자이크와 대리석으로 화려하게 꾸며진 1880년대 교회로 다채로운 색의 양파형 돔으로 덮여 있습니다.
26,예카테리나 궁전,4.7,"대규모 부지에 들어선 바로크 양식의 18세기 궁전으로, 러시아 왕가가 이곳에서 여름을 보냈습니다."
27,에르미타쥐 다리,1.0,-
28,카잔 성당,4.9,도시를 대표하는 이 우아한 성당은 공산주의 시대에 박물관으로 만들어졌습니다.
29,상트페테르부르크 스타디움,4.6,-
30,Cruiser Aurora,4.7,"박물관으로 사용되는 선박에서 러일 전쟁, 러시아 혁명, 제2차 세계대전 참전 역사에 관해 알아볼 수 있습니다."
31,러시아 미술관,4.8,"1898년에 문을 연 미술관에 방대한 러시아 회화, 조각, 성상 컬렉션이 소장되어 있습니다."
32,피터와 폴 대성당,4.8,"1712~1733년, 러시아 제국의 새로운 수도에 주요 성당으로 지은 바로크 양식의 건축물입니다."
33,성 이사악 성당,4.9,1818년에 세운 러시아 정교회 성당이자 도금된 돔과 화려하고 다채로운 색상의 내부가 돋보이는 박물관입니다.
34,Kunstkamera,4.4,-
35,모이카 궁전 (유스포프 궁전),4.8,"귀족 가문의 우아한 옛 궁전으로, 현재는 박물관과 호화로운 방을 갖춘 문화 공간으로 사용되고 있습니다."
36,Faberge Museum,4.8,-
37,Grand Maket Russia,4.8,-
38,마린스키 궁전,4.7,-
39,브론즈 호스맨,4.9,-
