,Name,Score,Description
0,130 Kvartal,4.6,-
1,카잔 성당,4.8,-
2,레닌 동상,4.3,-
3,Babr,4.7,-
4,Monument to the founders of Irkutsk.,4.7,-
5,알렉산드르 3세 동상,4.7,-
6,Irkutsk Synagogue,4.5,-
7,롤링 스톤스 호스텔,4.7,-
8,바이칼 비즈니스 센터 호텔,4.4,-
9,이르쿠츠크역,4.0,-
10,이르쿠츠크 국제공항,3.4,-
11,Holy Cross Cathedral,-,-
12,130 Kvartal,4.6,-
13,카잔 성당,4.8,-
14,레닌 동상,4.3,-
15,Babr,4.7,-
16,Monument to the founders of Irkutsk.,4.7,-
17,알렉산드르 3세 동상,4.7,-
18,Irkutsk Synagogue,4.5,-
19,롤링 스톤스 호스텔,4.7,-
20,바이칼 비즈니스 센터 호텔,4.4,-
21,이르쿠츠크역,4.0,-
22,이르쿠츠크 국제공항,3.4,-
23,Holy Cross Cathedral,-,-
