,Name,Score,Description
0,Tamul Waterfall,4.8,-
1,팔렝케,4.8,고대 마야의 도시국가 유적지는 유명한 고대 유적지이자 관광지입니다.
2,국립 인류학 박물관,4.8,고대 마야 문명의 유물이 전시되어 있는 유명한 고고학 박물관입니다.
3,Tolantongo,4.6,-
4,크리스탈 동굴,4.4,-
5,치첸이트사,4.8,거대한 마야 도시 발굴 유적지가 있는 고고학적 장소로 상징적인 계단식 피라미드가 있습니다.
6,Bosque de Chapultepec,4.6,"이 거대한 도시 공원은 1,700에이커 규모에 이르며 동물원이나 박물관 같은 많은 명소가 있습니다."
7,독립기념비,4.7,-
8,Palacio de Bellas Artes,4.8,디에고 리베라 등 유명 예술가들의 벽화가 전시된 박물관과 멋진 대리석 공연장이 있습니다.
9,Chapultepec Castle,4.8,멕시코시티 전망의 이 유서 깊은 언덕 위 성에는 국립 역사박물관이 들어서 있습니다.
10,Cobá Zona Arqueológica,4.8,고대 마야 도시 코바의 유적을 방문한 관광객은 이 지역에서 가장 높은 피라미드인 노오치 물을 등반할 수 있습니다.
11,Templo Mayor Museum,4.8,고고학 유물과 아스테카 문명에 관한 전시를 관람할 수 있는 박물관입니다.
12,Zócalo,4.7,"아즈텍 문명에 뿌리를 둔 멕시코시티의 주요 광장으로, 오늘날 이곳에서 문화 행사가 자주 개최됩니다."
13,Xcaret Park,4.8,"스노클링, 동굴 탐험 등의 명소를 제공하는 해변의 생태 고고학 공원입니다."
14,과달루페의 성모 성당,4.7,성스러운 가톨릭교회와 순례지에 과달루페 성모의 모습이 발현된 외투가 소장되어 있습니다.
15,멕시코시티 메트로폴리탄 대성당,4.7,화려한 예배당이 많은 이 웅장한 로마 가톨릭 성당은 남미에서 가장 오래되고 가장 큰 성당입니다.
16,Six Flags México,4.6,-
17,Grutas de García,4.7,-
18,Museo de Cera,4.6,-
19,Xplor Park,4.8,-
20,SeaWorld 샌디에고,4.5,"해양 생물 쇼, 스릴 있는 놀이기구, 수족관 등을 즐길 수 있으며 돌고래, 펭귄 등을 가까이에서 만날 수 있습니다."
21,Archaeological Site of Xel-Há,4.5,-
22,엘파소 동물원,4.3,"141,640m² 규모의 공원에 있는 인공 서식지에 220종의 아프리카, 아메리카, 아시아종이 서식하고 있습니다."
23,Mercado De Artesanías La Ciudadela,4.5,-
24,Museo Jumex,4.6,-
25,예수그리스도 기념비,4.5,-
26,휴에고 탱크스 스테이트 파크 & 히스토릭 사이트,4.7,-
27,샌 하신토 플라자,4.7,-
28,유마 테리토리얼 프리즌 공원,4.6,-
29,스케닉 드라이브 - 오벌룩,4.7,-
30,엘파소 뮤니시펄 로즈 가든,4.6,-
31,코로나도 내셔널 메모리얼,4.8,-
32,마고핀 홈 스테이트 히스토릭 사이트,4.7,-
33,엘 파소 뮤지엄 오브 아차에올러지,4.7,-
34,치와완 데세르 가든스,4.3,-
35,콩코디아 묘지,4.2,-
36,게이트웨이 공원,4.6,-
37,팔로알토 배틀필드 국립역사공원,4.6,-
38,보카 치카 주립공원,4.5,-
39,레사카 데 라 팔마 스테이트 파크 & 월드 버딩 센터,4.7,-
40,브라운 요새,4.4,-
41,록사박센 공원,3.8,-
42,St. 패트릭 대성당,4.8,-
43,아리조나 마켓 플레이스,4.2,-
44,앨리스 윌슨 호프 공원,4.3,-
45,성 자비에르 성당,4.8,1797년에 완공된 상징적인 개척 교회로 바로크 양식의 건축물과 그림 예술품이 특징입니다.
46,뷰로우 오브 랜드 매니지먼트 샌 페드로 리페리언 내셔널 컨저베이션 에어리어 어드미니스트레이티브 오피스,4.2,-
47,조슈아 트리 국립공원,4.7,경이로운 자연 지형과 조슈아 나무로 유명하며 캠핑과 하이킹을 즐길 수 있는 사막 공원입니다.
48,"샌디에고 비치 라이즈, 호스 렌털스 & 웨건 라이즈",4.6,-
49,산타 엘레나 캐년,4.9,-
50,뮤지엄 오브 벨리즈,4.4,-
51,보스크 델 아파치 내셔널 와일드라이프 레푸게 비지터 센터,4.7,-
52,랜턴 베이 공원,4.7,-
53,브리스코 웨스턴 아트 뮤지엄,4.6,-
54,비날레스 Vinales,4.9,-
55,ABQ BioPark - 주,4.5,"북극곰, 원숭이, 코알라를 비롯하여 250종 이상의 동물이 자연 환경 속에서 서식하고 있습니다."
56,시볼라 국유림,4.7,-
