,Name,Score,Description
0,차마렐 세븐 콜로레드 어스 죠파크,4.3,"7가지 색깔의 모래 언덕, 폭포와 거북이를 볼 수 있고 카페가 있는 공원입니다."
1,Chamarel Waterfall,4.5,-
2,고흐쥬 드 히비에흐 누와흐 국립공원,4.6,"2개의 정보 센터, 피크닉 구역, 60km의 하이킹 코스가 있는 거대한 열대 우림입니다."
3,Casela Nature Parks,4.4,-
4,La Vanille Nature Park,4.4,-
5,Pereybere Beach,4.5,-
6,아아프라바시 갯 월드 헤리티지 사이트,4.4,-
7,고번망 하우스,4.2,-
8,로체스터 팔스,4.4,-
9,사파리 어드밴쳐스,4.3,-
10,헤리티지 자연보호지역,4.5,-
11,더 웨스틴 터틀 베이 리조트 & 스파,4.4,-
12,더 세인트 레지스 모리셔스 리조트,4.4,-
13,Maritim Resort & Spa Mauritius,4.4,-
14,Maritim Crystals Beach Hotel Mauritius,4.1,-
15,포 시즌스 리조트 마우리투스 앳 아나히타,4.5,-
