,Name,Score,Description
0,원 월드 천문대,4.7,-
1,록펠러 센터,4.7,TV 스튜디오가 자리 잡은 유명한 건물로 계절에 따라 아이스링크와 거대한 크리스마스트리를 선보입니다.
2,센트럴 파크,4.8,"보행로, 공놀이터, 공원, 동물원, 회전목마, 보트 대여소, 저수지 등을 갖추고 있습니다."
3,스테츄 오브 리버티 국가기념물,4.7,1886년에 세워진 상징적인 국가기념물로 박물관이 있으며 가이드 투어와 도시 전망을 즐길 수 있습니다.
4,브라이언트 공원,4.7,"뉴욕 공립도서관 본관 뒤쪽의 녹지대로, 16,187m² 규모를 자랑하며 카페와 길거리 음식 판매대를 갖추고 있습니다."
5,THE RIDE NYC,4.2,-
6,브루클린 교,4.8,오랫동안 사랑받고 있는 1883년경의 명소로 독특한 강철 및 석조 디자인으로 맨해튼과 브루클린을 연결합니다.
7,아메리칸 뮤지엄 오브 네츄럴 히스토리,4.5,공룡부터 우주 공간과 그 사이의 모든 것을 아우르는 이 거대한 박물관은 자연의 경이로움을 보여줍니다.
8,메트로폴리탄 미술관,4.8,"세계에서 가장 위대한 예술 컬렉션으로 손꼽히는 웅장한 명소이며, 고대부터 현대까지를 아우릅니다."
9,베슬,4.7,-
10,오즈벌 캐즘,4.5,-
11,더 하이 라인,4.7,도로 위로 30피트 높이에 있는 오래된 철로 공원으로 강과 도시 경관을 즐길 수 있는 명소입니다.
12,타임즈 스퀘어,4.7,"밝은 조명, 쇼핑, 쇼 등으로 유명한 극장가 중심부에 위치한 활기 넘치는 곳입니다."
13,탑 오브 더 락,4.7,-
14,브루클린 브리지 공원,4.8,그늘진 피크닉 테이블과 히바치 스타일 바비큐 그릴이 마련된 도심 속 오아시스로 강변 경치를 즐길 수 있습니다.
15,뉴욕 현대 미술관,4.6,"반 고흐부터 앤디 워홀까지 아우르는 작품과 조각 정원, 카페 2곳, 더 모던 레스토랑이 있습니다."
16,나이아가라폴스 주립공원,4.8,시선을 사로잡는 유명한 폭포가 있는 이 공원에는 수족관과 레스토랑 같은 시설도 마련되어 있습니다.
17,Howe Caverns,4.6,-
18,왓킨스 글렌 주립공원,4.8,외곽 산책로에서 바위 절벽 및 웅장한 폭포 지역의 아름다운 전망을 감상하고 호수에서 송어 낚시를 즐길 수 있습니다.
19,Gulliver's Gate,4.6,-
20,매디슨 스퀘어 공원,4.6,조각상이 있는 공공녹지 공간에서는 강아지가 뛰어놀 수 있고 플랫아이언 빌딩이 보입니다.
21,뉴욕 보태니컬 가든,4.7,"50개의 정원과 3만 그루의 나무가 있는 대형 식물원으로, 열대 우림과 선인장 온실로 유명합니다."
22,레치워쓰 주립공원,4.8,아름다운 폭포와 절벽이 있는 대형 공원에서 106km 길이의 등산로와 강 래프팅 등을 즐길 수 있습니다.
23,사이언센터,4.7,-
24,매디슨 스퀘어 가든,4.7,"'세계에서 가장 유명한 경기장'이라고 불리는 명소로 프로 스포츠 경기, 콘서트, 그 외 대규모 행사가 개최됩니다."
25,Federal Hall,4.5,-
26,로버트 H. 트리먼 주립공원,4.8,-
27,벨비디어 성,4.4,-
28,올드 웨스트베리 가든스,4.7,-
29,나이아가라 폭포,4.8,캐나다와 미국의 경계에 우뚝 솟은 유명한 폭포이며 투어와 보트 탑승이 가능합니다.
30,브롱크스 동물원,4.5,"4,000마리의 동물이 자연의 서식지와 비슷한 환경에서 사는 1km² 규모의 도심 동물원입니다."
31,링컨 센터,4.8,"메트로폴리탄 오페라, 뉴욕시티 발레단과 같은 유명한 단체가 많이 들어선 복합 공연장 단지입니다."
32,국제 연합,4.5,"이스트 강변에 자리한 72,843m² 규모의 단지로, 193개 회원국이 참여하는 국제 외교의 장입니다."
33,퀸스 미술관,4.4,-
34,이타카 팔스 네츄럴 에어리어,4.8,-
35,원 월드 트레이드 센터,4.7,"편안한 분위기의 카페, 단품 요리를 선보이는 바, 101층에서 전망을 감상할 수 있는 고급 미국식 식당이 있습니다."
36,피르 아일랜드 내셔널 시쇼어,4.8,-
37,뉴욕 공립도서관,4.7,-
38,사라토가 스파 주립공원,4.7,-
39,노이에 갤러리,4.5,-
40,로자먼드 기퍼드 주,4.5,-
41,몬타우크 포인트 주립공원,4.7,-
42,하이랜드 공원,4.7,-
43,리버티 공원,4.7,-
44,트리니티 교회,4.6,-
45,하이 팔스,4.6,-
46,록펠러 보호지역,4.8,-
47,9/11 Tribute Museum,4.7,-
48,반 코트랜드 마너,4.7,-
49,브루클린 헤이츠 프로메나드,4.8,-
50,그린 레이크스 주립공원,4.7,-
51,코닝 유리박물관,4.7,-
52,Shakespeare Garden,4.6,-
53,주택박물관,4.6,잘 보존된 1863년 공동 주택으로 가이드 투어를 통해 로어이스트사이드 이민자의 삶을 엿볼 수 있습니다.
54,Erie Canal Museum,4.5,-
55,애니멀 어드밴츄어 파크,4.7,-
56,소넨버그 가든스 & 맨션 주립역사공원,4.6,-
