,Name,Score,Description
0,존 핸콕 센터,4.6,304m 상공에서 도시를 한눈에 볼 수 있는 초고층 전망대로 식음료를 즐길 수 있습니다.
1,가필드 파크 컨서버토리,4.8,-
2,링컨 홈 내셔널 히스토릭 사이트 비지터 센터,4.8,-
3,데이나 토마스 하우스,4.7,-
4,The Gateway Arch,4.7,미국 서부 개척을 기리는 630피트 높이의 기념물이며 박물관이 있고 정상에서 전경을 즐길 수 있습니다.
5,매기 데일리 공원,4.7,-
6,Old State Capitol,4.6,-
7,Illinois State Museum,4.5,-
8,Illinois Holocaust Museum & Education Center,4.7,-
9,웨스트 사이드 공원,4.6,-
10,The Richard H. Driehaus Museum,4.7,-
11,내셔널 미시시피 리버 뮤지엄 & 수족관,4.7,-
12,밀턴 리 올리브 공원,4.7,-
13,루시 보태니컬 가든,4.6,-
14,피오리아 동물원,4.4,-
15,피렛츠 코브 칠드런스 띰 파크,4.6,-
16,American Writers Museum,4.7,-
17,센티니얼 공원,4.3,-
18,워싱턴 공원,4.7,-
19,릴라시아 공원,4.8,-
20,크라운 분수대,4.7,-
21,Robert R. McCormick House,4.8,-
22,장 오크 공원,4.5,-
23,더 606,4.7,-
24,링컨 메모리얼 가든 앤드 네이쳐 센터,4.7,-
25,워싱턴 파크 보태니컬 가든,4.7,-
26,니콜러스 컨서버토리 & 가든스,4.7,-
27,스프링 밸리 네이쳐 센터 & 헤리티지 팜,4.8,-
28,바하이 사원,4.8,-
29,피르스트 디비시온 뮤지엄 앳 캔티니,4.9,-
30,포타와토미 우즈,4.6,-
31,Illinois State Military Museum,4.7,-
32,Abraham Lincoln Presidential Museum and Library,4.6,-
33,도스 공원,4.5,-
34,캐스퍼 블러프 랜드 & 워터 보호지역,4.5,-
35,버팔로 크릭 포레스트 보호지역,4.6,-
36,데이비스 파크 앳 파운더스 랜딩,4.5,-
37,조지 로저스 클라크 국립역사공원,4.7,-
38,Ernest Hemingway Birthplace Museum,4.6,-
39,벤더 비어 보태니컬 공원,4.7,-
40,사우스윈드 공원,4.7,-
41,The Escape Game Chicago,4.9,-
42,그랑 뷰 드라이브,4.5,-
43,노부 주립공원,4.5,-
44,크레이프 공원,4.7,-
45,셰익스피어 가든,4.8,-
46,City Gallery in the Historic Water Tower,4.5,-
47,Thomas Rees Memorial Carillon,4.7,-
48,가필드 공원,4.2,-
49,호르세쇼 마운드 보호지역,4.7,-
50,로즈우드 비치,4.5,-
51,게르만 아메리칸 헤리티지 센터 & 뮤지엄,4.5,-
52,라 팔로마 가든스,4.2,-
53,테크니 프레리 파크 앤드 필즈,4.6,-
54,디어본 천문대,4.7,-
55,키이 네이쳐 러닝 센터,4.7,-
56,Springfield Art Association/Edwards Place Historic Home,4.8,-
57,이글 포인트 공원,4.7,-
58,러브레이스 공원,4.6,-
59,예수그리스도 후기성도 교회 나부성전,4.9,-
