,Name,Score,Description
0,할리우드 워크 오브 페임,4,유명한 할리우드 보도 지역으로 1960년 이래로 스타와 유명인 이름이 새겨졌습니다.
1,조슈아 트리 국립공원,4.7,경이로운 자연 지형과 조슈아 나무로 유명하며 캠핑과 하이킹을 즐길 수 있는 사막 공원입니다.
2,Death Valley National Park Sign,-,-
3,세쿼이아 국립공원,4.8,"거대한 세쿼이아 나무가 우거진 드넓은 공원에서 등산, 캠핑, 그 외 다양한 활동을 즐길 수 있습니다."
4,LEGOLAND California,4.5,"레고 테마의 다채로운 객실을 갖춘 활기 넘치는 호텔로 식당과 야외 수영장, 무료 조식을 이용할 수 있습니다."
5,The Korea Daily Square (중앙일보 스퀘어),-,-
6,포인트 듐,4.8,-
7,레드우드 국립공원,4.8,"산책로, 캠핑장 등이 있으며 높이 솟은 미국삼나무가 많은 거대한 삼림 지역입니다."
8,골든게이트 교,4.8,"유명한 4,200피트 높이의 아르데코 현수교는 자동차, 자전거, 도보로 이용 가능합니다."
9,디즈니 캘리포니아 어드밴츄어 파크,4.7,"기발한 어트랙션, 다양한 식사, 라이브 엔터테인먼트 공간이 있는 현대적인 테마파크입니다."
10,발보아 공원,4.8,"넓은 야외에 유명 동물원, 17개의 박물관, 정원 등이 있습니다."
11,유니버설스튜디오할리우드,4.6,"놀이기구, 레스토랑, 상점, 쇼 등이 있는 영화를 테마로 한 거대한 놀이공원입니다."
12,샌타모니카 피어,4.6,"다양한 상점과 카페, 놀이공원, 수족관이 있는 교각 위의 해변 명소입니다."
13,앨커트래즈 섬,4.7,"악명 높은 감옥으로 한때 알 카포네의 수감지였으며, 현재는 페리로 오디오 투어가 제공되는 박물관까지 이동합니다."
14,디즈니랜드 파크,4.6,"8가지 테마의 '랜드'에서 놀이기구, 쇼, 코스튬 캐릭터를 선보이는 테마파크입니다."
15,피어 39,4.6,"바다 사자를 관찰할 수 있는 경치 좋은 전망의 번화한 부두로 식당가, 상점, 엔터테인먼트 공간 등이 있습니다."
16,포인트 로보스 스테이트 자연보호지역,4.8,-
17,더 게티,4.8,"미국과 유럽의 예술, 건축, 깔끔하게 정돈된 정원이 돋보이는 방대한 규모의 거대한 무료 박물관입니다."
18,암스트롱 레드우즈 스테이트 자연보호지역,4.9,-
19,뮤어 우즈 국립공원,4.8,"거대한 레드우드 숲, 긴 하이킹 트레일, 방문자 센터 등을 갖춘 아름다운 숲속 공원입니다."
20,그리피스 공원,4.7,"하이킹 및 승마 산책로를 갖춘 도심의 오아시스로 도시 경관, 로스앤젤레스 동물원, 그릭 시어터를 즐길 수 있습니다."
21,오클랜드 뮤지엄 오브 캘리포니아,4.7,-
22,데스 밸리 국립공원,4.7,"340만 에이커의 사막과 산이 있는 광대한 국립공원으로 하이킹, 캠핑, 자전거 타기를 즐길 수 있습니다."
23,몬터레이 베이 수족관,4.7,"바위가 많은 해안선에 위치한 유명한 수족관으로 수달 서식지, 터치풀 등 다양한 전시실을 갖추고 있습니다."
24,포인트 레이스 국립 해변,4.8,"287km² 규모의 공원은 관광 안내소, 하이킹 코스, 방대한 해변, 멋진 수상 경관을 자랑합니다."
25,롬바드 가,4.5,-
26,그리피스 천문대,4.7,1935년에 지어진 이 아르데코 랜드마크에는 첨단 플라네타륨과 공공 망원경이 있으며 도시 전망을 자랑합니다.
27,허스트 캐슬,4.6,언론계 거장의 이름을 따서 지은 20세기 저택에서 예술 작품과 부지를 둘러볼 수 있습니다.
28,Crystal Cave (Sequoia National Park),4.4,-
29,반 댐 주립공원,4.7,-
30,페어마운트 공원,4.4,-
31,캘리포니아 사이언스 센터,4.7,-
32,헨리 밀러 메모리얼 도서관,4.7,-
33,캘리포니아 너어서리 히스토리컬 공원,4.4,-
34,너츠베리팜,4.6,"전통적인 테마파크로 고속 놀이기구, 예스러운 디자인, 유명한 프라이드 치킨이 특징입니다."
35,포인트 서어 주립역사공원,4.5,-
36,할리우드사인,4.6,1923년 리산에 세워진 이 상징적인 랜드마크는 그리피스 천문대에서 종종 볼 수 있습니다.
37,유니온 스퀘어,4.4,"활기 넘치는 유명 지역에 고급 매장, 레스토랑, 호텔, 나이트라이프 명소가 다양하게 마련되어 있습니다."
38,더 퀸 메리,4.3,-
39,실버 스트랜드 스테이트 비치,4.6,-
40,하이슬러 공원,4.8,-
41,포인트 로보스,4.8,바위가 많은 해안 자연 보호 구역으로 숨겨진 만과 멋진 바다 전경을 선사하며 바다사자를 볼 수 있습니다.
42,캘리포니아 그레이트 아메리카,4.4,"스릴 있는 놀이기구, 수상 관광 명소, 라이브 엔터테인먼트, 다양한 음식점이 있는 가족 친화적인 테마파크입니다."
43,로스엔젤레스뮤지움,4.6,미술사 전반을 다루는 다양한 컬렉션이 소장되어 있는 20에이커 규모의 부지로 각종 상영과 콘서트가 열리기도 합니다.
44,페탈루마 어도비 주립역사공원,4.3,-
45,더 리빙 데세르 주 앤드 가든스,4.7,"1,000에이커가 넘는 사막 생태계로 큰뿔양 보호 구역과 소형 동물 전시관이 있습니다."
46,월트 디즈니 콘서트홀,4.7,"프랭크 게리가 설계한 음악당으로, 인상적인 강철 건축물과 잘 보존된 음향 시설이 특징입니다."
47,콜드웰 공원,4,-
48,보울더 베이 공원,4.7,-
49,실버우드 레이크 주립휴양지,4.4,-
50,LA 베니스 운하,4.6,-
52,풀러턴 아버리텀,4.7,"4,000종이 넘는 식물, 산책로, 박물관을 갖추고 있으며, 26에이커 규모의 드넓은 녹지 공간을 자랑합니다."
51,California State Railroad Museum,4.8,"구식 기관차, 전시물, 탑승 체험을 통해 철도 역사를 배울 수 있는 다채로운 2층 박물관입니다."
52,차이나 캠프 주립공원,4.7,-
53,다운타운 디즈니 디스트릿,4.6,"디즈니랜드 단지 중앙에 위치한 독특한 분위기의 산책로로 상점, 레스토랑, 영화관 등이 있습니다."
54,샌타바버라 주,4.6,자연 서식지에 수백 마리의 동물이 살고 있는 작은 동물원으로 미니어처 열차와 피크닉 장소가 있습니다.
