,Name,Score,Description
0,부시킬 팔스,4.5,"100피트 높이의 폭포와 산책로가 있는 공원으로 낚시, 보트 타기 등과 같은 가족 친화적인 활동을 할 수 있습니다."
1,모리스 아버리텀 오브 더 유니버시티 오브 펜실베이니아,4.8,-
2,로키 스텝스 록키동상,4.7,"영화 '록키'에 등장하는 유명한 계단으로, 기념사진을 촬영하고 도시의 전망을 감상하려는 관광객들이 즐겨 찾습니다."
3,인데펜던스 내셔널 히스토리컬 파크,4.6,"도심의 20개 블록에 걸친 공원으로 박물관, 독립 기념관, 자유의 종 등 명소로 가득합니다."
4,허샤이파크,4.5,"허쉬의 초콜릿 테마 공원으로 놀이기구, 어린이용 액티비티, 식사, 라이브 쇼 및 모든 종류의 코코아를 선보입니다."
5,필라델피아 미술관,4.8,르네상스 고전 예술품과 특별 전시품을 볼 수 있으며 유명한 계단이 있는 장엄한 공간입니다.
6,레일로드 뮤지엄 오브 펜실베이니아,4.8,-
7,위사이콘 밸리 공원,4.8,-
8,밸리 포지 국립역사공원,4.8,-
9,더 아버리텀 앳 펜 스테이트,4.8,-
10,델라웨어 워터 갑 국립휴양지,4.7,"델라웨어강에 있는 수목이 무성하고 광대한 보호 구역이며 등산로, 캠핑장, 수상 스포츠장이 있습니다."
11,롱우드 가든스,4.9,형형색색의 수많은 화단이 모여 있는 정원과 온실이 있으며 분수 쇼와 학생 대상 강좌도 열립니다.
12,허시 가든스,4.7,-
13,PNC 파크,4.7,-
14,자유의 종,4.5,"1846년 마지막으로 울린 이 자유의 상징은 무게가 2,080파운드에 달하며 성경 글귀와 유명한 균열이 남아있습니다."
15,포인트 주립공원,4.7,-
16,팔링워터,4.8,"프랭크 로이드 라이트가 설계한 주택은 현재 대표 명소로 지정되어 있으며, 투어, 정원, 카페가 마련되어 있습니다."
17,러브 공원,4.5,-
18,The Amish Village,4.3,-
19,체리 스프링스 주립공원,4.8,-
20,로댕 미술관,4.6,-
21,피스 밸리 공원,4.8,-
22,필라델피아 시티 홀,4.5,-
23,페어마운트 공원,4.7,-
24,반스 파운데이션,4.7,"피카소, 르누아르 등의 아티스트 회화 작품과 아프리카 조각품, 아메리칸 인디언의 직물 등이 있습니다."
25,Fonthill Castle,4.6,-
26,Asa Packer Mansion Museum,4.7,-
27,"AACA Museum, Inc.",4.8,-
28,호크 마운틴 보호구역,4.8,-
29,리티츠 스프링스 공원,4.8,-
30,Pennsylvania Veterans Museum,4.8,-
31,게티즈버그 국립묘지,4.8,-
32,The Mütter Museum at The College of Physicians of Philadelphia,4.6,-
33,Pennsylvania Academy of the Fine Arts,4.6,-
34,커씨드럴 바실리카 오브 세인츠 피터 앤드 폴,4.8,-
35,페어마운트 파크 애스레틱 필드,4.4,-
36,United States Mint,4.4,-
37,PPG Industries Inc,4.5,-
38,Friends of the Wissahickon,5.0,-
39,윈드 크릭 베들레햄,4.1,-
40,보먼스 힐 와일드플라워 보호지역,4.5,-
41,디스코버 랭커스터,4.5,-
42,나이아가라 폭포,4.8,캐나다와 미국의 경계에 우뚝 솟은 유명한 폭포이며 투어와 보트 탑승이 가능합니다.
43,어제이러 미도우,4.0,-
44,그레이트 울프 로지,4.5,-
45,릴스 퀼츠 & 크래프츠,4.6,-
46,크로싱 빈야즈 앤드 와이너리,4.4,-
47,필라델피아국제공항,3.5,-
48,Great Wolf Lodge Water Park | Pocono Mountains,4.4,-
49,펜실베니아주립대학교,4.5,-
50,뒤부아 리저널 공항,4.3,-
