,Name,Score,Description
0,유니버셜 올랜도 리조트,4.7,"영화를 테마로 한 놀이기구, 쇼, 호텔, 레스토랑 등이 있는 유명한 테마파크입니다."
1,유니버설 스튜디오 플로리다,4.7,"인기 있는 넓은 놀이공원으로, 영화를 테마로 한 놀이기구, 볼거리, 엔터테인먼트를 즐길 수 있습니다."
2,포르 클린치 주립공원,4.8,-
3,케네디 스페이스 센터,4.7,"NASA의 우주 왕복선 발사 모의실험, 로켓, IMAX 영화, 우주비행사 기념품을 만나볼 수 있는 명소입니다."
4,샤크 밸리 트램 투어즈,4.5,-
5,SeaWorld 올랜도,4.6,"해양 생물 쇼, 긴장감 넘치는 놀이기구, 수족관을 즐길 수 있으며 돌고래, 펭귄 등을 가까이에서 만날 수 있습니다."
6,에버글라데스 국립공원,4.6,"열대 습지에서 다양한 과(앨리게이터, 크로커다일)의 악어, 새 등을 가까이서 보고 2시간 트램 투어를 즐깁니다."
7,Epcot,4.7,많은 사람들이 미래와 다른 나라를 탐험하기 위해 방문하는 교육용 디즈니 테마파크입니다.
8,위저딩 월드 오브 해리 포터,4.8,-
9,델노아-위긴스 패스 주립공원,4.8,-
10,커티스 힉슨 워터프런트 공원,4.7,-
11,프레트 개넌 로키 바이우 주립공원,4.7,-
12,Busch Gardens Tampa Bay,4.6,"스릴 있는 놀이기구, 아프리카 동물, 라이브 엔터테인먼트가 있는 유명한 테마파크로 어린이에게 인기 있는 장소입니다."
13,매직 킹덤 파크,4.7,"6개의 테마로 구성된 유명한 놀이공원으로 놀이기구, 의상을 입은 캐릭터, 퍼레이드 등을 즐길 수 있습니다."
14,팜 비치 주 & 컨저베이션 서사이어티,4.5,-
15,Wynwood Walls,4.7,-
16,비스케인 국립공원,4.7,"다이빙, 산호초 스노클링, 보트 타기, 낚시, 캠핑을 즐길 수 있는 해변 공원에 갤러리와 박물관도 있습니다."
17,비즈카야 뮤지엄 & 가든스,4.7,"격조 있는 공원, 조각상, 작은 동굴이 있는 역사적 부지로 1914년경 저택을 박물관으로 개조했습니다."
18,먼 공원,4.5,-
19,네이플스 주 앳 캐러비언 가든스,4.4,-
20,커머 뮤지엄 오브 아트 & 가든스,4.7,-
21,어드밴츄어 아일랜드,4.3,야외 워터파크에서 스릴 있는 놀이기구를 타고 파도풀과 유수풀을 이용할 수 있습니다.
22,포르 피컨스,4.8,-
23,잭슨빌 주 앤드 가든스,4.6,"이 광대한 동물원에는 지역 및 아프리카 야생동물뿐 아니라 정원, 기차, 키즈존 등이 있습니다."
24,헨더슨 비치 주립공원,4.8,"해변에 보드워크, 애완동물 동반 가능한 자연 산책로, 놀이터, 캠핑장 등이 있습니다."
25,Harry P Leu Gardens,4.7,-
26,디즈니 스프링스,4.7,"레스토랑과 바, 세계 최대의 디즈니 스토어를 비롯한 상점이 있으며 라이브 공연이 펼쳐지는 복합 단지입니다."
27,펀 스팟 아메리카 키씸미,4.5,-
28,인디언 록스 비치 자연보호지역,4.7,-
29,레가시 트레일,4.4,-
30,SEA LIFE 올랜도 수족관,4.5,-
31,데이터나 인터나티오널 스피드웨이,4.7,-
32,어니스트 헤밍웨이의 집,4.6,"헤밍웨이의 작업실과 정원, 그가 키웠던 고양이의 자손으로 추정되는 발가락이 여섯 개인 고양이를 볼 수 있습니다."
33,Madame Tussauds,4.6,-
34,캐스트어웨이 아일랜드 보호지역,4.6,-
35,Ripley's Believe It or Not!,4.3,-
36,더 욘 앤드 마블 링링 뮤지엄 오브 아트,4.7,서커스계의 거물이 설립한 국립 미술관으로 르네상스 양식의 분홍색 궁전에 31개의 갤러리가 있습니다.
37,포르 마탄사스 내셔널 모누멘트,4.7,-
38,페르디도 케이 주립공원,4.8,-
39,Wild Florida Airboats & Gator Park,4.7,-
40,블루 스프링 주립공원,4.7,-
41,Exotic Animal Experience,4.7,-
42,라이트하우스 비치 공원,4.6,-
43,캐너버럴 내셔널 시쇼어,4.8,-
44,Central Florida Zoo & Botanical Gardens,4.3,-
45,Pérez Art Museum Miami,4.5,세련된 해변 박물관으로 근대 및 현대 국제 예술작품과 교육 프로그램이 제공됩니다.
46,티무쿠안 이코라지컬 앤드 히스토리컬 보호지역,4.6,-
47,포르 바란카스,4.7,-
48,욘 페네캠프 코랄 리프 주립공원,4.4,"바닥이 유리로 된 보트 투어와 스노클링, 카약을 통해 해양 생물을 생생하게 만날 수 있는 해저 공원입니다."
49,펜사콜라 라이트하우스 & 매리타임 뮤지엄,4.7,-
50,St. 앤드류스 주립공원,4.8,"해변, 자연 산책로, 캠핑장, 시즌에 따라 운행되는 쉘 아일랜드 보트 투어가 제공되는 야외 보호 구역입니다."
51,치타 헌트,4.8,-
52,와일드 어드밴쳐스,4.5,-
53,아나스타시아 스테이트 파크 사이트 41,4.7,-
54,클램 패스 공원,4.7,-
55,Ripley's Believe It or Not!,4.4,-
56,더 키웨스트 버터플라이 앤드 네이쳐 컨서버토리,4.8,-
57,마운츠 보태니컬 가든,4.6,-
58,프리엔드십 파운탱,4.5,-
59,골든 샌드 공원,4.7,-
