,Name,Score,Description
0,ala moana park parking lots,5.0,-
1,돌(Dole 社) 농장,4.2,-
2,쿠알로아 랜치,4.6,"4,000에이커 규모의 자연 휴양지로 ATV, 짚라인, 해변, 할리우드 영화 촬영지 투어를 즐길 수 있습니다."
3,뵤도인 사원,4.7,"오래된 일본 불교 사원을 본떠 지은 곳으로, 잘 꾸민 부지와 명상 장소가 있습니다."
4,마카푸우 포인트 전망대,4.8,-
5,라니아케아 해변,4.6,-
6,누우아누팔리전망대,4.6,-
7,와이메아 폭포,4.6,-
8,Shark’s Cove,4.7,-
9,하와이 화산 국립공원,4.7,"실제 용암의 흐름, 용암 동굴, 분화구 등을 볼 수 있는 독특한 지형으로 관광객에게 인기가 많습니다."
10,Kīlauea Lighthouse,4.5,-
11,Makapu‘u Point Lighthouse Trail,4.8,-
12,Haleakalā National Park,4.8,"10,023피트 휴화산이 일출의 아름다운 전망과 멸종 위기에 처한 새들의 모습을 보여줍니다."
13,호놀룰루 동물원,4.2,"가족을 위한 169,967m² 규모의 명소로, 울창한 정원, 900여 마리의 동물, 동물 체험장 등이 있습니다."
14,이올라니 궁전,4.6,하와이 마지막 군주의 화려한 19세기 주택은 박물관으로 운영되어 투어와 전시관을 제공합니다.
15,진주 만 국립 기념관,4.7,"1941년 진주만 공격을 기념하는 공간으로 USS 애리조나 기념탑, 박물관, 갤러리가 있습니다."
16,디아먼드 헤드 스테이트 모누멘트,4.7,-
17,Alanui Kahiko,4.9,-
18,아카카 폭포 주립공원,4.6,644m 길이의 고리형 산책로가 135m 높이의 아름다운 폭포로 이어지는 열대 우림 공원입니다.
19,씨 라이프 파크 하와이,4.1,아이들과 즐기기 좋은 해양 생물 공원으로 펭귄과 바다사자 쇼를 볼 수 있으며 돌고래와 함께 수영도 할 수 있습니다.
20,나 팔리 해안 주립공원,4.8,등산 및 캠핑을 즐길 수 있는 산악 지형으로 폭포와 다양한 열대 식물을 볼 수 있습니다.
21,폴리네시안 문화센터,4.6,"루아우, 라이브 쇼, 투어 등을 통해 태평양 섬의 다양하고 유서 깊은 문화를 만날 수 있는 센터입니다."
22,비숍 뮤지엄,4.6,"하와이와 그 외 태평양 섬 문화에 관한 전시회가 열리는 박물관이며, 천문관도 있습니다."
23,카일루아 해변공원,4.7,"투명한 물과 고운 모래, 편의시설 덕분에 이곳은 수상 활동의 명소가 되었습니다."
24,코코 크레이터 레일웨이 트레일헤드,4.8,-
25,와이메아 캐년 주립공원,4.9,'태평양의 그랜드캐니언'으로 알려진 광대한 산 정상 협곡으로 장관을 이루고 있습니다.
26,호오말루히아 야외식물원,4.7,-
27,하와이 트로피칼 보태니컬 가든,4.8,-
28,카피올라니 공원,4.6,"화산이 보이는 바닷가의 공원으로, 해변이 있으며 배구, 피크닉, 카누를 즐길 수 있습니다."
29,라나이전망대,4.8,-
30,USS 미주리 (BB-63),4.8,제2차 세계대전 당시 일본이 공식적으로 항복을 선언한 역사적인 전함을 둘러볼 수 있습니다.
31,파나에와 레인포레스트 동물원,4.5,-
32,Battery cooper,4.1,-
33,코코 크레이터 보태니컬 가든,4.6,-
34,Hāpuna Beach State Park,4.8,-
35,Spitting Cave,4.7,-
36,와이피오 계곡,4.8,"녹음이 우거진 명소에 산책로와 폭포, 바다가 보이는 높은 전망대가 있습니다."
37,카메하메하 대왕 동상,4.5,-
38,Hawaii's Plantation Village,4.5,-
39,와이피오 계곡 전망대,4.7,-
40,와이키키 수족관,3.9,"작은 수족관에서 3,000마리 이상의 하와이 및 열대 태평양 해양 동물과 다양한 전시를 볼 수 있습니다."
41,호놀룰루 미술관,4.6,-
42,탄탈루스 전망대,4.7,-
43,알라 모아나 공원,4.6,"이 404,685m² 규모의 공원에는 테니스장과 정자, 파도가 잔잔한 인공 해변이 있습니다."
44,탄탈루스언덕,4.6,-
45,리케케 팔스,4.5,-
46,푸나루우 블랙 샌드 비치,4.7,-
47,Hawaii Food Tours,4.5,-
48,Pololu Valley Lookout,4.8,-
49,마카푸우 해변,4.7,"304m 길이의 백사장 해변으로, 겨울에는 거센 이안류가, 여름에는 잔잔한 바닷물이 특징입니다."
50,호오키파 비치 공원,4.8,-
51,카에나 포인트,4.7,-
52,코올리나 해변공원,4.7,-
53,Hawaii Plantation Museum,4.7,-
54,쿠히오 해변,4.6,-
55,와이키키 해변,4.6,-
56,마카푸우 전망대,4.8,-
57,더 호놀룰루 뮤지엄 오브 아트 스팔딩 하우스,4.6,-
58,모오오 카운티 공원,4.2,-
59,Kaunaʻoa (Mauna Kea) Beach,4.8,-
