,Name,Score,Description
0,호아로 형무소,4.3,"베트남 전쟁 당시 전쟁 포로 수용소였으나 현재는 입구만 남아 있으며, 박물관으로 개조되었습니다."
1,Thăng Long Imperial Citadel,4.3,제국의 요새 단지에 탑과 돌로 조각한 용과 같은 11세기 건물과 조각품이 있습니다.
2,못꼿 사원(한기둥 사원),4.3,연꽃 모양을 본떠 1049년에 건립된 상징적인 불교 사찰을 재건하였습니다.
3,36거리(구시가지),4.5,-
4,하노이 기찻길,4.3,-
5,호치민 관저,4.4,-
6,응옥썬사당,4.4,"호수에 자리한 유교 사원으로, 다리를 건너 들어갈 수 있으며 국가 영웅을 기리는 정자와 탑이 있습니다."
7,호찌민 묘소,4.5,베트남 지도자 호치민의 시신이 안치되어 있는 묘이며 역사적인 의미를 갖습니다.
8,하노이 오페라 하우스,4.5,"1911년에 문을 연 화려한 공연장에서 클래식 음악, 무용, 오페라 공연이 열립니다."
9,바딘 광장,4.6,-
10,하노이깃발탑,4.5,-
11,성요셉 성당,4.5,"1886년에 지은 이 네오고딕 양식의 성당은 도시에서 가장 오래된 성당이며, 노트르담 대성당을 연상시킵니다."
12,베트남군역사박물관,4.2,-
13,호찌민 박물관,4.3,1979년에 지어진 박물관으로 호치민 대통령에게 헌정한 유물과 사진을 소장하고 있습니다.
14,붓탑,4.5,-
15,Hanoikids Free Tour,4.6,-
16,베트남 민족학박물관,4.5,베트남의 다양한 문화를 전시하는 민족 박물관으로 정원과 레스토랑이 있습니다.
17,레닌공원,4.2,-
18,동쑤언 시장,4.0,"활기찬 대규모 실내 시장에 음식, 의류, 도매가 상품을 판매하는 판매대가 밀집해 있습니다."
19,탕롱 수상인형극장,4.2,-
