,Name,Score,Description
0,후에 성,4.5,벽으로 둘러싸인 금단의 도시에 유서 깊은 왕궁이 있습니다.
1,디엔타이호아,4.5,-
2,뜨득 황제릉,4.4,-
3,카이딘 황제릉,4.3,정교한 건축 양식과 화려한 디테일을 자랑하는 베트남 황제의 층계식 묘입니다.
4,티엔무 사원,4.4,1601년에 지어진 유명한 7층 높이의 불교 사찰에는 승려들이 살고 있으며 아름다운 경관을 자랑합니다.
5,오문,4.5,-
6,Hue Museum of Royal Antiquities,4.4,-
7,동바 시장,3.9,"창고 같은 공간에서 수공예품, 농산물, 의류, 육류를 판매하는 오래되고 활기 넘치는 시장입니다."
8,Tomb Of Dong Khanh,4.1,-
9,또 미유 사원,4.5,-
10,Ao Dai show,4.4,-
11,하이번 고개,4.3,-
12,오행산,4.2,"여러 개의 동굴, 정교한 사원, 멋진 전망을 갖추고 있으며 5개의 대리석 산맥이 연결되어 있습니다."
13,바나힐 썬월드,4.4,-
14,KT Travel Huế,3.8,-
15,Kangaroo Hue Restaurant - Cooking Class,3.7,-
16,바나힐,4.5,-
17,호이안 도자기 마을,4.1,-
18,Cầu Trường Tiền,4.6,-
19,까오다이교 사원,3.2,-
