,Name,Score,Description
0,나사리 궁전,4.8,"알람브라 중심지에 호화로운 무어 양식 안뜰, 리셉션 홀, 왕실 주거지가 있습니다."
1,알람브라,4.8,"무어식으로 장식된 공식 알현실, 분수가 있는 코트야드가 있는 중세 궁전입니다."
2,헤네랄리페,4.8,고대 무슬림 궁전으로 우아한 장식이 있는 정원에는 수영장과 안뜰이 있고 화려한 색감의 꽃이 핍니다.
3,그라나다 대성당,4.6,"내부가 흰색과 금색으로 장식된 화려한 르네상스 양식의 대성당이며, 스테인드글라스 돔 예배당으로 유명합니다."
4,찰스 5세 궁전,4.5,알함브라 궁전 내에 있는 황제의 르네상스 양식 저택으로 웅장한 안뜰과 박물관이 있습니다.
5,니콜라스 전망대,4.7,-
6,까르투하 수도원,4.7,-
7,사크로몬테 쿠에바 박물관,4.2,-
8,산 제로니모 수도원 (그라나다카드 무료입장),4.5,-
9,Royal Chapel of Granada,4.6,이사벨 여왕과 페르난도 공을 포함한 가톨릭 왕족을 위한 정교한 1500년대 무덤이며 박물관을 이용할 수 있습니다.
10,Abadía del Sacromonte,4.5,-
11,크리스토발 전망대,4.5,-
12,Gate of Elvira,4.4,-
13,Monasterio de la Concepción- Museo Conventual,4.8,-
14,Mexuar room,4.9,-
15,Casa Museo Max Moreau,4.6,-
16,Ermita de San Miguel Alto,4.7,-
17,Hall of Abencerrajes,5.0,-
18,Manuel de Falla House Museum,4.3,-
19,Plaza De Toros De Granada,4.1,-
