,Name,Score,Description
0,마요르 광장,4.6,장중한 광장의 아치를 따라 카페와 레스토랑이 늘어서 있으며 중앙에 필립 3세의 동상이 있습니다.
1,마드리드 왕궁,4.6,"18세기에 국가 행사를 위해 건설된 산꼭대기의 궁전으로, 예술품과 골동품으로 가득 찬 방을 투어로 둘러볼 수 있습니다."
2,산 페르난도 왕립예술 문화원,4.0,-
3,프라도 미술관,4.7,"벨라스케스, 고야, 엘 그레코의 명화를 비롯하여 12~19세기의 방대한 컬렉션을 소장하고 있는 미술관입니다."
4,레티로 공원,4.7,"광대한 19세기 공원으로 선착장, 장미 정원, 수많은 분수와 동상이 있습니다."
5,데보드 신전,4.4,"아스완에서 옮겨 온 고대 이집트 사원이자 박물관으로, 녹음이 우거진 대정원에 재건했으며 일몰을 감상할 수 있습니다."
6,알무데나 대성당,4.6,다채로운 색감의 예배당으로 유명하며 로마네스크 양식 지하실과 박물관이 있는 바로크 양식 가톨릭 성당입니다.
7,티센 보르네미사 미술관,4.6,르네상스부터 팝 아트까지 13~20세기의 유럽 걸작품을 소장한 박물관입니다.
8,국립 소피아 왕비 예술센터,4.5,"방대한 박물관에 그리스, 달리, 피카소, 미로의 작품을 포함한 20세기 스페인 예술 컬렉션이 소장되어 있습니다."
9,에스타디오 산티아고 베르나베우,4.6,"81,000명을 수용하는 레알 마드리드의 홈구장으로, 정식 경기가 열리며 경기장과 트로피 전시실 투어가 진행됩니다."
10,Palacio de Cristal,4.5,"런던의 크리스털 팰리스를 모델로 지었으며, 국립 소피아 왕비 예술센터가 주최하는 예술 전시회가 열리는 장소입니다."
11,Parque de El Capricho,4.6,-
12,사바티니 정원,4.5,-
13,산 미겔 시장,4.4,"1916년경에 건설된 실내 시장으로, 우아한 분위기에서 지역 음식, 요리, 이벤트를 즐길 수 있습니다."
14,소로야,4.7,-
15,라스 벤타스 (투우 경기장),4.4,-
16,곰과 마드로뇨 나무 동상,4.5,-
17,카를로스3세 동상,4.4,-
18,Museum of Almudena Cathedral,4.4,-
19,왕립극장,4.6,-
